n,target,a,b,r,peak,peak_position,beta_num,beta_den,validation_status
3,5,1,0,1,5,1,3,2,OK
5,11,1,0,1,11,1,3,2,OK
7,1,1,3,4,18,1,3,16,OK
9,27,1,0,1,27,1,3,2,OK
11,1,1,3,4,36,1,3,16,OK
13,1,1,3,4,46,1,3,16,OK
15,7,1,1,2,58,1,3,4,OK
17,1,1,3,4,70,1,3,16,OK
19,9,1,1,2,82,1,3,4,OK
21,9,1,1,2,96,1,3,4,OK
23,3,1,2,3,110,1,3,8,OK
25,125,1,0,1,125,1,3,2,OK
27,11,1,1,2,140,1,3,4,OK
29,3,1,2,3,156,1,3,8,OK
31,13,1,1,2,172,1,3,4,OK
33,189,1,0,1,189,1,3,2,OK
35,207,1,0,1,207,1,3,2,OK
37,225,1,0,1,225,1,3,2,OK
39,243,1,0,1,243,1,3,2,OK
41,1,1,4,5,262,1,3,32,OK
43,281,1,0,1,281,1,3,2,OK
45,301,1,0,1,301,1,3,2,OK
47,17,1,1,2,322,1,3,4,OK
49,343,1,0,1,343,1,3,2,OK
51,19,1,1,2,364,1,3,4,OK
53,385,1,0,1,385,1,3,2,OK
55,407,1,0,1,407,1,3,2,OK
57,1,1,4,5,430,1,3,32,OK
59,453,1,0,1,453,1,3,2,OK
61,21,1,1,2,476,1,3,4,OK
63,1,1,4,5,500,1,3,32,OK
65,1,1,4,5,524,1,3,32,OK
67,23,1,1,2,548,1,3,4,OK
69,573,1,0,1,573,1,3,2,OK
71,1,1,4,5,598,1,3,32,OK
73,623,1,0,1,623,1,3,2,OK
75,649,1,0,1,649,1,3,2,OK
77,675,1,0,1,675,1,3,2,OK
79,5,1,2,3,702,1,3,8,OK
81,729,1,0,1,729,1,3,2,OK
83,27,1,1,2,756,1,3,4,OK
85,783,1,0,1,783,1,3,2,OK
87,811,1,0,1,811,1,3,2,OK
89,839,1,0,1,839,1,3,2,OK
91,29,1,1,2,868,1,3,4,OK
93,29,1,1,2,896,1,3,4,OK
95,925,1,0,1,925,1,3,2,OK
97,955,1,0,1,955,1,3,2,OK
99,985,1,0,1,985,1,3,2,OK
101,1015,1,0,1,1015,1,3,2,OK
103,1045,1,0,1,1045,1,3,2,OK
105,1075,1,0,1,1075,1,3,2,OK
107,33,1,1,2,1106,1,3,4,OK
109,1137,1,0,1,1137,1,3,2,OK
111,1169,1,0,1,1169,1,3,2,OK
113,1201,1,0,1,1201,1,3,2,OK
115,1233,1,0,1,1233,1,3,2,OK
117,1265,1,0,1,1265,1,3,2,OK
119,1,1,4,5,1298,1,3,32,OK
121,1331,1,0,1,1331,1,3,2,OK
123,1,1,4,5,1364,1,3,32,OK
125,1397,1,0,1,1397,1,3,2,OK
127,1431,1,0,1,1431,1,3,2,OK
129,1465,1,0,1,1465,1,3,2,OK
131,1499,1,0,1,1499,1,3,2,OK
133,1533,1,0,1,1533,1,3,2,OK
135,39,1,1,2,1568,1,3,4,OK
137,1603,1,0,1,1603,1,3,2,OK
139,1,1,4,5,1638,1,3,32,OK
141,1,1,4,5,1674,1,3,32,OK
143,41,1,1,2,1710,1,3,4,OK
145,41,1,1,2,1746,1,3,4,OK
147,1,1,4,5,1782,1,3,32,OK
149,1,1,4,5,1818,1,3,32,OK
151,1855,1,0,1,1855,1,3,2,OK
153,43,1,1,2,1892,1,3,4,OK
155,1929,1,0,1,1929,1,3,2,OK
157,1967,1,0,1,1967,1,3,2,OK
159,1,1,4,5,2004,1,3,32,OK
161,45,1,1,2,2042,1,3,4,OK
163,2081,1,0,1,2081,1,3,2,OK
165,2119,1,0,1,2119,1,3,2,OK
167,1,1,4,5,2158,1,3,32,OK
169,2197,1,0,1,2197,1,3,2,OK
171,47,1,1,2,2236,1,3,4,OK
173,2275,1,0,1,2275,1,3,2,OK
175,2315,1,0,1,2315,1,3,2,OK
177,1,1,4,5,2354,1,3,32,OK
179,1,1,4,5,2394,1,3,32,OK
181,2435,1,0,1,2435,1,3,2,OK
183,2475,1,0,1,2475,1,3,2,OK
185,7,1,2,3,2516,1,3,8,OK
187,2557,1,0,1,2557,1,3,2,OK
189,7,1,2,3,2598,1,3,8,OK
191,2639,1,0,1,2639,1,3,2,OK
193,2681,1,0,1,2681,1,3,2,OK
195,2723,1,0,1,2723,1,3,2,OK
197,2765,1,0,1,2765,1,3,2,OK
199,2807,1,0,1,2807,1,3,2,OK
201,2849,1,0,1,2849,1,3,2,OK
203,53,1,1,2,2892,1,3,4,OK
205,2935,1,0,1,2935,1,3,2,OK
207,7,1,2,3,2978,1,3,8,OK
209,3021,1,0,1,3021,1,3,2,OK
211,55,1,1,2,3064,1,3,4,OK
213,55,1,1,2,3108,1,3,4,OK
215,7,1,2,3,3152,1,3,8,OK
217,7,1,2,3,3196,1,3,8,OK
219,7,1,2,3,3240,1,3,8,OK
221,3285,1,0,1,3285,1,3,2,OK
223,57,1,1,2,3330,1,3,4,OK
225,3375,1,0,1,3375,1,3,2,OK
227,7,1,2,3,3420,1,3,8,OK
229,3465,1,0,1,3465,1,3,2,OK
231,59,1,1,2,3510,1,3,4,OK
233,59,1,1,2,3556,1,3,4,OK
235,7,1,2,3,3602,1,3,8,OK
237,7,1,2,3,3648,1,3,8,OK
239,7,1,2,3,3694,1,3,8,OK
241,3741,1,0,1,3741,1,3,2,OK
243,3787,1,0,1,3787,1,3,2,OK
245,61,1,1,2,3834,1,3,4,OK
247,3881,1,0,1,3881,1,3,2,OK
249,3929,1,0,1,3929,1,3,2,OK
251,63,1,1,2,3976,1,3,4,OK
253,63,1,1,2,4024,1,3,4,OK
