start,macro_step,state,a,b,peak,exact_return_status
3,0,3,1,0,5,CAPTURE
3,1,5,1,0,11,CAPTURE
3,2,11,1,3,36,CAPTURE
5,0,5,1,0,11,CAPTURE
5,1,11,1,3,36,CAPTURE
7,0,7,1,3,18,CAPTURE
9,0,9,1,0,27,CAPTURE
9,1,27,1,1,140,CAPTURE
9,2,11,1,3,36,CAPTURE
11,0,11,1,3,36,CAPTURE
13,0,13,1,3,46,CAPTURE
15,0,15,1,1,58,RETURNED
17,0,17,1,3,70,CAPTURE
19,0,19,1,1,82,RETURNED
21,0,21,1,1,96,RETURNED
23,0,23,1,2,110,RETURNED
25,0,25,1,0,125,RETURNED
25,1,125,1,0,1397,RETURNED
25,2,1397,1,2,52214,RETURNED
27,0,27,1,1,140,RETURNED
29,0,29,1,2,156,RETURNED
31,0,31,1,1,172,RETURNED
33,0,33,1,0,189,RETURNED
33,1,189,1,2,2598,RETURNED
35,0,35,1,0,207,RETURNED
35,1,207,1,2,2978,RETURNED
37,0,37,1,0,225,CAPTURE
37,1,225,1,0,3375,CAPTURE
37,2,3375,1,0,196069,CAPTURE
37,3,196069,1,1,86818724,CAPTURE
37,4,9317,1,0,899319,CAPTURE
37,5,899319,1,0,852846071,CAPTURE
37,6,852846071,1,2,24906114455136,CAPTURE
37,7,2233,1,0,105519,CAPTURE
37,8,105519,1,5,34276462,CAPTURE
39,0,39,1,0,243,RETURNED
39,1,243,1,0,3787,RETURNED
39,2,3787,1,2,233046,RETURNED
41,0,41,1,4,262,CAPTURE
43,0,43,1,0,281,CAPTURE
43,1,281,1,4,4710,CAPTURE
45,0,45,1,0,301,CAPTURE
45,1,301,1,4,5222,CAPTURE
47,0,47,1,1,322,RETURNED
49,0,49,1,0,343,RETURNED
49,1,343,1,1,6352,RETURNED
49,2,79,1,2,702,RETURNED
51,0,51,1,1,364,RETURNED
53,0,53,1,0,385,RETURNED
53,1,385,1,2,7554,RETURNED
55,0,55,1,0,407,RETURNED
55,1,407,1,2,8210,RETURNED
57,0,57,1,4,430,CAPTURE
59,0,59,1,0,453,RETURNED
59,1,453,1,0,9641,RETURNED
59,2,9641,1,2,946636,RETURNED
61,0,61,1,1,476,RETURNED
63,0,63,1,4,500,CAPTURE
65,0,65,1,4,524,CAPTURE
67,0,67,1,1,548,RETURNED
69,0,69,1,0,573,RETURNED
69,1,573,1,1,13716,RETURNED
69,2,117,1,0,1265,RETURNED
69,3,1265,1,3,44992,RETURNED
71,0,71,1,4,598,CAPTURE
73,0,73,1,0,623,RETURNED
73,1,623,1,2,15550,RETURNED
75,0,75,1,0,649,CAPTURE
75,1,649,1,0,16533,CAPTURE
75,2,16533,1,5,2125824,CAPTURE
77,0,77,1,0,675,RETURNED
77,1,675,1,0,17537,RETURNED
77,2,17537,1,1,2322378,RETURNED
77,3,1523,1,1,59436,RETURNED
77,4,243,1,0,3787,RETURNED
77,5,3787,1,2,233046,RETURNED
79,0,79,1,2,702,RETURNED
81,0,81,1,0,729,CAPTURE
81,1,729,1,0,19683,CAPTURE
81,2,19683,1,1,2761448,CAPTURE
81,3,1661,1,5,67694,CAPTURE
83,0,83,1,1,756,RETURNED
85,0,85,1,0,783,RETURNED
85,1,783,1,3,21910,RETURNED
87,0,87,1,0,811,CAPTURE
87,1,811,1,0,23095,CAPTURE
87,2,23095,1,1,3509756,CAPTURE
87,3,1873,1,5,81060,CAPTURE
89,0,89,1,0,839,CAPTURE
89,1,839,1,1,24302,CAPTURE
89,2,155,1,0,1929,CAPTURE
89,3,1929,1,1,84722,CAPTURE
89,4,291,1,4,4964,CAPTURE
91,0,91,1,1,868,RETURNED
93,0,93,1,1,896,RETURNED
95,0,95,1,0,925,CAPTURE
95,1,925,1,1,28132,CAPTURE
95,2,167,1,4,2158,CAPTURE
97,0,97,1,0,955,RETURNED
97,1,955,1,1,29512,RETURNED
97,2,171,1,1,2236,RETURNED
99,0,99,1,0,985,CAPTURE
99,1,985,1,0,30913,CAPTURE
99,2,30913,1,1,5435152,CAPTURE
99,3,2331,1,0,112541,CAPTURE
99,4,112541,1,5,37754276,CAPTURE
101,0,101,1,0,1015,CAPTURE
101,1,1015,1,1,32336,CAPTURE
101,2,179,1,4,2394,CAPTURE
103,0,103,1,0,1045,CAPTURE
103,1,1045,1,0,33781,CAPTURE
103,2,33781,1,0,6208815,CAPTURE
103,3,6208815,1,1,15470810960,CAPTURE
103,4,124381,1,1,43866306,CAPTURE
103,5,6623,1,0,538991,CAPTURE
103,6,538991,1,0,395705667,CAPTURE
103,7,395705667,1,6,7871516405498,CAPTURE
105,0,105,1,0,1075,RETURNED
105,1,1075,1,1,35246,RETURNED
105,2,187,1,0,2557,RETURNED
105,3,2557,1,0,129299,RETURNED
105,4,129299,1,3,46493554,RETURNED
107,0,107,1,1,1106,RETURNED
109,0,109,1,0,1137,RETURNED
109,1,1137,1,1,38338,RETURNED
109,2,195,1,0,2723,RETURNED
109,3,2723,1,2,142092,RETURNED
111,0,111,1,0,1169,RETURNED
111,1,1169,1,1,39968,RETURNED
111,2,199,1,0,2807,RETURNED
111,3,2807,1,1,148718,RETURNED
111,4,385,1,2,7554,RETURNED
113,0,113,1,0,1201,CAPTURE
113,1,1201,1,0,41621,CAPTURE
113,2,41621,1,1,8491194,CAPTURE
113,3,2913,1,0,157221,CAPTURE
113,4,157221,1,0,62339861,CAPTURE
113,5,62339861,1,0,492208086413,CAPTURE
113,6,492208086413,1,0,345321100728254679,CAPTURE
113,7,345321100728254679,1,7,202924588924125339424550328,CAPTURE
115,0,115,1,0,1233,RETURNED
115,1,1233,1,0,43295,RETURNED
115,2,43295,1,0,9008585,RETURNED
115,3,9008585,1,0,27038641711,RETURNED
115,4,27038641711,1,2,4446080344234036,RETURNED
115,5,8165,1,2,737792,RETURNED
117,0,117,1,0,1265,RETURNED
117,1,1265,1,3,44992,RETURNED
119,0,119,1,4,1298,CAPTURE
