n,tau,M,ratio,peak_bits,word
425,46,60,12/85,243,OOOOOOOEOOEEOOOEOEEOOEOOOOOEEEEOOOOOOOEEEOEOEE
557,27,119,119/557,888,OOOOOEOOOOOOOOEOEOEEEOEEOEE
2183,54,950,950/2183,19694,OOEOOOOEOOOOOOOOEOOOEOOOOOOOEOOOEEEOOOEEEEEEOEEOEEOOEE
761,62,421,421/761,851,OOOOOOOOOEEOEOEEOOEEOOOEOOOOEOOOEOEOOOEEOOOOEOOOOEEEOOOEEEEOEE
193,70,113,113/193,900,OOOEOOOOOOOEOOOEEOEEOOOOOOEEEOOOEOOEEOOOOOEOOOOEEOOEOOEOEEOOEOOEEOEEEE
3439,62,2158,2158/3439,1045,OOOOOOOOOOEOEOOEOOOEEOOEEOOOEEOOEOEOOOOEOOEEOOOOOEEEOEOEOEOEEE
3547,70,2633,2633/3547,1049,OOOEOOOEOOOOOOOOEEEEOOOOOEOEEOEOOOOOOOEOEOOEEOOOOEEOEOEOOOEEEOOOEOEEEE
3973,59,3326,3326/3973,1890,OOOOOOOEOOOOEEOOOOOOEOEOOEEOEOOOOOEOEOEOEOOOOEEEEEEOOOOEEEE
3271,69,3181,3181/3271,2460,OOEOOOOOOOEOEOOOOOOEEEEOEOOOOOOEEOOOEOOOOOOEEOEOOOOEEEEOEEOEEOOOEEOEE
3889,77,3811,3811/3889,3350,OOOOOEOEOOOEOOEOEOEOOOOOOEOOOEOEOOOEOOOOOEEOEOEEOEOEEOOOEEOEOOEEOOEEOOOOOEEEE
