root,depth,descendant_count,min_descendant,max_descendant,branch_count
1,0,1,1,1,1
1,1,1,2,2,1
1,2,3,4,8,3
1,3,21,16,80,21
1,4,1067,7,6560,1067
1,5,46764,5,390624,46764
1,6,15933,3,119714,15933
1,7,513,9,2429,513
1,8,151926,33,1000000,151926
1,9,9183,19,50624,9183
1,10,4033,107,656098,4033
1,11,104750,25,913934,104750
1,12,1612,361,14882,1612
3,0,1,3,3,1
3,1,3,10,14,3
3,2,39,100,224,39
3,3,6429,23,50624,6429
3,4,118,469,1367,118
3,5,65904,67,872354,65904
3,6,835,3645,14882,835
3,7,13,273,599,13
3,8,5562,69,359998,5562
3,9,94,1775,5057,94
3,10,1,287,287,1
3,11,287,82370,82942,287
3,12,2,1895,1901,2
5,0,1,5,5,1
5,1,6,3,34,6
5,2,158,10,1224,158
5,3,71459,79,923520,71459
5,4,6782,23,50624,6782
5,5,124,341,1367,124
5,6,68125,49,872354,68125
5,7,901,2383,14882,901
5,8,13,273,599,13
5,9,5562,69,359998,5562
5,10,94,1775,5057,94
5,11,1,287,287,1
5,12,287,82370,82942,287
7,0,1,7,7,1
7,1,7,50,62,7
7,2,400,15,3968,400
7,3,25,185,254,25
7,4,5787,33,65024,5787
7,5,126,1057,1617,126
7,6,5,107,133,5
7,7,624,25,17954,624
7,8,33,626,685,33
7,9,21453,391876,470594,21453
7,10,103,5359,6049,103
7,11,2,307,327,2
7,12,634,94250,107582,634
9,0,1,9,9,1
9,1,9,82,98,9
9,2,821,19,9800,821
9,3,53,359,482,53
9,4,22173,51,233288,22173
9,5,357,2583,3842,357
9,6,9,191,245,9
9,7,1898,39,60514,1898
9,8,51,1101,1598,51
9,9,3,109,135,3
9,10,355,11882,18494,355
9,11,7,521,699,7
9,12,4037,271442,489998,4037
37,0,1,37,37,1
37,1,37,1370,1442,37
37,2,0,,,0
37,3,0,,,0
37,4,0,,,0
37,5,0,,,0
37,6,0,,,0
37,7,0,,,0
37,8,0,,,0
37,9,0,,,0
37,10,0,,,0
37,11,0,,,0
37,12,0,,,0
49,0,1,49,49,1
49,1,49,2402,2498,49
49,2,0,,,0
49,3,0,,,0
49,4,0,,,0
49,5,0,,,0
49,6,0,,,0
49,7,0,,,0
49,8,0,,,0
49,9,0,,,0
49,10,0,,,0
49,11,0,,,0
49,12,0,,,0
69,0,1,69,69,1
69,1,69,4762,4898,69
69,2,1,287,287,1
69,3,287,82370,82942,287
69,4,2,1895,1901,2
69,5,0,,,0
69,6,0,,,0
69,7,0,,,0
69,8,0,,,0
69,9,0,,,0
69,10,0,,,0
69,11,0,,,0
69,12,0,,,0
77,0,1,77,77,1
77,1,77,5930,6082,77
77,2,2,331,333,2
77,3,664,109562,111554,664
77,4,7,2293,2315,7
77,5,1,175,175,1
77,6,175,30626,30974,175
77,7,0,,,0
77,8,0,,,0
77,9,0,,,0
77,10,0,,,0
77,11,0,,,0
77,12,0,,,0
193,0,1,193,193,1
193,1,193,37250,37634,193
193,2,2,1119,1121,2
193,3,2240,1252162,1258882,2240
193,4,8,11621,11657,8
193,5,0,,,0
193,6,0,,,0
193,7,0,,,0
193,8,0,,,0
193,9,0,,,0
193,10,0,,,0
193,11,0,,,0
193,12,0,,,0
243,0,1,243,243,1
243,1,244,39,59534,244
243,2,41,1519,1598,41
243,3,63922,135,2556800,63922
243,4,297,17463,18695,297
243,5,4,675,701,4
243,6,2771,77,492802,2771
243,7,89,5923,6239,89
243,8,2,331,333,2
243,9,664,109562,111554,664
243,10,7,2293,2315,7
243,11,16134,175,5363854,16134
243,12,201,30247,30974,201
365,0,1,365,365,1
365,1,365,133226,133954,365
365,2,3,2611,2617,3
365,3,7841,6817322,6853922,7841
365,4,15,35955,36077,15
365,5,0,,,0
365,6,0,,,0
365,7,0,,,0
365,8,0,,,0
365,9,0,,,0
365,10,0,,,0
365,11,0,,,0
365,12,0,,,0
425,0,1,425,425,1
425,1,425,180626,181474,425
425,2,3,3197,3201,3
425,3,0,,,0
425,4,0,,,0
425,5,0,,,0
425,6,0,,,0
425,7,0,,,0
425,8,0,,,0
425,9,0,,,0
425,10,0,,,0
425,11,0,,,0
425,12,0,,,0
763,0,1,763,763,1
763,1,763,582170,583694,763
763,2,2,6973,6979,2
763,3,1,365,365,1
763,4,365,133226,133954,365
763,5,3,2611,2617,3
763,6,7841,6817322,6853922,7841
763,7,15,35955,36077,15
763,8,0,,,0
763,9,0,,,0
763,10,0,,,0
763,11,0,,,0
763,12,0,,,0
1749,0,1,1749,1749,1
1749,1,1749,3059002,3062498,1749
1749,2,4,21073,21085,4
1749,3,1,763,763,1
1749,4,763,582170,583694,763
1749,5,2,6973,6979,2
1749,6,1,365,365,1
1749,7,365,133226,133954,365
1749,8,3,2611,2617,3
1749,9,7841,6817322,6853922,7841
1749,10,15,35955,36077,15
1749,11,0,,,0
1749,12,0,,,0
1999,0,1,1999,1999,1
1999,1,1999,3996002,3999998,1999
1999,2,4,25183,25189,4
1999,3,0,,,0
1999,4,0,,,0
1999,5,0,,,0
1999,6,0,,,0
1999,7,0,,,0
1999,8,0,,,0
1999,9,0,,,0
1999,10,0,,,0
1999,11,0,,,0
1999,12,0,,,0
