root,parent,child,inverse_letter,even_remainder,child_minus_parent,mod3_class,depth,validation_status
1,1,2,E,1,1,1,1,ok
1,1,1,O,,0,1,1,ok
2,2,4,E,0,2,2,1,ok
2,2,8,E,4,6,2,1,ok
3,3,10,E,1,7,0,1,ok
3,3,14,E,5,11,0,1,ok
4,4,16,E,0,12,1,1,ok
4,4,24,E,8,20,1,1,ok
5,5,26,E,1,21,2,1,ok
5,5,34,E,9,29,2,1,ok
5,5,3,O,,-2,2,1,ok
6,6,36,E,0,30,0,1,ok
6,6,48,E,12,42,0,1,ok
7,7,50,E,1,43,1,1,ok
7,7,62,E,13,55,1,1,ok
8,8,64,E,0,56,2,1,ok
8,8,80,E,16,72,2,1,ok
9,9,82,E,1,73,0,1,ok
9,9,98,E,17,89,0,1,ok
10,10,100,E,0,90,1,1,ok
10,10,120,E,20,110,1,1,ok
11,11,122,E,1,111,2,1,ok
11,11,142,E,21,131,2,1,ok
11,11,5,O,,-6,2,1,ok
12,12,144,E,0,132,0,1,ok
12,12,168,E,24,156,0,1,ok
13,13,170,E,1,157,1,1,ok
13,13,194,E,25,181,1,1,ok
14,14,196,E,0,182,2,1,ok
14,14,224,E,28,210,2,1,ok
15,15,226,E,1,211,0,1,ok
15,15,254,E,29,239,0,1,ok
16,16,256,E,0,240,1,1,ok
16,16,288,E,32,272,1,1,ok
17,17,290,E,1,273,2,1,ok
17,17,322,E,33,305,2,1,ok
18,18,324,E,0,306,0,1,ok
18,18,360,E,36,342,0,1,ok
18,18,7,O,,-11,0,1,ok
19,19,362,E,1,343,1,1,ok
19,19,398,E,37,379,1,1,ok
20,20,400,E,0,380,2,1,ok
20,20,440,E,40,420,2,1,ok
21,21,442,E,1,421,0,1,ok
21,21,482,E,41,461,0,1,ok
22,22,484,E,0,462,1,1,ok
22,22,528,E,44,506,1,1,ok
23,23,530,E,1,507,2,1,ok
23,23,574,E,45,551,2,1,ok
24,24,576,E,0,552,0,1,ok
24,24,624,E,48,600,0,1,ok
25,25,626,E,1,601,1,1,ok
25,25,674,E,49,649,1,1,ok
26,26,676,E,0,650,2,1,ok
26,26,728,E,52,702,2,1,ok
27,27,730,E,1,703,0,1,ok
27,27,782,E,53,755,0,1,ok
27,27,9,O,,-18,0,1,ok
28,28,784,E,0,756,1,1,ok
28,28,840,E,56,812,1,1,ok
29,29,842,E,1,813,2,1,ok
29,29,898,E,57,869,2,1,ok
30,30,900,E,0,870,0,1,ok
30,30,960,E,60,930,0,1,ok
31,31,962,E,1,931,1,1,ok
31,31,1022,E,61,991,1,1,ok
32,32,1024,E,0,992,2,1,ok
32,32,1088,E,64,1056,2,1,ok
33,33,1090,E,1,1057,0,1,ok
33,33,1154,E,65,1121,0,1,ok
34,34,1156,E,0,1122,1,1,ok
34,34,1224,E,68,1190,1,1,ok
35,35,1226,E,1,1191,2,1,ok
35,35,1294,E,69,1259,2,1,ok
36,36,1296,E,0,1260,0,1,ok
36,36,1368,E,72,1332,0,1,ok
36,36,11,O,,-25,0,1,ok
37,37,1370,E,1,1333,1,1,ok
37,37,1442,E,73,1405,1,1,ok
38,38,1444,E,0,1406,2,1,ok
38,38,1520,E,76,1482,2,1,ok
39,39,1522,E,1,1483,0,1,ok
39,39,1598,E,77,1559,0,1,ok
40,40,1600,E,0,1560,1,1,ok
40,40,1680,E,80,1640,1,1,ok
41,41,1682,E,1,1641,2,1,ok
41,41,1762,E,81,1721,2,1,ok
42,42,1764,E,0,1722,0,1,ok
42,42,1848,E,84,1806,0,1,ok
43,43,1850,E,1,1807,1,1,ok
43,43,1934,E,85,1891,1,1,ok
44,44,1936,E,0,1892,2,1,ok
44,44,2024,E,88,1980,2,1,ok
45,45,2026,E,1,1981,0,1,ok
45,45,2114,E,89,2069,0,1,ok
46,46,2116,E,0,2070,1,1,ok
46,46,2208,E,92,2162,1,1,ok
46,46,13,O,,-33,1,1,ok
47,47,2210,E,1,2163,2,1,ok
47,47,2302,E,93,2255,2,1,ok
48,48,2304,E,0,2256,0,1,ok
48,48,2400,E,96,2352,0,1,ok
49,49,2402,E,1,2353,1,1,ok
49,49,2498,E,97,2449,1,1,ok
50,50,2500,E,0,2450,2,1,ok
50,50,2600,E,100,2550,2,1,ok
51,51,2602,E,1,2551,0,1,ok
51,51,2702,E,101,2651,0,1,ok
52,52,2704,E,0,2652,1,1,ok
52,52,2808,E,104,2756,1,1,ok
53,53,2810,E,1,2757,2,1,ok
53,53,2914,E,105,2861,2,1,ok
54,54,2916,E,0,2862,0,1,ok
54,54,3024,E,108,2970,0,1,ok
55,55,3026,E,1,2971,1,1,ok
55,55,3134,E,109,3079,1,1,ok
56,56,3136,E,0,3080,2,1,ok
56,56,3248,E,112,3192,2,1,ok
57,57,3250,E,1,3193,0,1,ok
57,57,3362,E,113,3305,0,1,ok
58,58,3364,E,0,3306,1,1,ok
58,58,3480,E,116,3422,1,1,ok
58,58,15,O,,-43,1,1,ok
59,59,3482,E,1,3423,2,1,ok
59,59,3598,E,117,3539,2,1,ok
60,60,3600,E,0,3540,0,1,ok
60,60,3720,E,120,3660,0,1,ok
61,61,3722,E,1,3661,1,1,ok
61,61,3842,E,121,3781,1,1,ok
62,62,3844,E,0,3782,2,1,ok
62,62,3968,E,124,3906,2,1,ok
63,63,3970,E,1,3907,0,1,ok
63,63,4094,E,125,4031,0,1,ok
64,64,4096,E,0,4032,1,1,ok
64,64,4224,E,128,4160,1,1,ok
65,65,4226,E,1,4161,2,1,ok
65,65,4354,E,129,4289,2,1,ok
66,66,4356,E,0,4290,0,1,ok
66,66,4488,E,132,4422,0,1,ok
67,67,4490,E,1,4423,1,1,ok
67,67,4622,E,133,4555,1,1,ok
68,68,4624,E,0,4556,2,1,ok
68,68,4760,E,136,4692,2,1,ok
69,69,4762,E,1,4693,0,1,ok
69,69,4898,E,137,4829,0,1,ok
70,70,4900,E,0,4830,1,1,ok
70,70,5040,E,140,4970,1,1,ok
70,70,17,O,,-53,1,1,ok
71,71,5042,E,1,4971,2,1,ok
71,71,5182,E,141,5111,2,1,ok
72,72,5184,E,0,5112,0,1,ok
72,72,5328,E,144,5256,0,1,ok
73,73,5330,E,1,5257,1,1,ok
73,73,5474,E,145,5401,1,1,ok
74,74,5476,E,0,5402,2,1,ok
74,74,5624,E,148,5550,2,1,ok
75,75,5626,E,1,5551,0,1,ok
75,75,5774,E,149,5699,0,1,ok
76,76,5776,E,0,5700,1,1,ok
76,76,5928,E,152,5852,1,1,ok
77,77,5930,E,1,5853,2,1,ok
77,77,6082,E,153,6005,2,1,ok
78,78,6084,E,0,6006,0,1,ok
78,78,6240,E,156,6162,0,1,ok
79,79,6242,E,1,6163,1,1,ok
79,79,6398,E,157,6319,1,1,ok
80,80,6400,E,0,6320,2,1,ok
80,80,6560,E,160,6480,2,1,ok
81,81,6562,E,1,6481,0,1,ok
81,81,6722,E,161,6641,0,1,ok
82,82,6724,E,0,6642,1,1,ok
82,82,6888,E,164,6806,1,1,ok
82,82,19,O,,-63,1,1,ok
83,83,6890,E,1,6807,2,1,ok
83,83,7054,E,165,6971,2,1,ok
84,84,7056,E,0,6972,0,1,ok
84,84,7224,E,168,7140,0,1,ok
85,85,7226,E,1,7141,1,1,ok
85,85,7394,E,169,7309,1,1,ok
86,86,7396,E,0,7310,2,1,ok
86,86,7568,E,172,7482,2,1,ok
87,87,7570,E,1,7483,0,1,ok
87,87,7742,E,173,7655,0,1,ok
88,88,7744,E,0,7656,1,1,ok
88,88,7920,E,176,7832,1,1,ok
89,89,7922,E,1,7833,2,1,ok
89,89,8098,E,177,8009,2,1,ok
90,90,8100,E,0,8010,0,1,ok
90,90,8280,E,180,8190,0,1,ok
91,91,8282,E,1,8191,1,1,ok
91,91,8462,E,181,8371,1,1,ok
92,92,8464,E,0,8372,2,1,ok
92,92,8648,E,184,8556,2,1,ok
93,93,8650,E,1,8557,0,1,ok
93,93,8834,E,185,8741,0,1,ok
94,94,8836,E,0,8742,1,1,ok
94,94,9024,E,188,8930,1,1,ok
95,95,9026,E,1,8931,2,1,ok
95,95,9214,E,189,9119,2,1,ok
96,96,9216,E,0,9120,0,1,ok
96,96,9408,E,192,9312,0,1,ok
96,96,21,O,,-75,0,1,ok
97,97,9410,E,1,9313,1,1,ok
97,97,9602,E,193,9505,1,1,ok
98,98,9604,E,0,9506,2,1,ok
98,98,9800,E,196,9702,2,1,ok
99,99,9802,E,1,9703,0,1,ok
99,99,9998,E,197,9899,0,1,ok
100,100,10000,E,0,9900,1,1,ok
100,100,10200,E,200,10100,1,1,ok
101,101,10202,E,1,10101,2,1,ok
101,101,10402,E,201,10301,2,1,ok
102,102,10404,E,0,10302,0,1,ok
102,102,10608,E,204,10506,0,1,ok
103,103,10610,E,1,10507,1,1,ok
103,103,10814,E,205,10711,1,1,ok
104,104,10816,E,0,10712,2,1,ok
104,104,11024,E,208,10920,2,1,ok
105,105,11026,E,1,10921,0,1,ok
105,105,11234,E,209,11129,0,1,ok
106,106,11236,E,0,11130,1,1,ok
106,106,11448,E,212,11342,1,1,ok
107,107,11450,E,1,11343,2,1,ok
107,107,11662,E,213,11555,2,1,ok
108,108,11664,E,0,11556,0,1,ok
108,108,11880,E,216,11772,0,1,ok
109,109,11882,E,1,11773,1,1,ok
109,109,12098,E,217,11989,1,1,ok
110,110,12100,E,0,11990,2,1,ok
110,110,12320,E,220,12210,2,1,ok
110,110,23,O,,-87,2,1,ok
111,111,12322,E,1,12211,0,1,ok
111,111,12542,E,221,12431,0,1,ok
112,112,12544,E,0,12432,1,1,ok
112,112,12768,E,224,12656,1,1,ok
113,113,12770,E,1,12657,2,1,ok
113,113,12994,E,225,12881,2,1,ok
114,114,12996,E,0,12882,0,1,ok
114,114,13224,E,228,13110,0,1,ok
115,115,13226,E,1,13111,1,1,ok
115,115,13454,E,229,13339,1,1,ok
116,116,13456,E,0,13340,2,1,ok
116,116,13688,E,232,13572,2,1,ok
117,117,13690,E,1,13573,0,1,ok
117,117,13922,E,233,13805,0,1,ok
118,118,13924,E,0,13806,1,1,ok
118,118,14160,E,236,14042,1,1,ok
119,119,14162,E,1,14043,2,1,ok
119,119,14398,E,237,14279,2,1,ok
120,120,14400,E,0,14280,0,1,ok
120,120,14640,E,240,14520,0,1,ok
121,121,14642,E,1,14521,1,1,ok
121,121,14882,E,241,14761,1,1,ok
122,122,14884,E,0,14762,2,1,ok
122,122,15128,E,244,15006,2,1,ok
123,123,15130,E,1,15007,0,1,ok
123,123,15374,E,245,15251,0,1,ok
124,124,15376,E,0,15252,1,1,ok
124,124,15624,E,248,15500,1,1,ok
125,125,15626,E,1,15501,2,1,ok
125,125,15874,E,249,15749,2,1,ok
125,125,25,O,,-100,2,1,ok
126,126,15876,E,0,15750,0,1,ok
126,126,16128,E,252,16002,0,1,ok
127,127,16130,E,1,16003,1,1,ok
127,127,16382,E,253,16255,1,1,ok
128,128,16384,E,0,16256,2,1,ok
128,128,16640,E,256,16512,2,1,ok
129,129,16642,E,1,16513,0,1,ok
129,129,16898,E,257,16769,0,1,ok
130,130,16900,E,0,16770,1,1,ok
130,130,17160,E,260,17030,1,1,ok
131,131,17162,E,1,17031,2,1,ok
131,131,17422,E,261,17291,2,1,ok
132,132,17424,E,0,17292,0,1,ok
132,132,17688,E,264,17556,0,1,ok
133,133,17690,E,1,17557,1,1,ok
133,133,17954,E,265,17821,1,1,ok
134,134,17956,E,0,17822,2,1,ok
134,134,18224,E,268,18090,2,1,ok
