target_m,signature_version,fan_size,distinct_child_hut_classes,class_distribution
1,v1_occupancy,1,1,v1_occupancy:0=1
1,v2_type,1,1,"v2_type:0,0=1"
1,v3_oddpos,1,1,"v3_oddpos:0,0,0=1"
1,v4_mod3,1,1,"v4_mod3:0,0,0,2=1"
1,vB_border,1,1,"vB_border:0,0,0,1,0=1"
1,vC_valuation,1,1,"vC_valuation:0,0,0,0=1"
2,v1_occupancy,3,1,v1_occupancy:0=3
2,v2_type,3,1,"v2_type:0,0=3"
2,v3_oddpos,3,1,"v3_oddpos:0,0,0=3"
2,v4_mod3,3,3,"v4_mod3:0,0,0,1=1;v4_mod3:0,0,0,0=1;v4_mod3:0,0,0,2=1"
2,vB_border,3,1,"vB_border:0,0,1,1,0=3"
2,vC_valuation,3,1,"vC_valuation:0,0,0,0=3"
3,v1_occupancy,3,1,v1_occupancy:0=3
3,v2_type,3,1,"v2_type:0,0=3"
3,v3_oddpos,3,1,"v3_oddpos:0,0,0=3"
3,v4_mod3,3,3,"v4_mod3:0,0,0,1=1;v4_mod3:0,0,0,0=1;v4_mod3:0,0,0,2=1"
3,vB_border,3,1,"vB_border:0,0,1,1,0=3"
3,vC_valuation,3,1,"vC_valuation:0,0,0,0=3"
4,v1_occupancy,5,2,v1_occupancy:0=4;v1_occupancy:1=1
4,v2_type,5,2,"v2_type:0,0=4;v2_type:0,1=1"
4,v3_oddpos,5,2,"v3_oddpos:0,0,0=4;v3_oddpos:0,1,2=1"
4,v4_mod3,5,4,"v4_mod3:0,0,0,1=2;v4_mod3:0,1,2,0=1;v4_mod3:0,0,0,2=1;v4_mod3:0,0,0,0=1"
4,vB_border,5,2,"vB_border:0,0,1,1,0=4;vB_border:0,1,1,1,0=1"
4,vC_valuation,5,2,"vC_valuation:0,0,0,0=4;vC_valuation:0,0,0,1=1"
5,v1_occupancy,5,1,v1_occupancy:0=5
5,v2_type,5,1,"v2_type:0,0=5"
5,v3_oddpos,5,1,"v3_oddpos:0,0,0=5"
5,v4_mod3,5,3,"v4_mod3:0,0,0,2=2;v4_mod3:0,0,0,1=2;v4_mod3:0,0,0,0=1"
5,vB_border,5,1,"vB_border:0,0,1,1,0=5"
5,vC_valuation,5,1,"vC_valuation:0,0,0,0=5"
