m,signature_id,signature_version,has_odd_predecessor,odd_predecessor,even_cell_lower,even_cell_upper,even_cell_size,balanced_ternary_reference,validation_status
1,v1_occupancy:1,v1_occupancy,1,1,2,2,1,"lsd=1;jet=1,0,0,0;lsd8=1",ok
1,"v2_type:1,1",v2_type,1,1,2,2,1,"lsd=1;jet=1,0,0,0;lsd8=1",ok
1,"v3_oddpos:1,1,1",v3_oddpos,1,1,2,2,1,"lsd=1;jet=1,0,0,0;lsd8=1",ok
1,"v4_mod3:1,1,1,1",v4_mod3,1,1,2,2,1,"lsd=1;jet=1,0,0,0;lsd8=1",ok
1,"vB_border:1,1,0,0,0",vB_border,1,1,2,2,1,"lsd=1;jet=1,0,0,0;lsd8=1",ok
1,"vC_valuation:-1,1,1,1",vC_valuation,1,1,2,2,1,"lsd=1;jet=1,0,0,0;lsd8=1",ok
2,v1_occupancy:0,v1_occupancy,0,,4,8,3,"lsd=-1;jet=-1,1,0,0;lsd8=-1,1",ok
2,"v2_type:0,0",v2_type,0,,4,8,3,"lsd=-1;jet=-1,1,0,0;lsd8=-1,1",ok
2,"v3_oddpos:0,0,0",v3_oddpos,0,,4,8,3,"lsd=-1;jet=-1,1,0,0;lsd8=-1,1",ok
2,"v4_mod3:0,0,0,2",v4_mod3,0,,4,8,3,"lsd=-1;jet=-1,1,0,0;lsd8=-1,1",ok
2,"vB_border:0,0,0,1,0",vB_border,0,,4,8,3,"lsd=-1;jet=-1,1,0,0;lsd8=-1,1",ok
2,"vC_valuation:0,0,0,0",vC_valuation,0,,4,8,3,"lsd=-1;jet=-1,1,0,0;lsd8=-1,1",ok
3,v1_occupancy:0,v1_occupancy,0,,10,14,3,"lsd=0;jet=0,1,0,0;lsd8=0,1",ok
3,"v2_type:1,0",v2_type,0,,10,14,3,"lsd=0;jet=0,1,0,0;lsd8=0,1",ok
3,"v3_oddpos:1,0,0",v3_oddpos,0,,10,14,3,"lsd=0;jet=0,1,0,0;lsd8=0,1",ok
3,"v4_mod3:1,0,0,0",v4_mod3,0,,10,14,3,"lsd=0;jet=0,1,0,0;lsd8=0,1",ok
3,"vB_border:1,0,-1,-1,0",vB_border,0,,10,14,3,"lsd=0;jet=0,1,0,0;lsd8=0,1",ok
3,"vC_valuation:1,2,1,0",vC_valuation,0,,10,14,3,"lsd=0;jet=0,1,0,0;lsd8=0,1",ok
4,v1_occupancy:0,v1_occupancy,0,,16,24,5,"lsd=1;jet=1,1,0,0;lsd8=1,1",ok
4,"v2_type:0,0",v2_type,0,,16,24,5,"lsd=1;jet=1,1,0,0;lsd8=1,1",ok
4,"v3_oddpos:0,0,0",v3_oddpos,0,,16,24,5,"lsd=1;jet=1,1,0,0;lsd8=1,1",ok
4,"v4_mod3:0,0,0,1",v4_mod3,0,,16,24,5,"lsd=1;jet=1,1,0,0;lsd8=1,1",ok
