# schema=juggler-certificate-harvest/v1
# k_max=20
# n_max=4756
# n_begin=261
# backend=cuda
# count_skip=0
# count_e=2248
# count_oe=1128
# count_ooee=274
# count_leftover=722
# count_uncapped=72
# count_overflow=52
# overflow_truncated=0
# uncapped_truncated=0
length	packed	count	min_n
5	7	138	313
5	11	135	263
7	15	43	271
7	23	24	285
7	27	36	431
8	31	22	767
8	47	22	519
8	55	17	455
8	59	18	269
8	79	17	971
8	87	11	629
8	91	15	349
10	63	3	1589
10	95	2	2941
10	111	5	739
10	119	4	1245
10	123	2	2947
10	159	3	2483
10	175	9	441
10	183	2	1849
10	187	3	319
10	207	5	1555
10	215	1	2761
10	219	2	2185
12	127	3	289
12	191	3	621
12	247	1	3293
12	251	1	1201
12	319	4	1161
12	351	2	1007
12	375	3	1203
12	431	2	2443
12	471	3	1045
12	575	2	913
12	607	2	3371
12	623	2	1125
12	635	2	2063
12	671	2	1795
12	699	2	1571
12	719	1	1361
12	727	1	3729
12	731	3	429
13	255	1	591
13	447	1	3913
13	507	1	1911
13	639	1	4713
13	703	1	2097
13	759	2	335
13	831	1	2201
13	863	2	1451
13	879	1	2363
13	927	1	4721
13	943	2	467
13	955	1	1249
13	983	1	1349
13	987	1	2177
13	1215	1	2537
13	1247	1	2497
13	1275	1	4283
13	1343	2	1383
13	1375	1	2959
13	1403	1	681
13	1455	3	769
13	1463	1	1315
13	1599	1	1981
13	1631	1	1277
13	1711	2	2503
13	1723	1	3667
13	1743	1	513
13	1751	1	2935
13	2239	1	3647
13	2271	1	1697
13	2295	1	2059
13	2367	1	1485
13	2399	1	3011
13	2423	2	595
13	2427	1	3389
13	2463	1	3733
13	2479	3	625
13	2511	2	1399
13	2683	1	2747
13	2735	2	2001
13	2747	1	1667
15	1979	1	1339
15	2007	1	4673
15	2543	1	2127
15	2551	1	4707
15	2927	1	1319
15	3391	1	2891
15	3487	1	2877
15	3679	1	615
15	3695	1	3503
15	3771	1	483
15	4479	1	437
15	4831	1	4195
15	4927	1	1135
15	4959	1	2209
15	5495	1	3833
15	5583	1	3065
15	5591	1	1079
15	5851	2	365
15	6335	1	3735
15	6367	1	1253
15	6383	1	2481
15	6871	1	3721
16	2815	1	773
16	2943	1	3367
16	5627	2	2181
16	5871	1	1355
16	5883	2	1891
16	5951	1	3977
16	6071	1	1065
16	6647	1	3519
16	6907	1	1323
16	7391	1	2125
16	7543	1	1917
16	7899	1	3917
16	9711	1	3613
16	11183	1	1209
16	11215	1	2283
16	11643	1	4735
16	11679	1	1163
16	11959	1	1359
16	11963	1	3847
16	13039	1	387
16	14575	1	4313
16	15007	2	2423
16	15055	1	4565
16	15067	1	1517
16	18287	1	4061
16	19359	1	1171
16	19407	1	4669
16	19835	1	3709
16	20063	1	3517
16	20087	1	1955
16	21231	1	1225
16	21871	1	4481
16	21883	1	3725
16	21979	1	4309
16	22135	1	4355
16	22895	1	2829
16	22999	1	1337
16	23223	1	3153
18	7551	1	845
18	15711	1	4361
18	23503	1	849
18	26047	1	671
18	26431	1	1235
18	27007	1	3395
18	27611	1	2831
18	28223	1	4537
18	28271	1	1113
18	35831	1	1535
18	39675	1	939
18	40159	1	2759
18	40631	1	3037
18	42967	1	4599
18	44731	1	497
18	45791	1	3653
18	50143	1	3781
18	52351	1	1307
18	52447	1	881
18	54647	1	1423
18	55671	1	3969
20	48571	1	491
20	60767	1	2155
20	111351	1	1989
20	158671	1	1437
20	166895	1	2213
20	182751	1	4243
