k,o,e,mu,kind,o_min_expanding,W_min,W_max,known_dead,leftover_residue
2,0,2,-3,all_even,2,6,6,True,False
2,1,1,-1,contracting,2,6,10,True,False
2,2,0,5,all_odd,2,10,10,True,False
3,0,3,-7,all_even,2,14,14,True,False
3,1,2,-5,contracting,2,14,26,True,False
3,2,1,1,expanding,2,18,38,True,False
3,3,0,19,all_odd,2,38,38,True,False
4,0,4,-15,all_even,3,30,30,True,False
4,1,3,-13,contracting,3,30,58,True,False
4,2,2,-7,contracting,3,34,94,True,False
4,3,1,11,expanding,3,54,130,True,False
4,4,0,65,all_odd,3,130,130,True,False
5,0,5,-31,all_even,4,62,62,True,False
5,1,4,-29,contracting,4,62,122,True,False
5,2,3,-23,contracting,4,66,206,True,False
5,3,2,-5,contracting,4,86,314,True,False
5,4,1,49,expanding,4,162,422,True,False
5,5,0,211,all_odd,4,422,422,True,False
6,0,6,-63,all_even,4,126,126,True,False
6,1,5,-61,contracting,4,126,250,True,False
6,2,4,-55,contracting,4,130,430,True,False
6,3,3,-37,contracting,4,150,682,True,False
6,4,2,17,expanding,4,226,1006,True,False
6,5,1,179,expanding,4,486,1330,True,False
6,6,0,665,all_odd,4,1330,1330,True,False
7,0,7,-127,all_even,5,254,254,True,False
7,1,6,-125,contracting,5,254,506,True,False
7,2,5,-119,contracting,5,258,878,True,False
7,3,4,-101,contracting,5,278,1418,True,False
7,4,3,-47,contracting,5,354,2174,True,False
7,5,2,115,expanding,5,614,3146,True,False
7,6,1,601,expanding,5,1458,4118,True,False
7,7,0,2059,all_odd,5,4118,4118,True,False
8,0,8,-255,all_even,6,510,510,True,False
8,1,7,-253,contracting,6,510,1018,True,False
8,2,6,-247,contracting,6,514,1774,True,False
8,3,5,-229,contracting,6,534,2890,True,False
8,4,4,-175,contracting,6,610,4510,True,False
8,5,3,-13,contracting,6,870,6778,True,False
8,6,2,473,expanding,6,1714,9694,True,False
8,7,1,1931,expanding,6,4374,12610,True,False
8,8,0,6305,all_odd,6,12610,12610,True,False
9,0,9,-511,all_even,6,1022,1022,True,False
9,1,8,-509,contracting,6,1022,2042,True,False
9,2,7,-503,contracting,6,1026,3566,True,False
9,3,6,-485,contracting,6,1046,5834,True,False
9,4,5,-431,contracting,6,1122,9182,True,False
9,5,4,-269,contracting,6,1382,14042,True,False
9,6,3,217,expanding,6,2226,20846,True,False
9,7,2,1675,expanding,6,4886,29594,True,False
9,8,1,6049,expanding,6,13122,38342,True,False
9,9,0,19171,all_odd,6,38342,38342,True,False
10,0,10,-1023,all_even,7,2046,2046,True,False
10,1,9,-1021,contracting,7,2046,4090,True,False
10,2,8,-1015,contracting,7,2050,7150,True,False
10,3,7,-997,contracting,7,2070,11722,True,False
