kind,n,L,H,L_next,r,rho,c,eta,score,L0,L1,L2,r0,r1,c2,u,v,product
c,42269,160057,1272630333269704879530768912004234664406424314542753796342803862209941926065056929394993682027249279527434822429878854856526889734071982276031430443063449149649526092038033109654779451218619555615760170293722788545246872622270286640824226378115734342816952140944694281040246374025597108076615483905200,1128109184994832350616284631794785737242980703231507925171055786537981798637744111668051715940483706269286176792680449029891782283877165762923957447827,10,7.048171495122565e+144,28.832519530102534,7.951107001066526e+294,28.832519530102534,,,,,,,,,
c,160057,160057,1272630333269704879530768912004234664406424314542753796342803862209941926065056929394993682027249279527434822429878854856526889734071982276031430443063449149649526092038033109654779451218619555615760170293722788545246872622270286640824226378115734342816952140944694281040246374025597108076615483905200,1128109184994832350616284631794785737242980703231507925171055786537981798637744111668051715940483706269286176792680449029891782283877165762923957447827,10,7.048171495122565e+144,28.832519530102534,7.951107001066526e+294,28.832519530102534,,,,,,,,,
c,184909,184909,5240125324466039832395635945656940483014584220804258446022432957762535623956878593499612755240622909543726308508802237294384025267206462436615240138847161605271119795630941705956744113000004666075551517603904955712973349863044667492778249799836471425706870802441787951401642570881411603654710114481638588,72388709924034699793827719199879802493902938533238241233912154991952110598470619102974157393829339739923722601875471620239047501787588613940599553750443,10,3.914828911736838e+146,28.832519529841495,2.833894144939424e+298,28.832519529841495,,,,,,,,,
c,191579,191579,40438783599914796485975251338248713131572812759755063044066138045082927025995997315727440030500192720695719557325340501153905400539367007881114292268015682095585807946267715634505108785686362146475780961381657175850957165369517760783616322850741202656147046832391464124139160420647142062033821105077567340,201093967089803060769870489487662404659540108940742697593497091145978599793321645579764084234074069778721521006516172936648132556417546159804361768983833,10,1.0496660233627019e+147,28.83251952864909,2.110815047573836e+299,28.83251952864909,,,,,,,,,
c,123501,123501,408673747461826855426274515638397688388342054377817857143881558206419368187480817086199039078906008597608702004620564172632459097643672127385298302051364458632725924720756844706732257572026572016094635368523016906628465969673576884006776005017325978511718597949316410062066317111167058951282558,639275955641870559650782345076618087193272344180286363214947704946109477150430948584589664927769034298675641587386299998961985191071932794281841575,10,5.1762816142530873e+141,28.832519526910286,3.3090723756230866e+288,28.832519526910286,,,,,,,,,
c,120823,120823,115439920438591180309562726804749878875965017179938053382249826534513329484248140529268224291621047561227174354989974925255534836210427726800988456885346451709680831496541797633268867629628201830537008023227160229802923428689166442796897310997517895185030423138559514964982316205491298035524110,339764507326164338294434549677232081851428174393504023414491426239757610123819867372050739023036383062856447940925870529059726550666519981171997425,10,2.812084680285743e+141,28.832519526545088,9.554465659567398e+287,28.832519526545088,,,,,,,,,
c,214103,214103,24579282721985881121097203430115952443778736364471999499450566694231232450614875304677738639213690021474309296009105895661466345357178075556261131165081887425017501474611313719478639491467326845499720839520717282564131951562778116912861385344235997347691913178262496065720952436408139590949823401758345209698,4957749763953993787845308327522027183136939632503433550294877850080093795800052016680334512929953923722032665302791012902958979185620809865098927253691761,10,2.3155909837573475e+148,28.832519526196936,1.1480120653136986e+302,28.832519526196936,,,,,,,,,
c,174607,174607,192171856256651779893967635119647762324163908997051037187595899944521909802716419537050723406078810573074595181268206339228746963207787330324462886167114643935713276237185114853217460953736144390332919858980601963042406498642799220416589150999505417349278085623049407905566644972442651421516929830602794,13862606401995686030946708275059008256384828614665930095688955025240861842296991838944332026647700688583642423930161419601696718795782223155717105399787,10,7.939318814248963e+145,28.83251952508998,1.1005965182189247e+297,28.83251952508998,,,,,,,,,
c,130885,130885,11632005167912012167963005987505133134328364880124273716129040307324359044115928169623251367234287764079344780797433419898015078473038311566128958878695064795374096974555195002902784058105351627552793266949855534724934093415412155263669511763809878342920384683463340052985890220066865703550890854,3410572557197986393245321503300133726804733697704382676889259993525114852457752427941771121219411256440457499572535756438675599572246035708258091305,10,2.6057780167307076e+142,28.832519524556766,8.887194994011545e+289,28.832519524556766,,,,,,,,,
c,101683,101683,5535688869355943659335522635781202645840586279691506472970335353625168864647993294475105101080713952796652802450530334950740389945000964317409533068586500763893123929254570415673027647677406444727747611386887198966936339721175281910924377846207499596848443120188658552064499498169009559024,2352804469002034104079117697859532151922088375207053297893866756804584837693097159966875693968712165027235587706834419119075188079907068275206415,10,2.3138621687027665e+139,28.832519523380263,5.444065251178607e+283,28.832519523380263,,,,,,,,,
