n,i,L,H,L_next,L_a,r,grew
37,0,37,86818724,9317,9317,4,True
37,1,9317,24906114455136,2233,4990602,3,False
37,2,2233,34276462,8,5854,2,False
69,0,69,13716,117,117,2,True
69,1,117,44992,14,212,2,False
89,0,89,24302,155,155,2,True
89,1,155,84722,291,291,2,True
89,2,291,4964,70,70,1,False
365,0,365,582276,763,763,2,True
365,1,763,3059506,1749,1749,2,True
365,2,1749,19782308,4447,4447,2,True
365,3,4447,161491284,12707,12707,2,True
365,4,12707,1432400,34,1196,1,False
501,0,501,1187360,1089,1089,2,True
501,1,1089,17781526790,133347,133347,3,True
501,2,133347,339791341082,763,582916,2,False
501,3,763,3059506,1749,1749,2,True
501,4,1749,19782308,4447,4447,2,True
501,5,4447,161491284,12707,12707,2,True
501,6,12707,1432400,34,1196,1,False
1517,0,1517,14362030,3789,3789,2,True
1517,1,3789,112636568,10613,10613,2,True
1517,2,10613,1143235850,33811,33811,2,True
1517,3,33811,6217088,2493,2493,1,False
1517,4,2493,291028018566,734,539470,3,False
6187,0,6187,339491658,18425,18425,2,True
6187,1,18425,248742471750750,15771571,15771571,3,True
6187,2,15771571,15675400641582836,11189,125201440,2,False
6187,3,11189,1183550,1087,1087,1,False
329,0,329,32533545863179570755492129120411963721630316057459884067704058780,180370579261640036336071806107777,180370579261640036336071806107777,8,True
329,1,180370579261640036336071806107777,3770273235023328364461642790668920055748143087755094285582942047206226296,1941719144218166368455510841464890645,1941719144218166368455510841464890645,2,True
329,2,1941719144218166368455510841464890645,4450608860210678234719664930918817118564659064289879586228390154864378511410864886,258288373266707936943,66712883764762247269829202867154107730208,2,False
329,3,258288373266707936943,4151043510194925814623446124048,45137689,2037410982152330,1,False
329,4,45137689,303255705058,27,550686,1,False
33391,0,33391,15071835100,122767,122767,2,True
33391,1,122767,149847857611240138,387101869,387101869,3,True
33391,2,387101869,21018748487260192098,67709,4584620866,2,False
33391,3,67709,4816383738386359112539037957095874424,1481427049,2194626104462069664,5,True
33391,4,1481427049,8933999245414263079633751247784,2988979632820247,2988979632820247,3,True
33391,5,2988979632820247,3290428400749648061183692207833171017185527489063568748817069149910023186201142742093191995481821788332080806953833982,57362255889649668320284478577777206022132264850029018219067,57362255889649668320284478577777206022132264850029018219067,5,True
33391,6,57362255889649668320284478577777206022132264850029018219067,2043447578465433096379016035856655938581352781744617036032750556318787718642747765457926919394196902685301311464778776776051690206578124711143637387684459174207817446009680670113306706329680205425618,1574703,1429492070095330433127176474779758964577132254588047840167037679573959735956711094023947945936529132,3,False
33391,7,1574703,1976050240,210,44452,1,False
