log10_L,count,sup_rho,inf_rho,sup_c,sup_eta,grew,declined,witness
0,4,1.2222222222222223,0.4,1.091329169322069,15.555555555555555,1,3,"{""n"":9,""L"":9,""H"":140,""L_next"":11,""r"":2,""rho"":1.2222222222222223,""c"":1.091329169322069,""eta"":15.555555555555555}"
1,47,251.8108108108108,0.1411764705882353,2.5311004538338087,2346452.0,10,37,"{""n"":37,""L"":37,""H"":86818724,""L_next"":9317,""r"":4,""rho"":251.8108108108108,""c"":2.5311004538338087,""eta"":2346452.0}"
2,490,1.5553591193842496e+58,0.04804804804804805,21.624331619915086,1.705545480102559e+241,135,355,"{""n"":663,""L"":663,""H"":11307766533079965984258844223359010907828494119652873324896780021733166159542096097177379727797856873718731056545100741084109625941065866738774869304120991337004025480315579808620479972369688625760748850793673889668580129932035025942104899396452,""L_next"":10312030961517575737940741412429331887892113723138592610754271,""r"":11,""rho"":1.5553591193842496e+58,""c"":21.624331619915086,""eta"":1.705545480102559e+241}"
3,4830,1.533320128983697e+105,0.0035517452541334966,28.832516780607875,1.4141689766948683e+214,1362,3468,"{""n"":3439,""L"":3439,""H"":848164528648926255180520072995009534333467099050701526143439141299603182659858719918542796483855417198539211071297838877241137280829640556966421055585965997440016970231167365551857085324847595538734041110,""L_next"":920958483672812612405158366722789431210704273760127073080008522988011511103151244786797801245329721147,""r"":10,""rho"":2.6779833779378092e+98,""c"":28.832516780607875,""eta"":2.4663115110466015e+200}"
4,47417,6.335362466506588e+138,0.00027729315663597184,28.832519521250628,3.8956393776933216e+282,13530,33887,"{""n"":50231,""L"":50231,""H"":12070458846139238150359075784024134507303456080959301553578276740873667328566617144525480861811496698243004971848111458701295067705565893836747492930382005284224821565576392669563698249059364402790914128013963510735783519334508520471141801515948107916526359381101032377440,""L_next"":3474256588989828504482829423613288380263076413390655585229300598037722405301563716043884856798893065278042504334427129136545650115276451,""r"":10,""rho"":6.916558676892414e+130,""c"":28.832519521250628,""eta"":2.402989955632824e+266}"
5,468339,2.3155909837573475e+148,5.2301909360791074e-05,28.832519530102534,7.507077198875823e+302,133548,334791,"{""n"":42269,""L"":160057,""H"":1272630333269704879530768912004234664406424314542753796342803862209941926065056929394993682027249279527434822429878854856526889734071982276031430443063449149649526092038033109654779451218619555615760170293722788545246872622270286640824226378115734342816952140944694281040246374025597108076615483905200,""L_next"":1128109184994832350616284631794785737242980703231507925171055786537981798637744111668051715940483706269286176792680449029891782283877165762923957447827,""r"":10,""rho"":7.048171495122565e+144,""c"":28.832519530102534,""eta"":7.951107001066526e+294}"
6,4642117,3.558248628247451e+127,1.3082935636317647e-05,19.221679687499996,1.2660298931740371e+262,1322599,3319518,"{""n"":1476225,""L"":1476225,""H"":1455287317080148079740441235273517444529350438252999824395041070264245772943618980319885896760555270796927154126121734073674195630135206926730786454881519787809523571306585166721608964375422562671976622606895215564502351093815002431373314,""L_next"":38148228229894872533644142239228380574831366085665909877327852906274986569142859795171441372600183872087759641260270387,""r"":9,""rho"":2.584174379237235e+112,""c"":19.221679687499996,""eta"":9.858167400498894e+230}"
7,5955908,5.930091013343787e+145,5.981697467940815e-07,19.221679687500004,3.5164307987538594e+299,1696995,4258913,"{""n"":16120225,""L"":16120225,""H"":11900283745734213695640355314152251766320118737833897459468471417348978751999001066093331553350337934389894727981880709468241661117812433280652201265240502426033429557904457710206378618652894073958650750915703589874051121060656664150798965947206363105403388724985387105028972466,""L_next"":3449678788776458487913783631193388154526570065030367379580758599868837225458604992072437091694807345063680241154020784590685159170060108289,""r"":9,""rho"":2.1399693793209826e+131,""c"":19.221679687500004,""eta"":7.382206976474716e+269}"
8,869039,1.271512492417483e+146,4.92444575232252e-08,19.221679687499982,1.6857766113445704e+300,246473,622566,"{""n"":13105983,""L"":101660747,""H"":66354709228242230196916037066246980960381335445958428431974116461335622566977744091997701754724121291122131611787786045094071234172446736330932262651243335655730456759409038613714879297343389111399540044148700484634296261965260846934742968064711938791739262302060294506487690051715800196766063547330129092390,""L_next"":8145839995251700878876192788133689157214570758302806900927222850701352211227571785064781440303867040285370325901917093311118948266164343114281139821655687,""r"":9,""rho"":8.012768187953312e+145,""c"":19.221679687499982,""eta"":6.5270727578110585e+299}"
9,393598,1.323299420426355e+118,7.467645149062028e-09,12.814453125000002,1.9434765768552314e+246,111113,282485,"{""n"":656329,""L"":6552283647,""H"":383184520812065393167955944209692958756297452807892767740196160836265287417770041954942583668033802587310471981531905998049305247915678500593606253922813009668407065191027667929649076740704432495470419932993453600462311913887167341666735996965559384428,""L_next"":619018998748879591420177464217375298131559166343404280554504141809567612100026339924416541470727587649574132389123985778725601,""r"":8,""rho"":9.447377923455755e+115,""c"":12.814453125000002,""eta"":5.84810642297985e+241}"
