k,n,word,odd_count,peak,peak_displacement,return_status
1,2,E,0,2,,RETURNED
2,3903,OE,1,243836,0.405465108,RETURNED
3,,,,,,NONE
4,1369,OOEE,2,11400076,0.810930215,RETURNED
5,2401,OOOEE,3,256344226312,1.216395324,RETURNED
6,,,,,,NONE
7,3025,OOOOEEE,4,417996097455891636,1.621860432,RETURNED
8,2559,OOOOOEEE,5,75863632264188022945121132,2.027325537,RETURNED
9,,,,,,NONE
10,1925,OOOOOOEEEE,6,25805811525049508711943295621416025898,2.432790614,RETURNED
11,,,,,,NONE
12,3443,OOOOOOOEEEEE,7,2703212204964362756766016142988523532614941255830635271000846,2.838255678,RETURNED
13,591,OOOOOOOOEEEEE,8,107769544086808339026305375623237105437679263888143985351176878643183694,3.243717209,RETURNED
14,,,,,,NONE
15,437,OOOOOOOEOEEEOEE,9,1302996735401042987717786358495811498015983716,2.838252266,RETURNED
16,773,OOOOOOOOEOEOEEEE,10,104873327079619798136931600284681042417509770051256091952344118969752711252,3.243717941,RETURNED
17,,,,,,NONE
18,3039,OOOOOOOOOEEEOEEOEE,11,,3.649185806,RETURNED
19,,,,,,NONE
20,2213,OOOOEOOOOOEOEEEOEOEE,12,19776727963388630692784572239267027679988085162519146644801108966,2.956038686,RETURNED
21,1247,OOEOOOOOOOOOEEEOEEOEE,13,,3.766934657,RETURNED
22,,,,,,NONE
23,663,OOOOOOOOOOOEEOEOEEEOEEE,14,,4.460113506,RETURNED
24,1629,OOOEOOOOOOOOOEEOOOEEEEEE,15,,4.172432726,RETURNED
25,,,,,,NONE
26,3795,OOOOEOOOOOOOEEOEOEOEEEOOEE,16,,3.766968817,RETURNED
27,557,OOOOOEOOOOOOOOEOEOEEEOEEOEE,17,,4.577893793,RETURNED
28,,,,,,NONE
29,2289,OOOOOOOEOOEOOOOOEEOEEEOOEEOEE,18,,4.290216554,RETURNED
30,,,,,,NONE
31,2555,OOOOEOOOOOOOOOEEEOEOEEEOEOOOEEE,19,,4.577898826,RETURNED
32,1011,OOOOEEOOEOOOOOOOEOOEEEOEOEOOEOEE,20,,3.309372116,RETURNED
33,,,,,,NONE
34,,,,,,NONE
35,899,OOOOOEOEOOOEOOOEOOOEOOEOOEEOEOEEOEE,22,,3.544953911,RETURNED
36,,,,,,NONE
37,3957,OOEOOEOOOOEEOOOOEEOOOOOOEOEOEEOOOEEEE,23,,3.1394797,RETURNED
38,,,,,,NONE
39,,,,,,NONE
40,807,OOOEOOEOOOOOOOOOEOEEOEOEOEOOOEOOEOEOEEEE,25,,4.290216705,RETURNED
41,,,,,,NONE
42,,,,,,NONE
43,293,OOOOOOOOEEEOOOOOEOEOOOOOEEEEOOEOOEOEOEOEOEE,27,,4.238092784,RETURNED
44,,,,,,NONE
45,3841,OOEOOOOOEOOEEOEOEOOOEOOEOEOOEOOEOEOOOEEOOEOEE,28,28151550430180696083945227090014132,2.262891094,RETURNED
46,425,OOOOOOOEOOEEOOOEOEEOOEOOOOOEEEEOOOOOOOEEEOEOEE,29,8230847938518493917482830769503142723891695891144676325086026635806232664,3.322929392,RETURNED
47,,,,,,NONE
48,3151,OOOOOOEOOOOOOOOOEOEEOOEEOOEOEEOEEEOOOEOEOOEOOEEE,30,,5.388829205,RETURNED
49,,,,,,NONE
50,1721,OOOOEOOOOOOEEOEOEOOOOOEOOEOOEEOOEOOOEEEEOOOOEOEEEE,31,,3.662736281,RETURNED
51,1773,OOOOOOOEOOOEOEEOOOOEEEOEOOEOOEOOOEOEEEOOEOOEOOOOEEE,32,,3.361503036,RETURNED
54,2183,OOEOOOOEOOOOOOOOEOOOEOOOOOOOEOOOEEEOOOEEEEEEOEEOEEOOEE,34,,7.481814578,RETURNED
56,3981,OOOEOOOEOOOOOEEOEOEOOOOOEEEOEOEOOOOOOOEOOOOEOEOEOEEEOEEE,35,,4.251651848,RETURNED
59,3973,OOOOOOOEOOOOEEOOOOOOEOEOOEEOEOOOOOEOEOEOEOOOOEEEEEEOOOOEEEE,37,,5.06258237,RETURNED
62,3439,OOOOOOOOOOEOEOOEOOOEEOOEEOOOEEOOEOEOOOOEOOEEOOOOOEEEOEOEOEOEEE,39,,4.487218161,RETURNED
69,3271,OOEOOOOOOOEOEOOOOOOEEEEOEOOOOOOEEOOOEOOOOOOEEOEOOOOEEEEOEEOEEOOOEEOEE,43,,5.350260773,RETURNED
70,193,OOOEOOOOOOOEOOOEEOEEOOOOOOEEEOOOEOOEEOOOOOEOOOOEEOOEOOEOEEOOEOOEEOEEEE,44,,4.774877325,RETURNED
77,3889,OOOOOEOEOOOEOOEOEOEOOOOOOEOOOEOEOOOEOOOOOEEOEOEEOEOEEOOOEEOEOOEEOOEEOOOOOEEEE,48,,5.637946471,RETURNED
183,34175,OOOOOEOOOEOOEOOOOEOEEEOOOOEOEOEOOOOEEOEOOOEOOOOOOOOEOOOOOEOOOEEEEOEOEOOOOOOOEEOOEOEOEOOEOOEOOOEOOOEEOEOEOOEEOOEEOOOEOOOOOEEOEEOOOEEOOEOOEOOOOEOEOEOOOOOEEEEOEEOOOOEEEOOOEOEEOEEOOEOOEEE,115,,7.155574975,RETURNED
