k,objective,ideal_value,actual_value,gap,relative_gap,normalized_gap,witness_n,witness_word
1,peak_displacement,0.0,,,,,2,E
2,peak_displacement,0.405465108,0.405465108,0.0,0.0,0.0,3903,OE
4,peak_displacement,0.810930216,0.810930215,1e-09,1e-09,0.0,1369,OOEE
5,peak_displacement,1.216395324,1.216395324,0.0,0.0,0.0,2401,OOOEE
7,peak_displacement,1.621860432,1.621860432,0.0,0.0,0.0,3025,OOOOEEE
8,peak_displacement,2.027325541,2.027325537,4e-09,2e-09,1e-09,2559,OOOOOEEE
10,peak_displacement,2.432790649,2.432790614,3.5e-08,1.4e-08,4e-09,1925,OOOOOOEEEE
12,peak_displacement,2.838255757,2.838255678,7.9e-08,2.8e-08,7e-09,3443,OOOOOOOEEEEE
13,peak_displacement,3.243720865,3.243717209,3.656e-06,1.127e-06,2.81e-07,591,OOOOOOOOEEEEE
15,peak_displacement,3.649185973,2.838252266,0.810933707,0.222223179,0.054062247,437,OOOOOOOEOEEEOEE
16,peak_displacement,4.054651081,3.243717941,0.81093314,0.200000721,0.050683321,773,OOOOOOOOEOEOEEEE
18,peak_displacement,4.460116189,3.649185806,0.810930383,0.181818219,0.045051688,3039,OOOOOOOOOEEEOEEOEE
20,peak_displacement,4.865581297,2.956038686,1.909542611,0.392459296,0.095477131,2213,OOOOEOOOOOEOEEEOEOEE
21,peak_displacement,5.271046405,3.766934657,1.504111748,0.285353539,0.071624369,1247,OOEOOOOOOOOOEEEOEEOEE
23,peak_displacement,5.676511514,4.460113506,1.216398008,0.214286187,0.05288687,663,OOOOOOOOOOOEEOEOEEEOEEE
24,peak_displacement,6.081976622,4.172432726,1.909543896,0.313967648,0.079564329,1629,OOOEOOOOOOOOOEEOOOEEEEEE
26,peak_displacement,6.48744173,3.766968817,2.720472913,0.419344485,0.104633574,3795,OOOOEOOOOOOOEEOEOEOEEEOOEE
27,peak_displacement,6.892906838,4.577893793,2.315013045,0.335854393,0.085741224,557,OOOOOEOOOOOOOOEOEOEEEOEEOEE
29,peak_displacement,7.298371946,4.290216554,3.008155392,0.412168003,0.103729496,2289,OOOOOOOEOOEOOOOOEEOEEEOOEEOEE
31,peak_displacement,7.703837054,4.577898826,3.125938228,0.405763804,0.100836717,2555,OOOOEOOOOOOOOOEEEOEOEEEOEOOOEEE
32,peak_displacement,8.109302162,3.309372116,4.799930046,0.591904205,0.149997814,1011,OOOOEEOOEOOOOOOOEOOEEEOEOEOOEOEE
34,peak_displacement,8.51476727,,,,,,
35,peak_displacement,8.920232378,3.544953911,5.375278467,0.602593995,0.153579385,899,OOOOOEOEOOOEOOOEOOOEOOEOOEEOEOEEOEE
37,peak_displacement,9.325697486,3.1394797,6.186217786,0.663351754,0.167195075,3957,OOEOOEOOOOEEOOOOEEOOOOOOEOEOEEOOOEEEE
39,peak_displacement,9.731162595,,,,,,
40,peak_displacement,10.136627703,4.290216705,5.846410998,0.576760947,0.146160275,807,OOOEOOEOOOOOOOOOEOEEOEOEOEOOOEOOEOEOEEEE
42,peak_displacement,10.542092811,,,,,,
43,peak_displacement,10.947557919,4.238092784,6.709465135,0.612873226,0.156034073,293,OOOOOOOOEEEOOOOOEOEOOOOOEEEEOOEOOEOEOEOEOEE
45,peak_displacement,11.353023027,2.262891094,9.090131933,0.800679424,0.202002932,3841,OOEOOOOOEOOEEOEOEOOOEOOEOEOOEOOEOEOOOEEOOEOEE
46,peak_displacement,11.758488135,3.322929392,8.435558743,0.717401646,0.183381712,425,OOOOOOOEOOEEOOOEOEEOOEOOOOOEEEEOOOOOOOEEEOEOEE
48,peak_displacement,12.163953243,5.388829205,6.775124038,0.556983729,0.141148417,3151,OOOOOOEOOOOOOOOOEOEEOOEEOOEOEEOEEEOOOEOEOOEOOEEE
50,peak_displacement,12.569418351,3.662736281,8.90668207,0.708599382,0.178133641,1721,OOOOEOOOOOOEEOEOEOOOOOEOOEOOEEOOEOOOEEEEOOOOEOEEEE
51,peak_displacement,12.974883459,3.361503036,9.613380423,0.740922294,0.188497655,1773,OOOOOOOEOOOEOEEOOOOEEEOEOOEOOEOOOEOEEEOOEOOEOOOOEEE
54,peak_displacement,13.785813676,7.481814578,6.303999098,0.457281612,0.116740724,2183,OOEOOOOEOOOOOOOOEOOOEOOOOOOOEOOOEEEOOOEEEEEEOEEOEEOOEE
56,peak_displacement,14.191278784,4.251651848,9.939626936,0.700403895,0.177493338,3981,OOOEOOOEOOOOOEEOEOEOOOOOEEEOEOEOOOOOOOEOOOOEOEOEOEEEOEEE
