k,return_constraint,admissible,optimal_word,odd_count,even_count,peak_displacement,peak_position,endpoint_displacement
1,S_j>=0 for j<k and S_k<0,True,E,0,1,0.0,0,-0.693147181
2,S_j>=0 for j<k and S_k<0,True,OE,1,1,0.405465108,1,-0.287682072
3,S_j>=0 for j<k and S_k<0,False,,,,,,
4,S_j>=0 for j<k and S_k<0,True,OOEE,2,2,0.810930216,2,-0.575364145
5,S_j>=0 for j<k and S_k<0,True,OOOEE,3,2,1.216395324,3,-0.169899037
6,S_j>=0 for j<k and S_k<0,False,,,,,,
7,S_j>=0 for j<k and S_k<0,True,OOOOEEE,4,3,1.621860432,4,-0.457581109
8,S_j>=0 for j<k and S_k<0,True,OOOOOEEE,5,3,2.027325541,5,-0.052116001
9,S_j>=0 for j<k and S_k<0,False,,,,,,
10,S_j>=0 for j<k and S_k<0,True,OOOOOOEEEE,6,4,2.432790649,6,-0.339798074
11,S_j>=0 for j<k and S_k<0,False,,,,,,
12,S_j>=0 for j<k and S_k<0,True,OOOOOOOEEEEE,7,5,2.838255757,7,-0.627480146
13,S_j>=0 for j<k and S_k<0,True,OOOOOOOOEEEEE,8,5,3.243720865,8,-0.222015038
14,S_j>=0 for j<k and S_k<0,False,,,,,,
15,S_j>=0 for j<k and S_k<0,True,OOOOOOOOOEEEEEE,9,6,3.649185973,9,-0.50969711
16,S_j>=0 for j<k and S_k<0,True,OOOOOOOOOOEEEEEE,10,6,4.054651081,10,-0.104232002
17,S_j>=0 for j<k and S_k<0,False,,,,,,
18,S_j>=0 for j<k and S_k<0,True,OOOOOOOOOOOEEEEEEE,11,7,4.460116189,11,-0.391914075
19,S_j>=0 for j<k and S_k<0,False,,,,,,
20,S_j>=0 for j<k and S_k<0,True,OOOOOOOOOOOOEEEEEEEE,12,8,4.865581297,12,-0.679596147
21,S_j>=0 for j<k and S_k<0,True,OOOOOOOOOOOOOEEEEEEEE,13,8,5.271046405,13,-0.274131039
22,S_j>=0 for j<k and S_k<0,False,,,,,,
23,S_j>=0 for j<k and S_k<0,True,OOOOOOOOOOOOOOEEEEEEEEE,14,9,5.676511514,14,-0.561813112
24,S_j>=0 for j<k and S_k<0,True,OOOOOOOOOOOOOOOEEEEEEEEE,15,9,6.081976622,15,-0.156348003
25,S_j>=0 for j<k and S_k<0,False,,,,,,
26,S_j>=0 for j<k and S_k<0,True,OOOOOOOOOOOOOOOOEEEEEEEEEE,16,10,6.48744173,16,-0.444030076
27,S_j>=0 for j<k and S_k<0,True,OOOOOOOOOOOOOOOOOEEEEEEEEEE,17,10,6.892906838,17,-0.038564968
28,S_j>=0 for j<k and S_k<0,False,,,,,,
29,S_j>=0 for j<k and S_k<0,True,OOOOOOOOOOOOOOOOOOEEEEEEEEEEE,18,11,7.298371946,18,-0.32624704
30,S_j>=0 for j<k and S_k<0,False,,,,,,
31,S_j>=0 for j<k and S_k<0,True,OOOOOOOOOOOOOOOOOOOEEEEEEEEEEEE,19,12,7.703837054,19,-0.613929113
32,S_j>=0 for j<k and S_k<0,True,OOOOOOOOOOOOOOOOOOOOEEEEEEEEEEEE,20,12,8.109302162,20,-0.208464005
33,S_j>=0 for j<k and S_k<0,False,,,,,,
34,S_j>=0 for j<k and S_k<0,True,OOOOOOOOOOOOOOOOOOOOOEEEEEEEEEEEEE,21,13,8.51476727,21,-0.496146077
35,S_j>=0 for j<k and S_k<0,True,OOOOOOOOOOOOOOOOOOOOOOEEEEEEEEEEEEE,22,13,8.920232378,22,-0.090680969
36,S_j>=0 for j<k and S_k<0,False,,,,,,
37,S_j>=0 for j<k and S_k<0,True,OOOOOOOOOOOOOOOOOOOOOOOEEEEEEEEEEEEEE,23,14,9.325697486,23,-0.378363041
38,S_j>=0 for j<k and S_k<0,False,,,,,,
39,S_j>=0 for j<k and S_k<0,True,OOOOOOOOOOOOOOOOOOOOOOOOEEEEEEEEEEEEEEE,24,15,9.731162595,24,-0.666045114
40,S_j>=0 for j<k and S_k<0,True,OOOOOOOOOOOOOOOOOOOOOOOOOEEEEEEEEEEEEEEE,25,15,10.136627703,25,-0.260580006
41,S_j>=0 for j<k and S_k<0,False,,,,,,
42,S_j>=0 for j<k and S_k<0,True,OOOOOOOOOOOOOOOOOOOOOOOOOOEEEEEEEEEEEEEEEE,26,16,10.542092811,26,-0.548262078
43,S_j>=0 for j<k and S_k<0,True,OOOOOOOOOOOOOOOOOOOOOOOOOOOEEEEEEEEEEEEEEEE,27,16,10.947557919,27,-0.14279697
44,S_j>=0 for j<k and S_k<0,False,,,,,,
45,S_j>=0 for j<k and S_k<0,True,OOOOOOOOOOOOOOOOOOOOOOOOOOOOEEEEEEEEEEEEEEEEE,28,17,11.353023027,28,-0.430479042
46,S_j>=0 for j<k and S_k<0,True,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOEEEEEEEEEEEEEEEEE,29,17,11.758488135,29,-0.025013934
47,S_j>=0 for j<k and S_k<0,False,,,,,,
48,S_j>=0 for j<k and S_k<0,True,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOEEEEEEEEEEEEEEEEEE,30,18,12.163953243,30,-0.312696007
49,S_j>=0 for j<k and S_k<0,False,,,,,,
50,S_j>=0 for j<k and S_k<0,True,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOEEEEEEEEEEEEEEEEEEE,31,19,12.569418351,31,-0.600378079
