k,admissible,deterministic_word,deterministic_o,deterministic_p,ld_p_star,ld_word,ld_is_first_return,hamming_det_vs_ld,actual_best_n,actual_best_word,actual_p,actual_hamming_to_det,actual_hamming_to_ld
1,True,E,0,0.0,0.75,O,False,1,2,E,0.0,0,1
2,True,OE,1,0.5,0.75,OO,False,1,3903,OE,0.5,0,1
3,False,,,,0.75,OOE,False,,,,,,
4,True,OOEE,2,0.5,0.75,OOOE,False,1,1369,OOEE,0.5,0,1
5,True,OOOEE,3,0.6,0.75,OOOOE,False,1,2401,OOOEE,0.6,0,1
6,False,,,,0.75,EOOOOE,False,,,,,,
7,True,OOOOEEE,4,0.571428571,0.75,EOOOOOE,False,3,3025,OOOOEEE,0.571428571,0,3
8,True,OOOOOEEE,5,0.625,0.75,EOOOOOOE,False,3,2559,OOOOOEEE,0.625,0,3
9,False,,,,0.75,EOOOOOOOE,False,,,,,,
10,True,OOOOOOEEEE,6,0.6,0.75,EOOOOOOOOE,False,4,1925,OOOOOOEEEE,0.6,0,4
11,False,,,,0.75,EOOOEOOOOOE,False,,,,,,
12,True,OOOOOOOEEEEE,7,0.583333333,0.75,EOOOEOOOOOOE,False,6,3443,OOOOOOOEEEEE,0.583333333,0,6
13,True,OOOOOOOOEEEEE,8,0.615384615,0.75,EOOOEOOOOOOOE,False,6,591,OOOOOOOOEEEEE,0.615384615,0,6
14,False,,,,0.75,EOOOEOOOEOOOOE,False,,,,,,
15,True,OOOOOOOOOEEEEEE,9,0.6,0.75,EOOOEOOOEOOOOOE,False,8,437,OOOOOOOEOEEEOEE,0.6,2,8
16,True,OOOOOOOOOOEEEEEE,10,0.625,0.75,EOOOEOOOEOOOOOOE,False,8,773,OOOOOOOOEOEOEEEE,0.625,2,6
17,False,,,,0.75,EOOOEOOOEOOOOOOOE,False,,,,,,
18,True,OOOOOOOOOOOEEEEEEE,11,0.611111111,0.75,EOOOEOOOEOOOOOOOOE,False,9,3039,OOOOOOOOOEEEOEEOEE,0.611111111,4,9
19,False,,,,0.75,EOOOEOOOEOOOEOOOOOE,False,,,,,,
20,True,OOOOOOOOOOOOEEEEEEEE,12,0.6,0.75,EOOOEOOOEOOOEOOOOOOE,False,9,2213,OOOOEOOOOOEOEEEOEOEE,0.6,4,7
21,True,OOOOOOOOOOOOOEEEEEEEE,13,0.619047619,0.75,EOOOEOOOEOOOEOOOOOOOE,False,11,1247,OOEOOOOOOOOOEEEOEEOEE,0.619047619,4,9
22,False,,,,0.75,EOOOEOOOEOOOEOOOEOOOOE,False,,,,,,
23,True,OOOOOOOOOOOOOOEEEEEEEEE,14,0.608695652,0.75,EOOOEOOOEOOOEOOOEOOOOOE,False,11,663,OOOOOOOOOOOEEOEOEEEOEEE,0.608695652,4,9
24,True,OOOOOOOOOOOOOOOEEEEEEEEE,15,0.625,0.75,EOOOEOOOEOOOEOOOEOOOOOOE,False,11,1629,OOOEOOOOOOOOOEEOOOEEEEEE,0.625,6,13
