k_run,n,n_bits,word,subsequent_e_run,peak_bits,actual_peak,source
1,3,2,OOOEE,3,6,1.182297434,phase0
2,3,2,OOOEE,3,6,1.182297434,phase0
3,3,2,OOOEE,3,6,1.182297434,phase0
4,37,6,OOOOEOOOEEOOEEE,1,45,2.145049432,phase0
5,115,7,OOOOOEEOEE,2,52,2.02729698,phase0
6,163,8,OOOOOOEOEEOOOEOEOEOEOEOE,1,84,2.432787824,phase0
7,289,9,OOOOOOOEEEEE,8,140,2.83825555,phase0
8,293,9,OOOOOOOOEEEOOOOOEOEOOOOOEEEEOOEOOEOEOEOEOEE,3,568,4.238092784,phase0
9,357,9,OOOOOOOOOOEEEEEOOEOOEOEE,5,489,4.054645759,phase0
10,357,9,OOOOOOOOOOEEEEEOOEOOEOEE,5,489,4.054645759,phase0
11,663,10,OOOOOOOOOOOEEOEOEEEOEEE,2,811,4.460113506,phase0
12,15065,14,,1,25960,7.533937999,phase1
13,15065,14,,1,25960,7.533937999,phase1
14,15845,14,,2,30929,7.703837024,phase1
15,15845,14,,2,30929,7.703837024,phase1
16,15845,14,,2,30929,7.703837024,phase1
17,15845,14,,2,30929,7.703837024,phase1
18,15845,14,,2,30929,7.703837024,phase1
19,15845,14,,2,30929,7.703837024,phase1
2,69,7,OOE,1,,,atlas_pe_upper_bound
3,99,7,OOOE,1,,,atlas_pe_upper_bound
4,37,6,OOOOE,1,,,atlas_pe_upper_bound
5,241,8,OOOOOE,1,,,atlas_pe_upper_bound
5,427,9,OOOOOEE,2,,,atlas_pe_upper_bound
7,425,9,OOOOOOOE,1,,,atlas_pe_upper_bound
8,329,9,OOOOOOOOE,1,,,atlas_pe_upper_bound
7,1307,11,OOOOOOOEEE,3,,,atlas_pe_upper_bound
8,293,9,OOOOOOOOEEE,3,,,atlas_pe_upper_bound
9,4997,13,OOOOOOOOOEEE,3,,,atlas_pe_upper_bound
11,13013,14,OOOOOOOOOOOEE,2,,,atlas_pe_upper_bound
9,6745,13,OOOOOOOOOEEEEE,5,,,atlas_pe_upper_bound
10,357,9,OOOOOOOOOOEEEEE,5,,,atlas_pe_upper_bound
13,45191,16,OOOOOOOOOOOOOEEE,3,,,atlas_pe_upper_bound
15,100145,17,OOOOOOOOOOOOOOOEE,2,,,atlas_pe_upper_bound
16,366757,19,OOOOOOOOOOOOOOOOEE,2,,,atlas_pe_upper_bound
13,171393,18,OOOOOOOOOOOOOEEEEEE,6,,,atlas_pe_upper_bound
18,354119,19,OOOOOOOOOOOOOOOOOOEE,2,,,atlas_pe_upper_bound
14,237019,18,OOOOOOOOOOOOOOEEEEEEE,7,,,atlas_pe_upper_bound
20,1509681,21,OOOOOOOOOOOOOOOOOOOOEE,2,,,atlas_pe_upper_bound
20,3476685,22,OOOOOOOOOOOOOOOOOOOOEEE,3,,,atlas_pe_upper_bound
21,5190867,23,OOOOOOOOOOOOOOOOOOOOOEEE,3,,,atlas_pe_upper_bound
