start_n,start_step,length,branch_pattern,gap_sequence,classification
2,0,2,EO,1 0,NEAR_CHAIN
36,3,4,EEEO,0 2 1 0,NEAR_CHAIN
4,0,3,EEO,0 1 0,NEAR_CHAIN
6,0,3,EEO,2 1 0,NEAR_CHAIN
18,1,4,EEEO,2 0 1 0,NEAR_CHAIN
10,0,2,EO,1 2,NEAR_CHAIN
16,0,4,EEEO,0 0 1 0,NEAR_CHAIN
82,1,2,EO,1 0,NEAR_CHAIN
38,0,4,EEEO,2 2 1 0,NEAR_CHAIN
81,0,2,OO,0 0,ODD_SQUARE_TOWER
100,0,3,EEO,0 1 2,NEAR_CHAIN
102,0,3,EEO,2 1 2,NEAR_CHAIN
1298,1,5,EEEEO,2 0 2 1 0,NEAR_CHAIN
256,0,5,EEEEO,0 0 0 1 0,NEAR_CHAIN
258,0,5,EEEEO,2 0 0 1 0,NEAR_CHAIN
324,0,5,EEEEO,0 2 0 1 0,NEAR_CHAIN
326,0,5,EEEEO,2 2 0 1 0,NEAR_CHAIN
625,0,2,OO,0 0,ODD_SQUARE_TOWER
626,0,2,EO,1 0,NEAR_CHAIN
676,0,2,EE,0 1,NEAR_CHAIN
678,0,2,EE,2 1,NEAR_CHAIN
2502,3,2,EE,2 1,NEAR_CHAIN
36,39,2,EE,0 2,NEAR_CHAIN
1296,0,5,EEEEO,0 0 2 1 0,NEAR_CHAIN
1444,0,5,EEEEO,0 2 2 1 0,NEAR_CHAIN
1446,0,5,EEEEO,2 2 2 1 0,NEAR_CHAIN
2401,0,2,OO,0 0,ODD_SQUARE_TOWER
2402,0,2,EO,1 0,NEAR_CHAIN
6561,3,3,OOO,0 0 0,ODD_SQUARE_TOWER
2500,0,2,EE,0 1,NEAR_CHAIN
16,38,3,EEE,0 0 1,NEAR_CHAIN
