n,step,state,branch,floor_output,lower_gap,upper_gap,cell_width,exact_boundary_flag
1,0,1,O,1,0,3,3,1
2,0,2,E,1,1,2,3,0
3,0,3,O,5,2,9,11,0
4,0,4,E,2,0,5,5,1
5,0,5,O,11,4,19,23,0
6,0,6,E,2,2,3,5,0
7,0,7,O,18,19,18,37,0
8,0,8,E,2,4,1,5,0
9,0,9,O,27,0,55,55,1
10,0,10,E,3,1,6,7,0
11,0,11,O,36,35,38,73,0
12,0,12,E,3,3,4,7,0
13,0,13,O,46,81,12,93,0
14,0,14,E,3,5,2,7,0
15,0,15,O,58,11,106,117,0
16,0,16,E,4,0,9,9,1
17,0,17,O,70,13,128,141,0
18,0,18,E,4,2,7,9,0
19,0,19,O,82,135,30,165,0
20,0,20,E,4,4,5,9,0
21,0,21,O,96,45,148,193,0
22,0,22,E,4,6,3,9,0
23,0,23,O,110,67,154,221,0
24,0,24,E,4,8,1,9,0
25,0,25,O,125,0,251,251,1
26,0,26,E,5,1,10,11,0
27,0,27,O,140,83,198,281,0
28,0,28,E,5,3,8,11,0
29,0,29,O,156,53,260,313,0
30,0,30,E,5,5,6,11,0
31,0,31,O,172,207,138,345,0
32,0,32,E,5,7,4,11,0
33,0,33,O,189,216,163,379,0
34,0,34,E,5,9,2,11,0
35,0,35,O,207,26,389,415,0
36,0,36,E,6,0,13,13,1
37,0,37,O,225,28,423,451,0
38,0,38,E,6,2,11,13,0
39,0,39,O,243,270,217,487,0
40,0,40,E,6,4,9,13,0
41,0,41,O,262,277,248,525,0
42,0,42,E,6,6,7,13,0
43,0,43,O,281,546,17,563,0
44,0,44,E,6,8,5,13,0
45,0,45,O,301,524,79,603,0
46,0,46,E,6,10,3,13,0
47,0,47,O,322,139,506,645,0
48,0,48,E,6,12,1,13,0
49,0,49,O,343,0,687,687,1
50,0,50,E,7,1,14,15,0
51,0,51,O,364,155,574,729,0
52,0,52,E,7,3,12,15,0
53,0,53,O,385,652,119,771,0
54,0,54,E,7,5,10,15,0
55,0,55,O,407,726,89,815,0
56,0,56,E,7,7,8,15,0
57,0,57,O,430,293,568,861,0
58,0,58,E,7,9,6,15,0
59,0,59,O,453,170,737,907,0
60,0,60,E,7,11,4,15,0
61,0,61,O,476,405,548,953,0
62,0,62,E,7,13,2,15,0
63,0,63,O,500,47,954,1001,0
64,0,64,E,8,0,17,17,1
65,0,65,O,524,49,1000,1049,0
66,0,66,E,8,2,15,17,0
67,0,67,O,548,459,638,1097,0
68,0,68,E,8,4,13,17,0
69,0,69,O,573,180,967,1147,0
70,0,70,E,8,6,11,17,0
71,0,71,O,598,307,890,1197,0
72,0,72,E,8,8,9,17,0
73,0,73,O,623,888,359,1247,0
74,0,74,E,8,10,7,17,0
75,0,75,O,649,674,625,1299,0
76,0,76,E,8,12,5,17,0
77,0,77,O,675,908,443,1351,0
78,0,78,E,8,14,3,17,0
79,0,79,O,702,235,1170,1405,0
80,0,80,E,8,16,1,17,0
81,0,81,O,729,0,1459,1459,1
82,0,82,E,9,1,18,19,0
83,0,83,O,756,251,1262,1513,0
84,0,84,E,9,3,16,19,0
85,0,85,O,783,1036,531,1567,0
86,0,86,E,9,5,14,19,0
87,0,87,O,811,782,841,1623,0
88,0,88,E,9,7,12,19,0
89,0,89,O,839,1048,631,1679,0
90,0,90,E,9,9,10,19,0
91,0,91,O,868,147,1590,1737,0
92,0,92,E,9,11,8,19,0
93,0,93,O,896,1541,252,1793,0
94,0,94,E,9,13,6,19,0
95,0,95,O,925,1750,101,1851,0
96,0,96,E,9,15,4,19,0
97,0,97,O,955,648,1263,1911,0
98,0,98,E,9,17,2,19,0
99,0,99,O,985,74,1897,1971,0
100,0,100,E,10,0,21,21,1
101,0,101,O,1015,76,1955,2031,0
102,0,102,E,10,2,19,21,0
103,0,103,O,1045,702,1389,2091,0
104,0,104,E,10,4,17,21,0
105,0,105,O,1075,2000,151,2151,0
106,0,106,E,10,6,15,21,0
107,0,107,O,1106,1807,406,2213,0
108,0,108,E,10,8,13,21,0
109,0,109,O,1137,2260,15,2275,0
110,0,110,E,10,10,11,21,0
111,0,111,O,1169,1070,1269,2339,0
112,0,112,E,10,12,9,21,0
113,0,113,O,1201,496,1907,2403,0
114,0,114,E,10,14,7,21,0
115,0,115,O,1233,586,1881,2467,0
116,0,116,E,10,16,5,21,0
117,0,117,O,1265,1388,1143,2531,0
118,0,118,E,10,18,3,21,0
119,0,119,O,1298,355,2242,2597,0
120,0,120,E,10,20,1,21,0
121,0,121,O,1331,0,2663,2663,1
122,0,122,E,11,1,22,23,0
123,0,123,O,1364,371,2358,2729,0
124,0,124,E,11,3,20,23,0
125,0,125,O,1397,1516,1279,2795,0
126,0,126,E,11,5,18,23,0
127,0,127,O,1431,622,2241,2863,0
128,0,128,E,11,7,16,23,0
129,0,129,O,1465,464,2467,2931,0
130,0,130,E,11,9,14,23,0
131,0,131,O,1499,1090,1909,2999,0
132,0,132,E,11,11,12,23,0
133,0,133,O,1533,2548,519,3067,0
134,0,134,E,11,13,10,23,0
135,0,135,O,1568,1751,1386,3137,0
136,0,136,E,11,15,8,23,0
137,0,137,O,1603,1744,1463,3207,0
138,0,138,E,11,17,6,23,0
139,0,139,O,1638,2575,702,3277,0
140,0,140,E,11,19,4,23,0
141,0,141,O,1674,945,2404,3349,0
142,0,142,E,11,21,2,23,0
143,0,143,O,1710,107,3314,3421,0
144,0,144,E,12,0,25,25,1
145,0,145,O,1746,109,3384,3493,0
146,0,146,E,12,2,23,25,0
147,0,147,O,1782,999,2566,3565,0
148,0,148,E,12,4,21,25,0
149,0,149,O,1818,2825,812,3637,0
150,0,150,E,12,6,19,25,0
151,0,151,O,1855,1926,1785,3711,0
152,0,152,E,12,8,17,25,0
153,0,153,O,1892,1913,1872,3785,0
154,0,154,E,12,10,15,25,0
155,0,155,O,1929,2834,1025,3859,0
156,0,156,E,12,12,13,25,0
157,0,157,O,1967,804,3131,3935,0
158,0,158,E,12,14,11,25,0
159,0,159,O,2004,3663,346,4009,0
160,0,160,E,12,16,9,25,0
161,0,161,O,2042,3517,568,4085,0
162,0,162,E,12,18,7,25,0
163,0,163,O,2081,186,3977,4163,0
164,0,164,E,12,20,5,25,0
165,0,165,O,2119,1964,2275,4239,0
166,0,166,E,12,22,3,25,0
167,0,167,O,2158,499,3818,4317,0
168,0,168,E,12,24,1,25,0
169,0,169,O,2197,0,4395,4395,1
170,0,170,E,13,1,26,27,0
171,0,171,O,2236,515,3958,4473,0
172,0,172,E,13,3,24,27,0
173,0,173,O,2275,2092,2459,4551,0
174,0,174,E,13,5,22,27,0
175,0,175,O,2315,150,4481,4631,0
176,0,176,E,13,7,20,27,0
177,0,177,O,2354,3917,792,4709,0
178,0,178,E,13,9,18,27,0
179,0,179,O,2394,4103,686,4789,0
180,0,180,E,13,11,16,27,0
181,0,181,O,2435,516,4355,4871,0
182,0,182,E,13,13,14,27,0
183,0,183,O,2475,2862,2089,4951,0
184,0,184,E,13,15,12,27,0
185,0,185,O,2516,1369,3664,5033,0
186,0,186,E,13,17,10,27,0
187,0,187,O,2557,954,4161,5115,0
188,0,188,E,13,19,8,27,0
189,0,189,O,2598,1665,3532,5197,0
190,0,190,E,13,21,6,27,0
191,0,191,O,2639,3550,1729,5279,0
192,0,192,E,13,23,4,27,0
193,0,193,O,2681,1296,4067,5363,0
194,0,194,E,13,25,2,27,0
195,0,195,O,2723,146,5301,5447,0
196,0,196,E,14,0,29,29,1
197,0,197,O,2765,148,5383,5531,0
198,0,198,E,14,2,27,29,0
199,0,199,O,2807,1350,4265,5615,0
200,0,200,E,14,4,25,29,0
201,0,201,O,2849,3800,1899,5699,0
202,0,202,E,14,6,23,29,0
203,0,203,O,2892,1763,4022,5785,0
204,0,204,E,14,8,21,29,0
205,0,205,O,2935,900,4971,5871,0
206,0,206,E,14,10,19,29,0
207,0,207,O,2978,1259,4698,5957,0
208,0,208,E,14,12,17,29,0
209,0,209,O,3021,2888,3155,6043,0
210,0,210,E,14,14,15,29,0
211,0,211,O,3064,5835,294,6129,0
212,0,212,E,14,16,13,29,0
213,0,213,O,3108,3933,2284,6217,0
214,0,214,E,14,18,11,29,0
215,0,215,O,3152,3271,3034,6305,0
216,0,216,E,14,20,9,29,0
217,0,217,O,3196,3897,2496,6393,0
218,0,218,E,14,22,7,29,0
219,0,219,O,3240,5859,622,6481,0
