n,output,branch,defect,gcd_n_output,gcd_n_defect,gcd_output_defect,exact_equation_class
1,1,O,0,1,1,1,SQUARE
2,1,E,1,1,1,1,DELTA_1
3,5,O,2,1,1,1,DELTA_2
4,2,E,0,2,4,2,SQUARE
5,11,O,4,1,1,1,DELTA_4
6,2,E,2,2,2,2,DELTA_2
8,2,E,4,2,4,2,DELTA_4
9,27,O,0,9,9,27,SQUARE
10,3,E,1,1,1,1,DELTA_1
12,3,E,3,3,3,3,DELTA_3
14,3,E,5,1,1,1,DELTA_5
15,58,O,11,1,1,1,DELTA_11
16,4,E,0,4,16,4,SQUARE
17,70,O,13,1,1,1,DELTA_13
18,4,E,2,2,2,2,DELTA_2
20,4,E,4,4,4,4,DELTA_4
22,4,E,6,2,2,2,DELTA_6
24,4,E,8,4,8,4,DELTA_8
25,125,O,0,25,25,125,SQUARE
26,5,E,1,1,1,1,DELTA_1
28,5,E,3,1,1,1,DELTA_3
30,5,E,5,5,5,5,DELTA_5
32,5,E,7,1,1,1,DELTA_7
34,5,E,9,1,1,1,DELTA_9
36,6,E,0,6,36,6,SQUARE
38,6,E,2,2,2,2,DELTA_2
40,6,E,4,2,4,2,DELTA_4
42,6,E,6,6,6,6,DELTA_6
44,6,E,8,2,4,2,DELTA_8
46,6,E,10,2,2,2,DELTA_10
48,6,E,12,6,12,6,DELTA_12
49,343,O,0,49,49,343,SQUARE
50,7,E,1,1,1,1,DELTA_1
52,7,E,3,1,1,1,DELTA_3
54,7,E,5,1,1,1,DELTA_5
56,7,E,7,7,7,7,DELTA_7
58,7,E,9,1,1,1,DELTA_9
60,7,E,11,1,1,1,DELTA_11
62,7,E,13,1,1,1,DELTA_13
64,8,E,0,8,64,8,SQUARE
66,8,E,2,2,2,2,DELTA_2
68,8,E,4,4,4,4,DELTA_4
70,8,E,6,2,2,2,DELTA_6
72,8,E,8,8,8,8,DELTA_8
74,8,E,10,2,2,2,DELTA_10
76,8,E,12,4,4,4,DELTA_12
78,8,E,14,2,2,2,DELTA_14
80,8,E,16,8,16,8,DELTA_16
81,729,O,0,81,81,729,SQUARE
82,9,E,1,1,1,1,DELTA_1
84,9,E,3,3,3,3,DELTA_3
86,9,E,5,1,1,1,DELTA_5
88,9,E,7,1,1,1,DELTA_7
90,9,E,9,9,9,9,DELTA_9
92,9,E,11,1,1,1,DELTA_11
94,9,E,13,1,1,1,DELTA_13
96,9,E,15,3,3,3,DELTA_15
100,10,E,0,10,100,10,SQUARE
102,10,E,2,2,2,2,DELTA_2
104,10,E,4,2,4,2,DELTA_4
106,10,E,6,2,2,2,DELTA_6
108,10,E,8,2,4,2,DELTA_8
110,10,E,10,10,10,10,DELTA_10
112,10,E,12,2,4,2,DELTA_12
114,10,E,14,2,2,2,DELTA_14
116,10,E,16,2,4,2,DELTA_16
121,1331,O,0,121,121,1331,SQUARE
122,11,E,1,1,1,1,DELTA_1
124,11,E,3,1,1,1,DELTA_3
126,11,E,5,1,1,1,DELTA_5
128,11,E,7,1,1,1,DELTA_7
130,11,E,9,1,1,1,DELTA_9
132,11,E,11,11,11,11,DELTA_11
134,11,E,13,1,1,1,DELTA_13
136,11,E,15,1,1,1,DELTA_15
144,12,E,0,12,144,12,SQUARE
146,12,E,2,2,2,2,DELTA_2
148,12,E,4,4,4,4,DELTA_4
150,12,E,6,6,6,6,DELTA_6
152,12,E,8,4,8,4,DELTA_8
154,12,E,10,2,2,2,DELTA_10
156,12,E,12,12,12,12,DELTA_12
158,12,E,14,2,2,2,DELTA_14
160,12,E,16,4,16,4,DELTA_16
169,2197,O,0,169,169,2197,SQUARE
170,13,E,1,1,1,1,DELTA_1
172,13,E,3,1,1,1,DELTA_3
174,13,E,5,1,1,1,DELTA_5
176,13,E,7,1,1,1,DELTA_7
178,13,E,9,1,1,1,DELTA_9
180,13,E,11,1,1,1,DELTA_11
182,13,E,13,13,13,13,DELTA_13
184,13,E,15,1,1,1,DELTA_15
196,14,E,0,14,196,14,SQUARE
198,14,E,2,2,2,2,DELTA_2
200,14,E,4,2,4,2,DELTA_4
202,14,E,6,2,2,2,DELTA_6
204,14,E,8,2,4,2,DELTA_8
206,14,E,10,2,2,2,DELTA_10
208,14,E,12,2,4,2,DELTA_12
210,14,E,14,14,14,14,DELTA_14
212,14,E,16,2,4,2,DELTA_16
225,3375,O,0,225,225,3375,SQUARE
226,15,E,1,1,1,1,DELTA_1
228,15,E,3,3,3,3,DELTA_3
230,15,E,5,5,5,5,DELTA_5
232,15,E,7,1,1,1,DELTA_7
234,15,E,9,3,9,3,DELTA_9
236,15,E,11,1,1,1,DELTA_11
238,15,E,13,1,1,1,DELTA_13
240,15,E,15,15,15,15,DELTA_15
256,16,E,0,16,256,16,SQUARE
258,16,E,2,2,2,2,DELTA_2
260,16,E,4,4,4,4,DELTA_4
262,16,E,6,2,2,2,DELTA_6
264,16,E,8,8,8,8,DELTA_8
266,16,E,10,2,2,2,DELTA_10
268,16,E,12,4,4,4,DELTA_12
270,16,E,14,2,2,2,DELTA_14
272,16,E,16,16,16,16,DELTA_16
289,4913,O,0,289,289,4913,SQUARE
290,17,E,1,1,1,1,DELTA_1
292,17,E,3,1,1,1,DELTA_3
294,17,E,5,1,1,1,DELTA_5
296,17,E,7,1,1,1,DELTA_7
298,17,E,9,1,1,1,DELTA_9
300,17,E,11,1,1,1,DELTA_11
302,17,E,13,1,1,1,DELTA_13
304,17,E,15,1,1,1,DELTA_15
324,18,E,0,18,324,18,SQUARE
326,18,E,2,2,2,2,DELTA_2
328,18,E,4,2,4,2,DELTA_4
330,18,E,6,6,6,6,DELTA_6
332,18,E,8,2,4,2,DELTA_8
334,18,E,10,2,2,2,DELTA_10
336,18,E,12,6,12,6,DELTA_12
338,18,E,14,2,2,2,DELTA_14
340,18,E,16,2,4,2,DELTA_16
361,6859,O,0,361,361,6859,SQUARE
362,19,E,1,1,1,1,DELTA_1
364,19,E,3,1,1,1,DELTA_3
366,19,E,5,1,1,1,DELTA_5
368,19,E,7,1,1,1,DELTA_7
370,19,E,9,1,1,1,DELTA_9
372,19,E,11,1,1,1,DELTA_11
374,19,E,13,1,1,1,DELTA_13
376,19,E,15,1,1,1,DELTA_15
400,20,E,0,20,400,20,SQUARE
402,20,E,2,2,2,2,DELTA_2
404,20,E,4,4,4,4,DELTA_4
406,20,E,6,2,2,2,DELTA_6
408,20,E,8,4,8,4,DELTA_8
410,20,E,10,10,10,10,DELTA_10
