round,target,predecessor,branch,validation_status
1,1,2,E,ok
2,2,4,E,ok
2,2,6,E,ok
2,2,8,E,ok
3,4,16,E,ok
3,4,18,E,ok
3,4,20,E,ok
3,4,22,E,ok
3,4,24,E,ok
3,6,36,E,ok
3,6,38,E,ok
3,6,40,E,ok
3,6,42,E,ok
3,6,44,E,ok
3,6,46,E,ok
3,6,48,E,ok
3,8,64,E,ok
3,8,66,E,ok
3,8,68,E,ok
3,8,70,E,ok
3,8,72,E,ok
3,8,74,E,ok
3,8,76,E,ok
3,8,78,E,ok
3,8,80,E,ok
4,16,256,E,ok
4,16,258,E,ok
4,16,260,E,ok
4,16,262,E,ok
4,16,264,E,ok
4,16,266,E,ok
4,16,268,E,ok
4,16,270,E,ok
4,16,272,E,ok
4,16,274,E,ok
4,16,276,E,ok
4,16,278,E,ok
4,16,280,E,ok
4,16,282,E,ok
4,16,284,E,ok
4,16,286,E,ok
4,16,288,E,ok
4,18,324,E,ok
4,18,326,E,ok
4,18,328,E,ok
4,18,330,E,ok
4,18,332,E,ok
4,18,334,E,ok
4,18,336,E,ok
4,18,338,E,ok
4,18,340,E,ok
4,18,342,E,ok
4,18,344,E,ok
4,18,346,E,ok
4,18,348,E,ok
4,18,350,E,ok
4,18,352,E,ok
4,18,354,E,ok
4,18,356,E,ok
4,18,358,E,ok
4,18,360,E,ok
4,18,7,O,ok
4,20,400,E,ok
4,20,402,E,ok
4,20,404,E,ok
4,20,406,E,ok
4,20,408,E,ok
4,20,410,E,ok
4,20,412,E,ok
4,20,414,E,ok
4,20,416,E,ok
4,20,418,E,ok
4,20,420,E,ok
4,20,422,E,ok
4,20,424,E,ok
4,20,426,E,ok
4,20,428,E,ok
4,20,430,E,ok
4,20,432,E,ok
4,20,434,E,ok
4,20,436,E,ok
4,20,438,E,ok
4,20,440,E,ok
4,22,484,E,ok
4,22,486,E,ok
4,22,488,E,ok
4,22,490,E,ok
4,22,492,E,ok
4,22,494,E,ok
4,22,496,E,ok
4,22,498,E,ok
4,22,500,E,ok
4,22,502,E,ok
4,22,504,E,ok
4,22,506,E,ok
4,22,508,E,ok
4,22,510,E,ok
4,22,512,E,ok
4,22,514,E,ok
4,22,516,E,ok
4,22,518,E,ok
4,22,520,E,ok
4,22,522,E,ok
4,22,524,E,ok
4,22,526,E,ok
4,22,528,E,ok
4,24,576,E,ok
4,24,578,E,ok
4,24,580,E,ok
4,24,582,E,ok
4,24,584,E,ok
4,24,586,E,ok
4,24,588,E,ok
4,24,590,E,ok
4,24,592,E,ok
4,24,594,E,ok
4,24,596,E,ok
