n,O,O_E,O_O,D,D_E,D_O,max_abs_D,max_abs_D_E,max_abs_D_O,max_D_O_over_n13,max_D_O_over_n12,O_E_closed,even_bound_ok
10,6,2,4,1.0,-0.5,1.5,1.5,1.0,1.5,0.69623833,0.47434165,2,1
16,8,4,4,0.0,0.0,0.0,1.5,1.0,1.5,0.59527539,0.375,4,1
32,13,8,5,-3.0,0.0,-3.0,4.0,2.0,3.0,0.94494079,0.53033009,8,1
64,31,16,15,-1.0,0.0,-1.0,4.0,3.0,3.0,0.75,0.375,16,1
100,51,25,26,1.0,0.0,1.0,5.0,4.0,3.0,0.64633041,0.3,25,1
128,66,29,37,2.0,-3.0,5.0,5.0,5.0,5.0,0.99212566,0.44194174,29,1
256,131,64,67,3.0,0.0,3.0,6.5,7.0,7.5,1.18117598,0.46875,64,1
512,253,121,132,-3.0,-7.0,4.0,14.0,10.0,7.5,0.9375,0.3314563,121,1
1000,498,245,253,-2.0,-5.0,3.0,14.0,15.0,8.5,0.85,0.2687936,245,1
1024,513,256,257,1.0,0.0,1.0,14.0,15.0,8.5,0.84330681,0.265625,256,1
2048,1012,496,516,-12.0,-16.0,4.0,17.5,22.0,21.0,1.65364638,0.46403883,496,1
4096,2052,1024,1028,4.0,0.0,4.0,32.0,31.0,21.0,1.3125,0.328125,1024,1
8192,4073,2025,2048,-23.0,-23.0,0.0,45.0,44.0,23.5,1.16574765,0.25964077,2025,1
10000,5005,2500,2505,5.0,0.0,5.0,57.0,49.0,23.5,1.09077338,0.235,2500,1
16384,8192,4096,4096,0.0,0.0,0.0,59.0,63.0,32.5,1.27960732,0.25390625,4096,1
32768,16318,8104,8214,-66.0,-88.0,22.0,97.0,90.0,40.5,1.265625,0.223733,8104,1
65536,32764,16384,16380,-4.0,0.0,-4.0,159.0,127.0,47.5,1.17814922,0.18554688,16384,1
100000,49949,24964,24985,-51.0,-36.0,-15.0,198.0,157.0,56.0,1.20648343,0.17708755,24964,1
131072,65555,32761,32794,19.0,-7.0,26.0,202.0,180.0,56.0,1.10243092,0.15467961,32761,1
262144,131058,65536,65522,-14.0,0.0,-14.0,290.0,255.0,60.0,0.9375,0.1171875,65536,1
524288,262087,131044,131043,-57.0,-28.0,-29.0,396.0,361.0,95.0,1.17814922,0.13120145,131044,1
1000000,499927,250000,249927,-73.0,0.0,-73.0,613.0,499.0,128.0,1.28,0.128,250000,1
