n,odd_n,O_O,D_O,max_abs_D_O,max_D_O_over_n13,max_D_O_over_n12,max_D_O_over_log
10,9,4,1.5,1.5,0.69623833,0.47434165,0.65144172
16,15,4,0.0,1.5,0.59527539,0.375,0.54101064
32,31,5,-3.0,3.0,0.94494079,0.53033009,0.86561702
64,63,15,-1.0,3.0,0.75,0.375,0.72134752
100,99,26,1.0,3.0,0.64633041,0.3,0.65144172
128,127,37,5.0,5.0,0.99212566,0.44194174,1.03049646
256,255,67,3.0,7.5,1.18117598,0.46875,1.3525266
512,511,132,4.0,7.5,0.9375,0.3314563,1.20224587
1000,999,253,3.0,8.5,0.85,0.2687936,1.23050103
1024,1023,257,1.0,8.5,0.84330681,0.265625,1.22629078
2048,2047,516,4.0,21.0,1.65364638,0.46403883,2.75423599
4096,4095,1028,4.0,21.0,1.3125,0.328125,2.52471632
8192,8191,2048,0.0,23.5,1.16574765,0.25964077,2.60794873
10000,9999,2505,5.0,23.5,1.09077338,0.235,2.55148008
16384,16383,4096,0.0,32.5,1.27960732,0.25390625,3.34911349
32768,32767,8214,22.0,40.5,1.265625,0.223733,3.89527661
65536,65535,16380,-4.0,47.5,1.17814922,0.18554688,4.2830009
100000,99999,24985,-15.0,56.0,1.20648343,0.17708755,4.8640982
131072,131071,32794,26.0,56.0,1.10243092,0.15467961,4.75240719
262144,262143,65522,-14.0,60.0,0.9375,0.1171875,4.80898347
524288,524287,131043,-29.0,95.0,1.17814922,0.13120145,7.2134752
1000000,999999,249927,-73.0,128.0,1.28,0.128,9.26494895
1048576,1048575,262074,-70.0,128.0,1.25992105,0.125,9.23324826
10000000,9999999,2499896,-104.0,229.5,1.06524464,0.07257427,14.2386548
