m,c_m,lower_n,upper_n,odd_count,even_count,exact_status
1,1,1,1,1,0,ODD_CELL_UNIQUE
2,0,2,2,0,1,ODD_CELL_UNIQUE
3,0,,,0,0,ODD_CELL_UNIQUE
4,0,,,0,0,ODD_CELL_UNIQUE
5,1,3,3,1,0,ODD_CELL_UNIQUE
6,0,,,0,0,ODD_CELL_UNIQUE
7,0,,,0,0,ODD_CELL_UNIQUE
8,0,4,4,0,1,ODD_CELL_UNIQUE
9,0,,,0,0,ODD_CELL_UNIQUE
10,0,,,0,0,ODD_CELL_UNIQUE
11,1,5,5,1,0,ODD_CELL_UNIQUE
12,0,,,0,0,ODD_CELL_UNIQUE
13,0,,,0,0,ODD_CELL_UNIQUE
14,0,6,6,0,1,ODD_CELL_UNIQUE
15,0,,,0,0,ODD_CELL_UNIQUE
16,0,,,0,0,ODD_CELL_UNIQUE
17,0,,,0,0,ODD_CELL_UNIQUE
18,1,7,7,1,0,ODD_CELL_UNIQUE
19,0,,,0,0,ODD_CELL_UNIQUE
20,0,,,0,0,ODD_CELL_UNIQUE
21,0,,,0,0,ODD_CELL_UNIQUE
22,0,8,8,0,1,ODD_CELL_UNIQUE
23,0,,,0,0,ODD_CELL_UNIQUE
24,0,,,0,0,ODD_CELL_UNIQUE
25,0,,,0,0,ODD_CELL_UNIQUE
26,0,,,0,0,ODD_CELL_UNIQUE
27,1,9,9,1,0,ODD_CELL_UNIQUE
28,0,,,0,0,ODD_CELL_UNIQUE
29,0,,,0,0,ODD_CELL_UNIQUE
30,0,,,0,0,ODD_CELL_UNIQUE
31,0,10,10,0,1,ODD_CELL_UNIQUE
32,0,,,0,0,ODD_CELL_UNIQUE
33,0,,,0,0,ODD_CELL_UNIQUE
34,0,,,0,0,ODD_CELL_UNIQUE
35,0,,,0,0,ODD_CELL_UNIQUE
36,1,11,11,1,0,ODD_CELL_UNIQUE
37,0,,,0,0,ODD_CELL_UNIQUE
38,0,,,0,0,ODD_CELL_UNIQUE
39,0,,,0,0,ODD_CELL_UNIQUE
40,0,,,0,0,ODD_CELL_UNIQUE
41,0,12,12,0,1,ODD_CELL_UNIQUE
42,0,,,0,0,ODD_CELL_UNIQUE
43,0,,,0,0,ODD_CELL_UNIQUE
