n,S_O,max_abs
984093,217,217
984095,218,218
984097,219,219
984099,220,220
984101,221,221
984103,222,222
984105,223,223
984107,224,224
984109,225,225
984111,226,226
984113,227,227
984115,228,228
984437,229,229
984451,230,230
984465,231,231
984471,232,232
984497,233,233
984503,234,234
984509,235,235
984515,236,236
984521,237,237
984679,238,238
984773,239,239
984827,240,240
984861,241,241
984871,242,242
984937,243,243
984943,244,244
984949,245,245
984955,246,246
984961,247,247
984967,248,248
984973,249,249
985255,250,250
985277,251,251
985343,252,252
985345,253,253
985347,254,254
985349,255,255
985351,256,256
