set_type,source,N,cardinality,n_odd,diameter,S_O,over_odd,over_card,normalization
"J([1,N])",1..100,100,58,29,985,3,0.10344828,0.05172414,S_O(A)=sum s(x) over odd x in A
"J^2([1,N])",1..100,100,49,22,30913,12,0.54545455,0.24489796,S_O(A)=sum s(x) over odd x in A
"J([1,N])",1..1000,1000,526,265,31575,19,0.07169811,0.03612167,S_O(A)=sum s(x) over odd x in A
"J^2([1,N])",1..1000,1000,394,192,5610674,-14,0.07291667,0.03553299,S_O(A)=sum s(x) over odd x in A
"J([1,N])",1..10000,10000,5089,2551,999850,-7,0.00274402,0.00137552,S_O(A)=sum s(x) over odd x in A
"J^2([1,N])",1..10000,10000,3408,1707,996178937,-63,0.03690685,0.01848592,S_O(A)=sum s(x) over odd x in A
"J([1,N])",1..100000,100000,50293,25132,31622302,-48,0.00190992,0.00095441,S_O(A)=sum s(x) over odd x in A
"J^2([1,N])",1..100000,100000,30344,15202,177815932888,92,0.00605184,0.0030319,S_O(A)=sum s(x) over odd x in A
"J([1,N])",1..1000000,1000000,500950,250401,999998500,-29,0.00011581,5.789e-05,S_O(A)=sum s(x) over odd x in A
"J^2([1,N])",1..1000000,1000000,280771,140416,31619005707956,-32,0.00022789,0.00011397,S_O(A)=sum s(x) over odd x in A
T_O,follows O in 1..10000,10000,5000,2505,999850,-5,0.00199601,0.001,S_O(A)=sum s(x) over odd x in A
T_E,follows E in 1..10000,10000,100,50,100,-2,0.04,0.02,S_O(A)=sum s(x) over odd x in A
T_OE,follows OE in 1..10000,10000,902,451,999,-7,0.01552106,0.00776053,S_O(A)=sum s(x) over odd x in A
T_OO,follows OO in 1..10000,10000,2505,1255,996178937,-53,0.04223108,0.02115768,S_O(A)=sum s(x) over odd x in A
T_EO,follows EO in 1..10000,10000,50,26,985,4,0.15384615,0.08,S_O(A)=sum s(x) over odd x in A
T_OOE,follows OOE in 1..10000,10000,1250,633,31548,-3,0.00473934,0.0024,S_O(A)=sum s(x) over odd x in A
T_OOOEE,follows OOOEE in 1..10000,10000,317,153,2367,-5,0.03267974,0.01577287,S_O(A)=sum s(x) over odd x in A
