source_n,image_gap,gap_parity,derivative_approximation,floor_error
1,4,0,3,1
3,6,0,3,3
5,7,1,6,1
7,9,1,6,3
9,9,1,9,0
11,10,0,9,1
13,12,0,9,3
15,12,0,9,3
17,12,0,12,0
19,14,0,12,2
21,14,0,12,2
23,15,1,12,3
25,15,1,15,0
27,16,0,15,1
29,16,0,15,1
31,17,1,15,2
33,18,0,15,3
35,18,0,15,3
37,18,0,18,0
39,19,1,18,1
41,19,1,18,1
43,20,0,18,2
45,21,1,18,3
47,21,1,18,3
49,21,1,21,0
51,21,1,21,0
53,22,0,21,1
55,23,1,21,2
57,23,1,21,2
59,23,1,21,2
61,24,0,21,3
63,24,0,21,3
65,24,0,24,0
67,25,1,24,1
69,25,1,24,1
71,25,1,24,1
73,26,0,24,2
75,26,0,24,2
77,27,1,24,3
79,27,1,24,3
81,27,1,27,0
83,27,1,27,0
85,28,0,27,1
87,28,0,27,1
89,29,1,27,2
91,28,0,27,1
93,29,1,27,2
95,30,0,27,3
97,30,0,27,3
99,30,0,27,3
101,30,0,30,0
103,30,0,30,0
105,31,1,30,1
107,31,1,30,1
109,32,0,30,2
111,32,0,30,2
113,32,0,30,2
115,32,0,30,2
117,33,1,30,3
119,33,1,30,3
121,33,1,33,0
123,33,1,33,0
125,34,0,33,1
127,34,0,33,1
129,34,0,33,1
131,34,0,33,1
133,35,1,33,2
135,35,1,33,2
137,35,1,33,2
139,36,0,33,3
141,36,0,33,3
143,36,0,33,3
145,36,0,36,0
147,36,0,36,0
149,37,1,36,1
151,37,1,36,1
153,37,1,36,1
155,38,0,36,2
157,37,1,36,1
159,38,0,36,2
161,39,1,36,3
163,38,0,36,2
165,39,1,36,3
167,39,1,36,3
169,39,1,39,0
171,39,1,39,0
173,40,0,39,1
175,39,1,39,0
177,40,0,39,1
179,41,1,39,2
181,40,0,39,1
183,41,1,39,2
185,41,1,39,2
187,41,1,39,2
189,41,1,39,2
191,42,0,39,3
193,42,0,39,3
195,42,0,39,3
197,42,0,42,0
199,42,0,42,0
201,43,1,42,1
203,43,1,42,1
205,43,1,42,1
207,43,1,42,1
209,43,1,42,1
211,44,0,42,2
213,44,0,42,2
215,44,0,42,2
217,44,0,42,2
219,45,1,42,3
221,45,1,42,3
223,45,1,42,3
225,45,1,45,0
227,45,1,45,0
229,45,1,45,0
231,46,0,45,1
233,46,0,45,1
235,46,0,45,1
237,46,0,45,1
239,47,1,45,2
241,46,0,45,1
243,47,1,45,2
245,47,1,45,2
247,48,0,45,3
249,47,1,45,2
251,48,0,45,3
253,48,0,45,3
255,48,0,45,3
257,48,0,48,0
259,48,0,48,0
261,49,1,48,1
263,48,0,48,0
265,49,1,48,1
267,49,1,48,1
269,50,0,48,2
271,49,1,48,1
273,50,0,48,2
275,50,0,48,2
277,50,0,48,2
279,50,0,48,2
281,50,0,48,2
283,51,1,48,3
285,51,1,48,3
287,51,1,48,3
289,51,1,51,0
291,51,1,51,0
293,51,1,51,0
295,52,0,51,1
297,52,0,51,1
299,52,0,51,1
301,52,0,51,1
303,52,0,51,1
305,53,1,51,2
307,52,0,51,1
309,53,1,51,2
311,53,1,51,2
313,53,1,51,2
315,54,0,51,3
317,53,1,51,2
319,54,0,51,3
321,54,0,51,3
323,54,0,51,3
325,54,0,54,0
327,54,0,54,0
329,55,1,54,1
331,54,0,54,0
333,55,1,54,1
335,55,1,54,1
337,55,1,54,1
339,55,1,54,1
341,56,0,54,2
343,56,0,54,2
345,55,1,54,1
347,56,0,54,2
349,56,0,54,2
351,57,1,54,3
353,56,0,54,2
355,57,1,54,3
357,57,1,54,3
359,57,1,54,3
361,57,1,57,0
363,57,1,57,0
365,57,1,57,0
367,58,0,57,1
369,57,1,57,0
371,58,0,57,1
373,58,0,57,1
375,59,1,57,2
377,58,0,57,1
379,58,0,57,1
381,59,1,57,2
383,59,1,57,2
385,59,1,57,2
387,59,1,57,2
389,59,1,57,2
391,59,1,57,2
393,60,0,57,3
395,60,0,57,3
397,60,0,57,3
399,60,0,57,3
401,60,0,60,0
403,60,0,60,0
405,60,0,60,0
407,61,1,60,1
409,61,1,60,1
411,61,1,60,1
413,61,1,60,1
415,61,1,60,1
417,61,1,60,1
419,62,0,60,2
421,61,1,60,1
423,62,0,60,2
425,62,0,60,2
427,62,0,60,2
429,62,0,60,2
431,63,1,60,3
433,62,0,60,2
435,63,1,60,3
437,63,1,60,3
439,63,1,60,3
441,63,1,63,0
443,63,1,63,0
445,63,1,63,0
447,64,0,63,1
449,63,1,63,0
451,64,0,63,1
453,64,0,63,1
455,64,0,63,1
457,64,0,63,1
459,65,1,63,2
461,64,0,63,1
463,65,1,63,2
465,64,0,63,1
467,65,1,63,2
469,65,1,63,2
471,66,0,63,3
473,65,1,63,2
475,65,1,63,2
477,66,0,63,3
479,66,0,63,3
481,66,0,63,3
483,66,0,63,3
485,66,0,66,0
487,66,0,66,0
489,66,0,66,0
491,67,1,66,1
493,67,1,66,1
495,66,0,66,0
497,67,1,66,1
499,67,1,66,1
501,68,0,66,2
503,67,1,66,1
505,67,1,66,1
507,68,0,66,2
509,68,0,66,2
511,68,0,66,2
513,68,0,66,2
515,68,0,66,2
517,68,0,66,2
519,69,1,66,3
521,68,0,66,2
523,69,1,66,3
525,69,1,66,3
527,69,1,66,3
529,69,1,69,0
531,69,1,69,0
533,69,1,69,0
535,70,0,69,1
537,69,1,69,0
539,70,0,69,1
541,70,0,69,1
543,70,0,69,1
545,70,0,69,1
547,70,0,69,1
549,70,0,69,1
551,71,1,69,2
553,70,0,69,1
555,71,1,69,2
557,71,1,69,2
559,71,1,69,2
561,71,1,69,2
563,71,1,69,2
565,72,0,69,3
567,71,1,69,2
569,72,0,69,3
571,72,0,69,3
573,72,0,69,3
575,72,0,69,3
577,72,0,72,0
579,72,0,72,0
581,72,0,72,0
583,73,1,72,1
585,72,0,72,0
587,73,1,72,1
589,73,1,72,1
591,73,1,72,1
593,73,1,72,1
595,73,1,72,1
597,74,0,72,2
599,73,1,72,1
601,74,0,72,2
603,74,0,72,2
605,73,1,72,1
607,74,0,72,2
609,74,0,72,2
611,75,1,72,3
613,74,0,72,2
615,74,0,72,2
617,75,1,72,3
619,75,1,72,3
621,75,1,72,3
623,75,1,72,3
625,75,1,75,0
627,75,1,75,0
629,75,1,75,0
631,75,1,75,0
633,76,0,75,1
635,76,0,75,1
637,75,1,75,0
639,76,0,75,1
641,76,0,75,1
643,76,0,75,1
645,77,1,75,2
647,76,0,75,1
649,77,1,75,2
651,76,0,75,1
653,77,1,75,2
655,77,1,75,2
657,77,1,75,2
659,77,1,75,2
661,77,1,75,2
663,77,1,75,2
665,78,0,75,3
667,77,1,75,2
669,78,0,75,3
671,78,0,75,3
673,78,0,75,3
675,78,0,75,3
677,78,0,78,0
679,78,0,78,0
681,78,0,78,0
683,79,1,78,1
685,78,0,78,0
687,79,1,78,1
689,79,1,78,1
691,79,1,78,1
693,79,1,78,1
695,79,1,78,1
697,79,1,78,1
699,79,1,78,1
701,80,0,78,2
703,80,0,78,2
705,79,1,78,1
707,80,0,78,2
709,80,0,78,2
711,80,0,78,2
713,80,0,78,2
715,81,1,78,3
717,80,0,78,2
719,80,0,78,2
721,81,1,78,3
723,81,1,78,3
725,81,1,78,3
727,81,1,78,3
729,81,1,81,0
731,81,1,81,0
733,81,1,81,0
735,81,1,81,0
737,82,0,81,1
739,81,1,81,0
741,82,0,81,1
743,82,0,81,1
745,82,0,81,1
747,82,0,81,1
749,82,0,81,1
751,82,0,81,1
753,83,1,81,2
755,82,0,81,1
757,83,1,81,2
759,83,1,81,2
761,82,0,81,1
763,83,1,81,2
765,83,1,81,2
767,84,0,81,3
769,83,1,81,2
771,83,1,81,2
773,84,0,81,3
775,83,1,81,2
777,84,0,81,3
779,84,0,81,3
781,84,0,81,3
783,84,0,81,3
785,84,0,84,0
787,84,0,84,0
789,84,0,84,0
791,85,1,84,1
793,84,0,84,0
795,85,1,84,1
797,85,1,84,1
799,84,0,84,0
801,85,1,84,1
803,85,1,84,1
805,86,0,84,2
807,85,1,84,1
809,85,1,84,1
811,86,0,84,2
813,85,1,84,1
815,86,0,84,2
817,86,0,84,2
819,86,0,84,2
821,86,0,84,2
823,86,0,84,2
825,86,0,84,2
827,86,0,84,2
829,87,1,84,3
831,86,0,84,2
833,87,1,84,3
835,87,1,84,3
837,87,1,84,3
839,87,1,84,3
841,87,1,87,0
843,87,1,87,0
845,87,1,87,0
847,87,1,87,0
849,88,0,87,1
851,87,1,87,0
853,88,0,87,1
855,88,0,87,1
857,88,0,87,1
859,88,0,87,1
861,88,0,87,1
863,88,0,87,1
865,88,0,87,1
867,89,1,87,2
869,88,0,87,1
871,89,1,87,2
873,88,0,87,1
875,89,1,87,2
877,89,1,87,2
879,89,1,87,2
881,89,1,87,2
883,89,1,87,2
885,90,0,87,3
887,89,1,87,2
889,90,0,87,3
891,89,1,87,2
893,90,0,87,3
895,90,0,87,3
897,90,0,87,3
899,90,0,87,3
901,90,0,90,0
903,90,0,90,0
905,90,0,90,0
907,91,1,90,1
909,90,0,90,0
911,91,1,90,1
913,90,0,90,0
915,91,1,90,1
917,91,1,90,1
919,91,1,90,1
921,91,1,90,1
923,91,1,90,1
925,92,0,90,2
927,91,1,90,1
929,91,1,90,1
931,92,0,90,2
933,92,0,90,2
935,91,1,90,1
937,92,0,90,2
939,92,0,90,2
941,92,0,90,2
943,93,1,90,3
945,92,0,90,2
947,92,0,90,2
949,93,1,90,3
951,92,0,90,2
953,93,1,90,3
955,93,1,90,3
957,93,1,90,3
959,93,1,90,3
961,93,1,93,0
963,93,1,93,0
965,93,1,93,0
967,93,1,93,0
969,94,0,93,1
971,93,1,93,0
973,94,0,93,1
975,94,0,93,1
977,93,1,93,0
979,94,0,93,1
981,94,0,93,1
983,94,0,93,1
985,95,1,93,2
987,94,0,93,1
989,94,0,93,1
991,95,1,93,2
993,94,0,93,1
995,95,1,93,2
997,95,1,93,2
999,95,1,93,2
1001,95,1,93,2
1003,95,1,93,2
1005,95,1,93,2
1007,95,1,93,2
1009,95,1,93,2
1011,96,0,93,3
1013,95,1,93,2
1015,96,0,93,3
1017,96,0,93,3
1019,96,0,93,3
1021,96,0,93,3
1023,96,0,93,3
1025,96,0,96,0
1027,96,0,96,0
1029,96,0,96,0
1031,96,0,96,0
1033,97,1,96,1
1035,96,0,96,0
1037,97,1,96,1
1039,97,1,96,1
1041,97,1,96,1
1043,97,1,96,1
1045,97,1,96,1
1047,97,1,96,1
1049,97,1,96,1
1051,97,1,96,1
1053,98,0,96,2
1055,97,1,96,1
1057,98,0,96,2
1059,97,1,96,1
1061,98,0,96,2
1063,98,0,96,2
1065,98,0,96,2
1067,98,0,96,2
1069,98,0,96,2
1071,98,0,96,2
1073,99,1,96,3
1075,98,0,96,2
1077,99,1,96,3
1079,98,0,96,2
1081,99,1,96,3
1083,99,1,96,3
1085,99,1,96,3
1087,99,1,96,3
1089,99,1,99,0
1091,99,1,99,0
1093,99,1,99,0
1095,99,1,99,0
1097,100,0,99,1
1099,99,1,99,0
1101,100,0,99,1
1103,99,1,99,0
1105,100,0,99,1
1107,100,0,99,1
1109,100,0,99,1
1111,100,0,99,1
1113,100,0,99,1
1115,100,0,99,1
1117,101,1,99,2
1119,100,0,99,1
1121,101,1,99,2
1123,100,0,99,1
1125,101,1,99,2
1127,101,1,99,2
1129,100,0,99,1
1131,101,1,99,2
1133,101,1,99,2
1135,101,1,99,2
1137,102,0,99,3
1139,101,1,99,2
1141,101,1,99,2
1143,102,0,99,3
1145,101,1,99,2
1147,102,0,99,3
1149,102,0,99,3
1151,102,0,99,3
1153,102,0,99,3
1155,102,0,99,3
1157,102,0,102,0
1159,102,0,102,0
1161,102,0,102,0
1163,102,0,102,0
1165,103,1,102,1
1167,102,0,102,0
1169,103,1,102,1
1171,103,1,102,1
1173,102,0,102,0
1175,103,1,102,1
1177,103,1,102,1
1179,103,1,102,1
1181,104,0,102,2
1183,103,1,102,1
1185,103,1,102,1
1187,103,1,102,1
1189,104,0,102,2
1191,104,0,102,2
1193,103,1,102,1
1195,104,0,102,2
1197,104,0,102,2
1199,104,0,102,2
1201,104,0,102,2
1203,104,0,102,2
1205,104,0,102,2
1207,104,0,102,2
1209,105,1,102,3
1211,104,0,102,2
1213,105,1,102,3
1215,104,0,102,2
1217,105,1,102,3
1219,105,1,102,3
1221,105,1,102,3
1223,105,1,102,3
1225,105,1,105,0
1227,105,1,105,0
1229,105,1,105,0
1231,105,1,105,0
1233,106,0,105,1
1235,105,1,105,0
1237,106,0,105,1
1239,105,1,105,0
1241,106,0,105,1
1243,106,0,105,1
1245,106,0,105,1
1247,106,0,105,1
1249,106,0,105,1
1251,106,0,105,1
1253,106,0,105,1
1255,106,0,105,1
1257,107,1,105,2
1259,106,0,105,1
1261,107,1,105,2
1263,107,1,105,2
1265,106,0,105,1
1267,107,1,105,2
1269,107,1,105,2
1271,107,1,105,2
1273,107,1,105,2
1275,107,1,105,2
1277,108,0,105,3
1279,107,1,105,2
1281,107,1,105,2
1283,108,0,105,3
1285,107,1,105,2
1287,108,0,105,3
1289,108,0,105,3
1291,108,0,105,3
1293,108,0,105,3
1295,108,0,105,3
1297,108,0,108,0
1299,108,0,108,0
1301,108,0,108,0
1303,108,0,108,0
1305,109,1,108,1
1307,108,0,108,0
1309,109,1,108,1
1311,109,1,108,1
1313,108,0,108,0
1315,109,1,108,1
1317,109,1,108,1
1319,109,1,108,1
1321,109,1,108,1
1323,109,1,108,1
1325,109,1,108,1
1327,110,0,108,2
1329,109,1,108,1
1331,110,0,108,2
1333,109,1,108,1
1335,110,0,108,2
1337,110,0,108,2
1339,109,1,108,1
1341,110,0,108,2
1343,110,0,108,2
1345,110,0,108,2
1347,111,1,108,3
1349,110,0,108,2
1351,110,0,108,2
1353,110,0,108,2
1355,111,1,108,3
1357,111,1,108,3
1359,110,0,108,2
1361,111,1,108,3
1363,111,1,108,3
1365,111,1,108,3
1367,111,1,108,3
1369,111,1,111,0
1371,111,1,111,0
1373,111,1,111,0
1375,111,1,111,0
1377,112,0,111,1
1379,111,1,111,0
1381,111,1,111,0
1383,112,0,111,1
1385,112,0,111,1
1387,112,0,111,1
1389,111,1,111,0
1391,112,0,111,1
1393,112,0,111,1
1395,112,0,111,1
1397,113,1,111,2
1399,112,0,111,1
1401,112,0,111,1
1403,113,1,111,2
1405,112,0,111,1
1407,113,1,111,2
1409,112,0,111,1
1411,113,1,111,2
1413,113,1,111,2
1415,113,1,111,2
1417,113,1,111,2
1419,113,1,111,2
1421,113,1,111,2
1423,113,1,111,2
1425,113,1,111,2
1427,114,0,111,3
1429,113,1,111,2
1431,114,0,111,3
1433,113,1,111,2
1435,114,0,111,3
1437,114,0,111,3
1439,114,0,111,3
1441,114,0,111,3
1443,114,0,111,3
1445,114,0,114,0
1447,114,0,114,0
1449,114,0,114,0
1451,114,0,114,0
1453,115,1,114,1
1455,114,0,114,0
1457,115,1,114,1
1459,114,0,114,0
1461,115,1,114,1
1463,115,1,114,1
1465,115,1,114,1
1467,115,1,114,1
1469,115,1,114,1
1471,115,1,114,1
1473,115,1,114,1
1475,115,1,114,1
1477,116,0,114,2
1479,115,1,114,1
1481,115,1,114,1
1483,116,0,114,2
1485,116,0,114,2
1487,115,1,114,1
1489,116,0,114,2
1491,116,0,114,2
1493,116,0,114,2
1495,116,0,114,2
1497,116,0,114,2
1499,116,0,114,2
1501,117,1,114,3
1503,116,0,114,2
1505,116,0,114,2
1507,117,1,114,3
1509,116,0,114,2
1511,117,1,114,3
1513,117,1,114,3
1515,117,1,114,3
1517,117,1,114,3
1519,117,1,114,3
1521,117,1,117,0
1523,117,1,117,0
1525,117,1,117,0
1527,117,1,117,0
1529,117,1,117,0
1531,118,0,117,1
1533,117,1,117,0
1535,118,0,117,1
1537,118,0,117,1
1539,117,1,117,0
1541,118,0,117,1
1543,118,0,117,1
1545,118,0,117,1
1547,118,0,117,1
1549,118,0,117,1
1551,118,0,117,1
1553,119,1,117,2
1555,118,0,117,1
1557,118,0,117,1
1559,119,1,117,2
1561,118,0,117,1
1563,119,1,117,2
1565,119,1,117,2
1567,119,1,117,2
1569,118,0,117,1
1571,119,1,117,2
1573,119,1,117,2
1575,119,1,117,2
1577,120,0,117,3
1579,119,1,117,2
1581,119,1,117,2
1583,120,0,117,3
1585,119,1,117,2
1587,120,0,117,3
1589,119,1,117,2
1591,120,0,117,3
1593,120,0,117,3
1595,120,0,117,3
1597,120,0,117,3
1599,120,0,117,3
1601,120,0,120,0
1603,120,0,120,0
1605,120,0,120,0
1607,120,0,120,0
1609,121,1,120,1
1611,120,0,120,0
1613,121,1,120,1
1615,120,0,120,0
1617,121,1,120,1
1619,121,1,120,1
1621,120,0,120,0
1623,121,1,120,1
1625,121,1,120,1
1627,121,1,120,1
1629,121,1,120,1
1631,122,0,120,2
1633,121,1,120,1
1635,121,1,120,1
1637,122,0,120,2
1639,121,1,120,1
1641,122,0,120,2
1643,121,1,120,1
1645,122,0,120,2
1647,122,0,120,2
1649,122,0,120,2
1651,122,0,120,2
1653,122,0,120,2
1655,122,0,120,2
1657,122,0,120,2
1659,122,0,120,2
1661,122,0,120,2
1663,123,1,120,3
1665,122,0,120,2
1667,123,1,120,3
1669,122,0,120,2
1671,123,1,120,3
1673,123,1,120,3
1675,123,1,120,3
1677,123,1,120,3
1679,123,1,120,3
1681,123,1,123,0
1683,123,1,123,0
1685,123,1,123,0
1687,123,1,123,0
1689,123,1,123,0
1691,124,0,123,1
1693,123,1,123,0
1695,124,0,123,1
1697,123,1,123,0
1699,124,0,123,1
1701,124,0,123,1
1703,124,0,123,1
1705,124,0,123,1
1707,124,0,123,1
1709,124,0,123,1
1711,124,0,123,1
1713,124,0,123,1
1715,124,0,123,1
1717,125,1,123,2
1719,124,0,123,1
1721,125,1,123,2
1723,124,0,123,1
1725,125,1,123,2
1727,124,0,123,1
1729,125,1,123,2
1731,125,1,123,2
1733,125,1,123,2
1735,125,1,123,2
1737,125,1,123,2
1739,125,1,123,2
1741,125,1,123,2
1743,126,0,123,3
1745,125,1,123,2
1747,126,0,123,3
1749,125,1,123,2
1751,126,0,123,3
1753,125,1,123,2
1755,126,0,123,3
1757,126,0,123,3
1759,126,0,123,3
1761,126,0,123,3
1763,126,0,123,3
1765,126,0,126,0
1767,126,0,126,0
1769,126,0,126,0
