source_interval,image_size,image_discrepancy,normalized_image_discrepancy,iteration_depth
"[1,20] Y",10,0,0.0,1
"[1,20] J",20,-4,0.5,1
"[1,50] Y",25,2,0.16666667,1
"[1,50] J",50,-6,0.27272727,1
"[1,100] Y",50,4,0.15384615,1
"[1,100] J",100,-7,0.1372549,1
"[1,200] Y",100,17,0.29824561,1
"[1,200] J",200,30,0.28301887,1
"[1,500] Y",250,15,0.11811024,1
"[1,500] J",500,100,0.40322581,1
"[1,1000] Y",500,13,0.0513834,1
"[1,1000] J",1000,172,0.34538153,1
"[1,2000] Y",1000,2,0.00395257,1
"[1,2000] J",2000,26,0.02626263,1
"[1,10000] Y",5000,-5,0.00199601,1
"[1,100000] Y",50000,-51,0.00204122,1
"[1,1000000] Y",500000,-19,7.602e-05,1
"[2,21] Y",10,1,0.33333333,1
"[2,21] J",20,-3,0.42857143,1
"[2,51] Y",25,3,0.27272727,1
"[2,51] J",50,-5,0.23809524,1
"[2,101] Y",50,6,0.23076923,1
"[2,101] J",100,-5,0.09803922,1
"[2,201] Y",100,19,0.33333333,1
"[2,201] J",200,32,0.30188679,1
"[2,501] Y",250,17,0.13385827,1
"[2,501] J",500,102,0.41129032,1
"[2,1001] Y",500,14,0.05555556,1
"[2,1001] J",1000,173,0.34808853,1
"[2,2001] Y",1000,2,0.00395257,1
"[2,2001] J",2000,26,0.02626263,1
"[2,10001] Y",5000,-4,0.00159744,1
"[2,100001] Y",50000,-50,0.00200128,1
"[4,23] Y",10,2,1.0,1
"[4,23] J",20,-1,0.2,1
"[4,53] Y",25,5,0.45454545,1
"[4,53] J",50,-1,0.04761905,1
"[4,103] Y",50,6,0.23076923,1
"[4,103] J",100,-4,0.08,1
"[4,203] Y",100,20,0.35714286,1
"[4,203] J",200,34,0.32692308,1
"[4,503] Y",250,19,0.1496063,1
"[4,503] J",500,105,0.42510121,1
"[4,1003] Y",500,16,0.06349206,1
"[4,1003] J",1000,177,0.35613682,1
"[4,2003] Y",1000,3,0.00594059,1
"[4,2003] J",2000,28,0.02834008,1
"[4,10003] Y",5000,-3,0.00119856,1
"[4,100003] Y",50000,-50,0.00200128,1
"[8,27] Y",10,0,0.0,1
"[8,27] J",20,-4,0.66666667,1
"[8,57] Y",25,5,0.45454545,1
"[8,57] J",50,1,0.04347826,1
"[8,107] Y",50,6,0.23076923,1
"[8,107] J",100,-4,0.08,1
"[8,207] Y",100,18,0.32142857,1
"[8,207] J",200,32,0.30769231,1
"[8,507] Y",250,19,0.1496063,1
"[8,507] J",500,105,0.42510121,1
"[8,1007] Y",500,14,0.05555556,1
"[8,1007] J",1000,177,0.35470942,1
"[8,2007] Y",1000,2,0.00396825,1
"[8,2007] J",2000,27,0.02735562,1
"[8,10007] Y",5000,-4,0.00159872,1
"[8,100007] Y",50000,-50,0.00200128,1
"[9,28] Y",10,0,0.0,1
"[9,28] J",20,-5,0.71428571,1
"[9,58] Y",25,5,0.45454545,1
"[9,58] J",50,2,0.08333333,1
"[9,108] Y",50,6,0.23076923,1
"[9,108] J",100,-4,0.08,1
"[9,208] Y",100,18,0.32142857,1
"[9,208] J",200,32,0.30769231,1
"[9,508] Y",250,19,0.1496063,1
"[9,508] J",500,105,0.42510121,1
"[9,1008] Y",500,14,0.05555556,1
"[9,1008] J",1000,178,0.356,1
"[9,2008] Y",1000,2,0.00396825,1
"[9,2008] J",2000,27,0.02735562,1
"[9,10008] Y",5000,-4,0.00159872,1
"[9,100008] Y",50000,-50,0.00200128,1
"[16,35] Y",10,1,0.33333333,1
"[16,35] J",20,-4,0.5,1
"[16,65] Y",25,3,0.27272727,1
"[16,65] J",50,5,0.2173913,1
"[16,115] Y",50,5,0.17241379,1
"[16,115] J",100,-2,0.04,1
"[16,215] Y",100,16,0.28571429,1
"[16,215] J",200,33,0.32673267,1
"[16,515] Y",250,18,0.13846154,1
"[16,515] J",500,107,0.43319838,1
"[16,1015] Y",500,13,0.0513834,1
"[16,1015] J",1000,183,0.36526946,1
"[16,2015] Y",1000,3,0.00594059,1
"[16,2015] J",2000,31,0.03147208,1
"[16,10015] Y",5000,-5,0.0019992,1
"[16,100015] Y",50000,-50,0.00200112,1
"[27,46] Y",10,2,0.33333333,1
"[27,46] J",20,-2,0.2,1
"[27,76] Y",25,5,0.38461538,1
"[27,76] J",50,8,0.33333333,1
"[27,126] Y",50,9,0.29032258,1
"[27,126] J",100,6,0.11111111,1
"[27,226] Y",100,15,0.26315789,1
"[27,226] J",200,34,0.33333333,1
"[27,526] Y",250,20,0.15151515,1
"[27,526] J",500,110,0.44354839,1
"[27,1026] Y",500,14,0.05555556,1
"[27,1026] J",1000,189,0.37574553,1
"[27,2026] Y",1000,5,0.00986193,1
