A,B,length,D,abs_D,normalized_D,output_size
10,19,10,5,5,0.5,5
1014,1033,20,10,10,0.5,10
55670,55719,50,25,25,0.5,25
813554,813653,100,-50,50,0.5,50
817066,817265,200,48,48,0.24,100
85178,85677,500,58,58,0.116,250
222446,223445,1000,92,92,0.092,500
523180,525179,2000,126,126,0.063,1000
950222,955221,5000,204,204,0.0408,2500
650084,660083,10000,230,230,0.023,5000
275056,295055,20000,-252,252,0.0126,10000
630482,680481,50000,256,256,0.00512,25000
879930,979929,100000,326,326,0.00326,50000
1,100,100,-2,2,0.02,50
2,101,100,-2,2,0.02,50
4,103,100,-2,2,0.02,50
8,107,100,-2,2,0.02,50
9,108,100,-2,2,0.02,50
16,115,100,-8,8,0.08,50
27,126,100,-12,12,0.12,50
32,131,100,-18,18,0.18,50
37,136,100,-16,16,0.16,50
64,163,100,-10,10,0.1,50
74,173,100,-12,12,0.12,50
100,199,100,-12,12,0.12,50
128,227,100,0,0,0.0,50
163,262,100,4,4,0.04,50
173,272,100,2,2,0.02,50
193,292,100,10,10,0.1,50
229,328,100,10,10,0.1,50
256,355,100,8,8,0.08,50
326,425,100,8,8,0.08,50
346,445,100,4,4,0.04,50
357,456,100,4,4,0.04,50
386,485,100,-4,4,0.04,50
458,557,100,-20,20,0.2,50
512,611,100,0,0,0.0,50
714,813,100,2,2,0.02,50
961,1060,100,6,6,0.06,50
1000,1099,100,0,0,0.0,50
1024,1123,100,-8,8,0.08,50
2048,2147,100,-16,16,0.16,50
4096,4195,100,18,18,0.18,50
8192,8291,100,4,4,0.04,50
10000,10099,100,2,2,0.02,50
16384,16483,100,8,8,0.08,50
29791,29890,100,14,14,0.14,50
32768,32867,100,-6,6,0.06,50
65536,65635,100,12,12,0.12,50
99856,99955,100,8,8,0.08,50
131072,131171,100,-2,2,0.02,50
262144,262243,100,14,14,0.14,50
524288,524387,100,4,4,0.04,50
1,1000,1000,-6,6,0.006,500
2,1001,1000,-4,4,0.004,500
4,1003,1000,-4,4,0.004,500
8,1007,1000,-4,4,0.004,500
9,1008,1000,-4,4,0.004,500
16,1015,1000,-6,6,0.006,500
27,1026,1000,-4,4,0.004,500
32,1031,1000,-4,4,0.004,500
37,1036,1000,-2,2,0.002,500
64,1063,1000,-2,2,0.002,500
74,1073,1000,-8,8,0.008,500
100,1099,1000,-4,4,0.004,500
128,1127,1000,0,0,0.0,500
163,1162,1000,-10,10,0.01,500
