A,B,length,D_one,norm_one,D_n,norm_n,D_jacobian,norm_jacobian
1,20,20,2,0.2,64,0.64,36,0.46153846
1,50,50,1,0.04,-23,0.0368,3,0.00934579
1,100,100,-2,0.04,-336,0.1344,-84,0.09032258
1,200,200,-14,0.14,-2058,0.2058,-498,0.18526786
1,500,500,-4,0.016,-1306,0.020896,-180,0.01662971
1,1000,1000,-6,0.012,-1066,0.004264,-240,0.00776699
1,2000,2000,-12,0.012,-848,0.000848,-564,0.00641069
1,10000,10000,-10,0.002,6886,0.00027544,-210,0.00021158
1,100000,100000,30,0.0006,1792742,0.0007171,26382,0.00083625
1,1000000,1000000,146,0.000292,133462562,0.00053385,416838,0.00041715
10,19,10,5,1.0,75,1.0,51,1.0
37,136,100,-16,0.32,-1594,0.37069767,-456,0.35023041
163,262,100,4,0.08,1318,0.12433962,216,0.1025641
173,272,100,2,0.04,676,0.0609009,108,0.05
193,292,100,10,0.2,2708,0.22380165,474,0.21010638
229,328,100,10,0.2,2524,0.18158273,462,0.19059406
357,456,100,4,0.08,1462,0.0720197,222,0.07520325
1014,1033,20,10,1.0,10240,1.0,945,1.0
55670,55719,50,25,1.0,1392375,1.0,17661,1.0
85178,85677,500,58,0.232,4956772,0.23209121,50775,0.23198596
222446,223445,1000,92,0.184,20514328,0.18402957,130179,0.18400041
275056,295055,20000,-252,0.0252,-71427132,0.02505723,-402090,0.02512857
523180,525179,2000,126,0.126,66047010,0.12600063,273480,0.12599827
630482,680481,50000,256,0.01024,165960076,0.01012751,617940,0.01018354
650084,660083,10000,230,0.046,150576898,0.04597178,557958,0.04598635
813554,813653,100,-50,1.0,-40680200,1.0,-135225,1.0
817066,817265,200,48,0.48,39226192,0.48002722,130107,0.48014392
879930,979929,100000,326,0.00652,304190190,0.00654222,943947,0.00652993
950222,955221,5000,204,0.0816,194389832,0.0816145,597117,0.08160784
