ensemble,scale,corr_lag1,P_O,P_O_given_O,P_O_given_E,markov_gap
orbit_n<=4000,all,0.008662,0.500959,0.504253,0.494716,0.009537
orbit_n<=4000,bits_1025_4096,0.236598,,,,
orbit_n<=4000,bits_129_256,-0.006669,,,,
orbit_n<=4000,bits_17_32,0.009568,,,,
orbit_n<=4000,bits_1_8,-0.045095,,,,
orbit_n<=4000,bits_257_512,-0.046449,,,,
orbit_n<=4000,bits_33_64,0.014067,,,,
orbit_n<=4000,bits_4097_1000000000,0.282889,,,,
orbit_n<=4000,bits_513_1024,0.007953,,,,
orbit_n<=4000,bits_65_128,-0.036876,,,,
orbit_n<=4000,bits_9_16,0.020461,,,,
ordinary_n<=4000,all,0.008188,0.484084,0.481938,0.472824,0.009114
ordinary_n<=4000,bits_129_256,-0.016493,,,,
ordinary_n<=4000,bits_17_32,0.013267,,,,
ordinary_n<=4000,bits_1_8,0.023887,,,,
ordinary_n<=4000,bits_257_512,0.118108,,,,
ordinary_n<=4000,bits_33_64,0.032595,,,,
ordinary_n<=4000,bits_513_1024,,,,,
ordinary_n<=4000,bits_65_128,-0.048512,,,,
ordinary_n<=4000,bits_9_16,0.014819,,,,
hard_families_n<=4000,all,0.044717,0.626196,0.632283,0.586919,0.045364
hard_families_n<=4000,bits_1025_4096,0.236598,,,,
hard_families_n<=4000,bits_129_256,0.071262,,,,
hard_families_n<=4000,bits_17_32,0.165847,,,,
hard_families_n<=4000,bits_1_8,,,,,
hard_families_n<=4000,bits_257_512,-0.010405,,,,
hard_families_n<=4000,bits_33_64,0.049535,,,,
hard_families_n<=4000,bits_4097_1000000000,0.282889,,,,
hard_families_n<=4000,bits_513_1024,0.017609,,,,
hard_families_n<=4000,bits_65_128,0.042276,,,,
hard_families_n<=4000,bits_9_16,0.210942,,,,
records,all,0.062434,0.627491,0.645765,0.582026,0.06374
records,bits_1025_4096,0.090973,,,,
records,bits_129_256,0.10041,,,,
records,bits_17_32,0.121381,,,,
records,bits_1_8,-0.087524,,,,
records,bits_257_512,-0.013205,,,,
records,bits_33_64,0.111725,,,,
records,bits_4097_1000000000,0.094098,,,,
records,bits_513_1024,-0.026501,,,,
records,bits_65_128,0.063267,,,,
records,bits_9_16,0.310707,,,,
