range,k,P_H_ge,count,starts,ci95_lo,ci95_hi
n<=4000,1,1.0,3999,3999,0.99904,1.0
n<=4000,2,0.499875,1999,3999,0.484385,0.515365
n<=4000,3,0.252313,1009,3999,0.239093,0.266008
n<=4000,4,0.252313,1009,3999,0.239093,0.266008
n<=4000,5,0.188547,754,3999,0.176725,0.200967
n<=4000,8,0.106027,424,3999,0.096859,0.11595
n<=4000,10,0.07877,315,3999,0.070819,0.087529
n<=4000,16,0.042261,169,3999,0.036452,0.048948
n<=4000,20,0.029007,116,3999,0.02424,0.034678
n<=4000,32,0.008752,35,3999,0.0063,0.012147
n<=4000,40,0.006502,26,3999,0.004441,0.00951
n<=4000,54,0.003501,14,3999,0.002087,0.005868
n<=4000,70,0.00075,3,3999,0.000255,0.002203
n<=4000,77,0.00025,1,3999,4.4e-05,0.001415
n<=4000,80,0.0,0,3999,0.0,0.00096
n<=1e5,1,1.0,99999,99999,0.999962,1.0
n<=1e5,2,0.499995,49999,99999,0.496896,0.503094
n<=1e5,3,0.249842,24984,99999,0.247169,0.252535
n<=1e5,4,0.249842,24984,99999,0.247169,0.252535
n<=1e5,5,0.188082,18808,99999,0.185672,0.190516
n<=1e5,8,0.101331,10133,99999,0.099476,0.103217
n<=1e5,10,0.074091,7409,99999,0.072484,0.075731
n<=1e5,16,0.0394,3940,99999,0.038212,0.040624
n<=1e5,20,0.02851,2851,99999,0.027497,0.02956
n<=1e5,32,0.01096,1096,99999,0.010333,0.011624
n<=1e5,40,0.00661,661,99999,0.006126,0.007132
n<=1e5,54,0.00294,294,99999,0.002623,0.003295
n<=1e5,70,0.00128,128,99999,0.001077,0.001522
n<=1e5,77,0.00089,89,99999,0.000723,0.001095
n<=1e5,80,0.00078,78,99999,0.000625,0.000973
