n,word_prefix80,word_len,p_O,p_O_prepeak,p_O_postpeak,initial_O_run,max_O_run,max_E_run,model_p_star,p_O_residual
2,E,1,0.0,,0.0,0,0,1,0.75,
3,OOOEE,5,0.6,1.0,0.0,3,3,2,0.75,0.25
9,OOEOE,5,0.6,1.0,0.333333,2,2,1,0.75,0.25
37,OOOOEOOOEEOOEEE,15,0.6,0.875,0.285714,4,4,3,0.75,0.125
77,OOOEOEOOEE,10,0.6,1.0,0.428571,3,3,2,0.75,0.25
113,OOOEOOOOOEEEE,13,0.615385,0.888889,0.0,3,5,4,0.75,0.138889
173,OOEOOOOOOOOEOOEOOEEOEEOEEE,26,0.615385,0.823529,0.222222,2,8,3,0.75,0.073529
193,OOOEOOOOOOOEOOOEEOEEOOOOOOEEEOOOEOOEEOOOOOEOOOOEEOOEOOEOEEOOEOOEEOEEEE,70,0.628571,0.723404,0.434783,3,7,4,0.75,-0.026596
425,OOOOOOOEOOEEOOOEOEEOOEOOOOOEEEEOOOOOOOEEEOEOEE,46,0.630435,0.710526,0.25,7,7,4,0.75,-0.039474
761,OOOOOOOOOEEOEOEEOOEEOOOEOOOOEOOOEOEOOOEEOOOOEOOOOEEEOOOEEEEOEE,62,0.629032,0.714286,0.307692,9,9,4,0.75,-0.035714
2183,OOEOOOOEOOOOOOOOEOOOEOOOOOOOEOOOEEEOOOEEEEEEOEEOEEOOEE,54,0.62963,0.84375,0.318182,2,8,6,0.75,0.09375
3431,OOEOOOOEOOOOOEOEOOOOOEOOEOOOOOOEEEEOEEEOOOOEEEEOOOEOEE,54,0.62963,0.806452,0.391304,2,6,4,0.75,0.056452
3889,OOOOOEOEOOOEOOEOEOEOOOOOOEOOOEOEOOOEOOOOOEEOEOEEOEOEEOOOEEOEOOEEOOEEOOOOOEEEE,77,0.623377,0.756098,0.472222,5,6,4,0.75,0.006098
11229,OOOEOEOOOOOEOOOOOOEOOOEOOEOOEOEEOOOOOOEOOEEOOOOOEOOOOOEEEEOOOEEEOOOEOOOOEOEEEEEO,92,0.630435,0.759259,0.447368,3,6,5,0.75,0.009259
15065,OOOOOOOOOOOOOEOEOOOOOOOOOEEEEEOEOEEEEEEOOOOEOEOEOOOOOEOOEEEEOE,62,0.629032,0.92,0.432432,13,13,6,0.75,0.17
15343,OOOOEOOOEOOEOOEOOOEOOEOOOEOOEEEOOOOOOEOOOOOOOOOOOEEOEEOOOOOEEEOEEEEEOEOEEOEOOEEO,83,0.626506,0.77551,0.411765,4,11,5,0.75,0.02551
15845,OOOOOOOOOOOOOOOOOOOEEOEOEEOEEOOOEOOOOOOOOOOEEEEEOOOOOEOOEOEEOOOOEOOEEOOEEOOOEOOE,132,0.628788,0.813953,0.539326,19,19,5,0.75,0.063953
17033,OOOOOOOOOOOEOOOEOOOOOOOOOEEOEOEEOEEOOEEOOEOOOOOOEOOOOOEEEOEOEEOEOEEOEEEOOOOEOEOE,89,0.629213,0.92,0.515625,11,11,3,0.75,0.17
30817,OOOEOEOOOEOOOEOOOOEOOEOOOOOOOOOOOOOOOOOEEOEEOEEEEOEOOOEEEOEEEEOOOOOOOEOOEEOEEEEO,81,0.62963,0.846154,0.428571,3,17,4,0.75,0.096154
34175,OOOOOEOOOEOOEOOOOEOEEEOOOOEOEOEOOOOEEOEOOOEOOOOOOOOEOOOOOEOOOEEEEOEOEOOOOOOOEEOO,183,0.628415,0.737705,0.57377,5,8,4,0.75,-0.012295
48443,OOOOEOOEOOOOOOEOOOOOOOOOEOOOEOOOEEOOEOOOOOOOOOEEEOOOOOOOOOOOEEOEOEOEEOOOEOOOOEEO,149,0.630872,0.816667,0.505618,4,11,5,0.75,0.066667
63185,OOOOOOOOOOOOOEOOEOEOOOOOOOOOEEOEEOOEEEOEEEEOEEOEEOE,51,0.627451,0.892857,0.304348,13,13,4,0.75,0.142857
78901,OOOOEOEOOOOEOEEOOOOEOOOOOEOEOOOOOEOOOOOEOOOOEOOOOOOOOOEEOOOOEEOOOEOEOOEOOEOOOOOE,253,0.628458,0.724771,0.555556,4,9,4,0.75,-0.025229
88053,OOEOOOOOEEOOOOOOOOEOOOOOOOEOOEEOOOEOOOOOEOEEOEEEEEEEOOOEOEEEE,61,0.622951,0.8,0.285714,2,8,7,0.75,0.05
93883,OOOEOOOOEOEOOOOOOOOEEOOEOEOOOEOOOOOOEOOOOOOEEEOOEEEOEEOEOOOOEOOOOEOEOOOEEEOEEOEO,89,0.629213,0.790698,0.478261,3,8,3,0.75,0.040698
95281,OOOOOOEOEOOOOOOOOOOEEOOEOOOOOEOOOOOEOOEOEOEEEEOEOEEOEEOOEEEEOE,62,0.629032,0.815789,0.333333,6,10,4,0.75,0.065789
98605,OOOOEOOOOEOEEEOOEOEOOOEOOOOOOOEOEOEEOOOEEOOOOOOOOOOOOOOOEEEEOOOOEEEEEEEEE,73,0.630137,0.75,0.235294,4,15,9,0.75,0.0
99679,OOEOOOEOOOOOOOOOOOOEEOOOOOOOOEEOEOEOOOEEOEOOEEOOEEEOEEOEEEE,59,0.627119,0.862069,0.4,2,12,4,0.75,0.112069
