ensemble,bucket,sample_size,mean_dL,variance,model_term,mean_minus_term
orbit_n<=4000,ALL,14075,-0.143411,0.302705,-0.143841,0.00043
orbit_n<=4000,E,7021,-0.694854,3.1e-05,-0.693147,-0.001707
orbit_n<=4000,O,7054,0.405453,0.0,0.405465,-1.2e-05
orbit_n<=4000,bits_1025_4096|E,9,-0.693147,0.0,-0.693147,0.0
orbit_n<=4000,bits_1025_4096|O,35,0.405465,0.0,0.405465,-0.0
orbit_n<=4000,bits_129_256|E,121,-0.693147,0.0,-0.693147,0.0
orbit_n<=4000,bits_129_256|O,399,0.405465,0.0,0.405465,-0.0
orbit_n<=4000,bits_17_32|E,1014,-0.693147,0.0,-0.693147,0.0
orbit_n<=4000,bits_17_32|O,3146,0.405465,0.0,0.405465,-0.0
orbit_n<=4000,bits_1_8|E,2986,-0.697086,6.4e-05,-0.693147,-0.003939
orbit_n<=4000,bits_1_8|O,24,0.402397,2.6e-05,0.405465,-0.003068
orbit_n<=4000,bits_257_512|E,52,-0.693147,0.0,-0.693147,0.0
orbit_n<=4000,bits_257_512|O,179,0.405465,0.0,0.405465,-0.0
orbit_n<=4000,bits_33_64|E,507,-0.693147,0.0,-0.693147,0.0
orbit_n<=4000,bits_33_64|O,1543,0.405465,0.0,0.405465,-0.0
orbit_n<=4000,bits_4097_1000000000|E,4,-0.693147,0.0,-0.693147,0.0
orbit_n<=4000,bits_4097_1000000000|O,9,0.405465,0.0,0.405465,-0.0
orbit_n<=4000,bits_513_1024|E,18,-0.693147,0.0,-0.693147,0.0
orbit_n<=4000,bits_513_1024|O,77,0.405465,0.0,0.405465,-0.0
orbit_n<=4000,bits_65_128|E,261,-0.693147,0.0,-0.693147,0.0
orbit_n<=4000,bits_65_128|O,748,0.405465,0.0,0.405465,-0.0
orbit_n<=4000,bits_9_16|E,2049,-0.693256,0.0,-0.693147,-0.000109
orbit_n<=4000,bits_9_16|O,894,0.405455,0.0,0.405465,-1e-05
ordinary_n<=4000,ALL,12403,-0.162039,0.302501,-0.143841,-0.018198
ordinary_n<=4000,E,6396,-0.695015,3.4e-05,-0.693147,-0.001868
ordinary_n<=4000,O,6007,0.405451,0.0,0.405465,-1.4e-05
ordinary_n<=4000,bits_129_256|E,31,-0.693147,0.0,-0.693147,0.0
ordinary_n<=4000,bits_129_256|O,210,0.405465,0.0,0.405465,-0.0
ordinary_n<=4000,bits_17_32|E,901,-0.693147,0.0,-0.693147,0.0
ordinary_n<=4000,bits_17_32|O,3000,0.405465,0.0,0.405465,-0.0
ordinary_n<=4000,bits_1_8|E,2963,-0.697106,6.4e-05,-0.693147,-0.003959
ordinary_n<=4000,bits_1_8|O,24,0.402397,2.6e-05,0.405465,-0.003068
ordinary_n<=4000,bits_257_512|E,2,-0.693147,0.0,-0.693147,0.0
ordinary_n<=4000,bits_257_512|O,37,0.405465,0.0,0.405465,-0.0
ordinary_n<=4000,bits_33_64|E,375,-0.693147,0.0,-0.693147,0.0
ordinary_n<=4000,bits_33_64|O,1345,0.405465,0.0,0.405465,-0.0
ordinary_n<=4000,bits_513_1024|O,2,0.405465,0.0,0.405465,-0.0
ordinary_n<=4000,bits_65_128|E,145,-0.693147,0.0,-0.693147,0.0
ordinary_n<=4000,bits_65_128|O,529,0.405465,0.0,0.405465,-0.0
ordinary_n<=4000,bits_9_16|E,1979,-0.693258,0.0,-0.693147,-0.000111
ordinary_n<=4000,bits_9_16|O,860,0.405456,0.0,0.405465,-9e-06
hard_families_n<=4000,ALL,1672,-0.005222,0.282715,-0.143841,0.138619
hard_families_n<=4000,E,625,-0.693205,0.0,-0.693147,-5.8e-05
hard_families_n<=4000,O,1047,0.405465,0.0,0.405465,-0.0
hard_families_n<=4000,bits_1025_4096|E,9,-0.693147,0.0,-0.693147,0.0
hard_families_n<=4000,bits_1025_4096|O,35,0.405465,0.0,0.405465,-0.0
hard_families_n<=4000,bits_129_256|E,90,-0.693147,0.0,-0.693147,0.0
hard_families_n<=4000,bits_129_256|O,189,0.405465,0.0,0.405465,-0.0
hard_families_n<=4000,bits_17_32|E,113,-0.693147,0.0,-0.693147,0.0
hard_families_n<=4000,bits_17_32|O,146,0.405465,0.0,0.405465,-0.0
hard_families_n<=4000,bits_1_8|E,23,-0.694549,1e-06,-0.693147,-0.001402
hard_families_n<=4000,bits_257_512|E,50,-0.693147,0.0,-0.693147,0.0
hard_families_n<=4000,bits_257_512|O,142,0.405465,0.0,0.405465,-0.0
hard_families_n<=4000,bits_33_64|E,132,-0.693147,0.0,-0.693147,0.0
hard_families_n<=4000,bits_33_64|O,198,0.405465,0.0,0.405465,-0.0
hard_families_n<=4000,bits_4097_1000000000|E,4,-0.693147,0.0,-0.693147,0.0
hard_families_n<=4000,bits_4097_1000000000|O,9,0.405465,0.0,0.405465,-0.0
hard_families_n<=4000,bits_513_1024|E,18,-0.693147,0.0,-0.693147,0.0
hard_families_n<=4000,bits_513_1024|O,75,0.405465,0.0,0.405465,-0.0
hard_families_n<=4000,bits_65_128|E,116,-0.693147,0.0,-0.693147,0.0
hard_families_n<=4000,bits_65_128|O,219,0.405465,0.0,0.405465,-0.0
hard_families_n<=4000,bits_9_16|E,70,-0.693206,0.0,-0.693147,-5.9e-05
hard_families_n<=4000,bits_9_16|O,34,0.405449,0.0,0.405465,-1.6e-05
records,ALL,1955,-0.003141,0.282119,-0.143841,0.1407
records,E,727,-0.693279,4e-06,-0.693147,-0.000132
records,O,1228,0.405434,1e-06,0.405465,-3.1e-05
records,bits_1025_4096|E,131,-0.693147,0.0,-0.693147,0.0
records,bits_1025_4096|O,214,0.405465,0.0,0.405465,-0.0
records,bits_129_256|E,64,-0.693147,0.0,-0.693147,0.0
records,bits_129_256|O,148,0.405465,0.0,0.405465,-0.0
records,bits_17_32|E,66,-0.693147,0.0,-0.693147,0.0
records,bits_17_32|O,71,0.405465,0.0,0.405465,-0.0
records,bits_1_8|E,11,-0.701635,0.000197,-0.693147,-0.008488
records,bits_1_8|O,7,0.399995,7e-05,0.405465,-0.00547
records,bits_257_512|E,58,-0.693147,0.0,-0.693147,0.0
records,bits_257_512|O,100,0.405465,0.0,0.405465,-0.0
records,bits_33_64|E,74,-0.693147,0.0,-0.693147,0.0
records,bits_33_64|O,113,0.405465,0.0,0.405465,-0.0
records,bits_4097_1000000000|E,138,-0.693147,0.0,-0.693147,0.0
records,bits_4097_1000000000|O,325,0.405465,0.0,0.405465,-0.0
records,bits_513_1024|E,59,-0.693147,0.0,-0.693147,0.0
records,bits_513_1024|O,104,0.405465,0.0,0.405465,-0.0
records,bits_65_128|E,90,-0.693147,0.0,-0.693147,0.0
records,bits_65_128|O,134,0.405465,0.0,0.405465,-0.0
records,bits_9_16|E,36,-0.69321,0.0,-0.693147,-6.3e-05
records,bits_9_16|O,12,0.405443,0.0,0.405465,-2.2e-05
