horizon,threshold,observed_probability,model,model_probability,sample_size,model_sample_size
5,H>=k,0.188547,M0,0.1845,3999,4000
5,H>=k,0.188547,M1,0.184,3999,4000
5,H>=k,0.188547,M2,0.1755,3999,4000
5,H>=k,0.188547,M3,0.19425,3999,4000
5,H>=k,0.188547,M4,0.18325,3999,4000
10,H>=k,0.07877,M0,0.075,3999,4000
10,H>=k,0.07877,M1,0.071,3999,4000
10,H>=k,0.07877,M2,0.06825,3999,4000
10,H>=k,0.07877,M3,0.0745,3999,4000
10,H>=k,0.07877,M4,0.06925,3999,4000
16,H>=k,0.042261,M0,0.0405,3999,4000
16,H>=k,0.042261,M1,0.037,3999,4000
16,H>=k,0.042261,M2,0.036,3999,4000
16,H>=k,0.042261,M3,0.041,3999,4000
16,H>=k,0.042261,M4,0.037,3999,4000
20,H>=k,0.029007,M0,0.02875,3999,4000
20,H>=k,0.029007,M1,0.0275,3999,4000
20,H>=k,0.029007,M2,0.02675,3999,4000
20,H>=k,0.029007,M3,0.02975,3999,4000
20,H>=k,0.029007,M4,0.02625,3999,4000
40,H>=k,0.006502,M0,0.00825,3999,4000
40,H>=k,0.006502,M1,0.00675,3999,4000
40,H>=k,0.006502,M2,0.006,3999,4000
40,H>=k,0.006502,M3,0.008,3999,4000
40,H>=k,0.006502,M4,0.0065,3999,4000
