model,mean_H,max_H,horizon,threshold,model_probability,sample_size
M0,3.48775,80,5,H>=k,0.1845,4000
M0,3.48775,80,10,H>=k,0.075,4000
M0,3.48775,80,16,H>=k,0.0405,4000
M0,3.48775,80,20,H>=k,0.02875,4000
M0,3.48775,80,40,H>=k,0.00825,4000
M1,3.413,80,5,H>=k,0.184,4000
M1,3.413,80,10,H>=k,0.071,4000
M1,3.413,80,16,H>=k,0.037,4000
M1,3.413,80,20,H>=k,0.0275,4000
M1,3.413,80,40,H>=k,0.00675,4000
M2,3.3025,80,5,H>=k,0.1755,4000
M2,3.3025,80,10,H>=k,0.06825,4000
M2,3.3025,80,16,H>=k,0.036,4000
M2,3.3025,80,20,H>=k,0.02675,4000
M2,3.3025,80,40,H>=k,0.006,4000
M3,3.533,80,5,H>=k,0.19425,4000
M3,3.533,80,10,H>=k,0.0745,4000
M3,3.533,80,16,H>=k,0.041,4000
M3,3.533,80,20,H>=k,0.02975,4000
M3,3.533,80,40,H>=k,0.008,4000
M4,3.4095,80,5,H>=k,0.18325,4000
M4,3.4095,80,10,H>=k,0.06925,4000
M4,3.4095,80,16,H>=k,0.037,4000
M4,3.4095,80,20,H>=k,0.02625,4000
M4,3.4095,80,40,H>=k,0.0065,4000
