n,trajectory_step,observed_Z,predicted_Z,vertical_error,branch,exact_state_reference
3,0,0.085606,0.085606,0.0,,3
3,1,0.433169,0.204676,0.228493,O,5
3,2,0.796087,0.323746,0.472341,O,11
3,3,1.16178,0.442817,0.718963,O,36
3,4,0.53085,0.311887,0.218963,E,6
9,0,0.358268,0.358268,-0.0,,9
9,1,0.542803,0.417803,0.125,O,27
9,2,0.727144,0.477338,0.249805,O,140
9,3,0.398044,0.411873,-0.01383,E,11
9,4,0.58089,0.346408,0.234481,O,36
9,5,0.265425,0.280944,-0.015519,E,6
37,0,0.355578,0.355578,-0.0,,37
37,1,0.467852,0.391805,0.076047,O,225
37,2,0.580141,0.428032,0.152109,O,3375
37,3,0.692429,0.464258,0.228171,O,196069
37,4,0.804718,0.500485,0.304233,O,86818724
37,5,0.612757,0.536712,0.076045,E,9317
37,6,0.725046,0.572939,0.152107,O,899319
37,7,0.837335,0.609166,0.228169,O,852846071
37,8,0.949623,0.645392,0.304231,O,24906114455136
37,9,0.757664,0.605557,0.152107,E,4990602
37,10,0.56569,0.565722,-3.2e-05,E,2233
37,11,0.677979,0.525887,0.152091,O,105519
37,12,0.790267,0.486052,0.304215,O,34276462
37,13,0.598305,0.446217,0.152088,E,5854
37,14,0.405918,0.406382,-0.000464,E,76
37,15,0.202746,0.366547,-0.163801,E,8
77,0,0.338125,0.338125,0.0,,77
77,1,0.431433,0.36824,0.063194,O,675
77,2,0.524777,0.398354,0.126423,O,17537
77,3,0.61812,0.428469,0.189651,O,2322378
77,4,0.458529,0.395355,0.063174,E,1523
77,5,0.551873,0.362241,0.189632,O,59436
77,6,0.392164,0.329127,0.063038,E,243
77,7,0.4855,0.296013,0.189488,O,3787
77,8,0.578844,0.262899,0.315945,O,233046
77,9,0.419214,0.229785,0.18943,E,482
77,10,0.256306,0.196671,0.059636,E,21
113,0,0.32859,0.32859,0.0,,113
113,1,0.414354,0.356261,0.058093,O,1201
113,2,0.500124,0.383932,0.116191,O,41621
113,3,0.585893,0.411603,0.17429,O,8491194
113,4,0.43926,0.439274,-1.4e-05,E,2913
113,5,0.52503,0.466946,0.058084,O,157221
113,6,0.610799,0.494617,0.116183,O,62339861
113,7,0.696569,0.522288,0.174281,O,492208086413
113,8,0.782338,0.549959,0.232379,O,345321100728254679
113,9,0.868107,0.57763,0.290477,O,202924588924125339424550328
113,10,0.721484,0.547203,0.174281,E,14245160192996
113,11,0.57486,0.516776,0.058084,E,3774276
113,12,0.428225,0.486348,-0.058123,E,1942
113,13,0.281515,0.455921,-0.174406,E,44
173,0,0.318172,0.318172,0.0,,173
173,1,0.396848,0.343556,0.053292,O,2275
173,2,0.475529,0.36894,0.106589,O,108510
173,3,0.340982,0.394325,-0.053343,E,329
173,4,0.419661,0.419709,-4.8e-05,O,5967
173,5,0.498341,0.445093,0.053248,O,460929
173,6,0.577022,0.470477,0.106545,O,312932773
173,7,0.655703,0.495861,0.159842,O,5535751327289
173,8,0.734384,0.521245,0.213138,O,13024613938403266721
173,9,0.813065,0.54663,0.266435,O,47005349798456946840287141703
173,10,0.891745,0.572014,0.319732,O,10191096955185724142110473921312275306979975
173,11,0.970426,0.597398,0.373028,O,32533545863179570755492129120411963721630316057459884067704058780
173,12,0.83592,0.622782,0.213138,E,180370579261640036336071806107777
173,13,0.914601,0.648166,0.266435,O,2422415016626348458766908471775308849587113312253
173,14,0.993282,0.67355,0.319732,O,3770273235023328364461642790668920055748143087755094285582942047206226296
173,15,0.858776,0.698935,0.159842,E,1941719144218166368455510841464890645
173,16,0.937457,0.724319,0.213138,O,2705699857592884375920621460029269323489574854343501515
173,17,1.016138,0.749703,0.266435,O,4450608860210678234719664930918817118564659064289879586228390154864378511410864886
173,18,0.881632,0.72179,0.159842,E,66712883764762247269829202867154107730208
173,19,0.747126,0.693878,0.053249,E,258288373266707936943
173,20,0.825807,0.665965,0.159842,O,4151043510194925814623446124048
173,21,0.691302,0.638053,0.053249,E,2037410982152330
173,22,0.556796,0.610141,-0.053345,E,45137689
173,23,0.635477,0.582228,0.053249,O,303255705058
173,24,0.500971,0.554316,-0.053345,E,550686
173,25,0.366462,0.526403,-0.159941,E,742
173,26,0.231437,0.498491,-0.267054,E,27
193,0,0.31555,0.31555,0.0,,193
193,1,0.392593,0.340406,0.052187,O,2681
193,2,0.469638,0.365263,0.104375,O,138817
193,3,0.546683,0.390119,0.156564,O,51720650
193,4,0.414972,0.414976,-4e-06,E,7191
193,5,0.492017,0.439832,0.052184,O,609795
193,6,0.569062,0.464689,0.104373,O,476185085
193,7,0.646107,0.489545,0.156562,O,10391151638843
193,8,0.723153,0.514402,0.208751,O,33496198677403032405
193,9,0.800198,0.539258,0.260939,O,193862266440176814000739774971
193,10,0.877243,0.564115,0.313128,O,85357154459746972731761066262612011066679467
193,11,0.954288,0.588971,0.365317,O,788605665777872333941479874994035776759769384273765832159588845286
193,12,0.822579,0.613828,0.208751,E,888034721042973822495186607446955
193,13,0.899624,0.638684,0.260939,O,26463356030971610422085864703771922874040048088677
193,14,0.976669,0.663541,0.313128,O,136134242643398481765860616637779751344646303632658099373147841507505327119
193,15,1.053714,0.688397,0.365317,O,1588367781976112247424522832142385725387192827585531883810890396595136891224470087055467097483507581305201397218
193,16,0.922005,0.713254,0.208751,E,39854332035251980213616686928301336592840441915742885292
193,17,0.790295,0.73811,0.052184,E,6313028752924540594327544385
193,18,0.86734,0.762967,0.104373,O,501598987306740260009543058314478557530544
193,19,0.73563,0.787823,-0.052193,E,708236533445388045812
193,20,0.603921,0.81268,-0.208759,E,26612713755
193,21,0.680966,0.837536,-0.15657,O,4341439408117523
193,22,0.758011,0.862393,-0.104382,O,286055706682596949458075
193,23,0.835056,0.887249,-0.052193,O,152994537203709205126693006779762645
193,24,0.912102,0.912106,-4e-06,O,59843072931645706961502905384542833349021494371242983
193,25,0.989147,0.936962,0.052184,O,14639317487373925242410129049160468573832412697310068152690631031549635162709283
193,26,1.066192,0.961819,0.104373,O,56012021178352641756772833216843754551075188604927209081389380760072043077301032800632726630397085935192232916920877696
193,27,0.934482,0.986675,-0.052193,E,236668589336127665517520421120577323003128066695245021786800
193,28,0.802773,1.011532,-0.208759,E,486485960060645188520797786466
193,29,0.671063,1.036388,-0.365325,E,697485455088953
193,30,0.748108,1.061245,-0.313137,O,18420555942948204203497
193,31,0.825153,1.086101,-0.260948,O,2500081117364457597103753228130643
193,32,0.902199,1.110958,-0.208759,O,125006083851684254032911770636881936002935213167792
193,33,0.770489,1.135814,-0.365325,E,11180611962307083575217341
193,34,0.847534,1.160671,-0.313137,O,37385084144258700860882659812109565321
193,35,0.924579,1.185527,-0.260948,O,228584902940059036992530063196087441033592221326828188706
193,36,0.79287,1.210384,-0.417514,E,15119024536657748178420491404
193,37,0.66116,1.23524,-0.57408,E,122959442649427
193,38,0.738205,1.260097,-0.521891,O,1363461341744035464645
193,39,0.815251,1.284953,-0.469703,O,50345915589617164834882804641907
193,40,0.892296,1.30981,-0.417514,O,357228717984469076156265647345820162649030836909
193,41,0.969341,1.334666,-0.365325,O,213510652364782397843026859707319027062802862458137784399639528250553463
