n,log_n,broke,Z_peak,rho_pred,Z_residual,t_peak,t_peak_residual,H_over_log_n,H_residual_vs_tstop,H_residual_vs_gamma,p_O_prepeak,p_O_residual,return_margin
2,0.693147,"peak,ratio,duration",,,,0.0,-7.644557,1.442695,-13.15398,-27.385564,,,0.5
3,1.098612,"peak,ratio,duration",1.16178,1.085606,0.076174,2.730718,-4.913839,4.551196,-10.045479,-24.277063,1.0,0.25,0.333333
9,2.197225,peak,0.727144,1.358268,-0.631124,0.910239,-6.734317,2.275598,-12.321077,-26.552661,1.0,0.25,0.333333
25,3.218876,"peak,ratio",0.741058,1.36318,-0.622123,0.932002,-6.712554,1.553337,-13.043338,-27.274922,1.0,0.25,0.4
37,3.610918,"peak,ratio,duration,margin",0.949623,1.355578,-0.405955,2.215503,-5.429053,4.154068,-10.442607,-24.674191,0.875,0.125,0.783784
77,4.343805,margin,0.61812,1.338125,-0.720005,0.690639,-6.953918,2.302129,-12.294546,-26.52613,1.0,0.25,0.727273
89,4.488636,margin,0.541136,1.334522,-0.793386,1.113924,-6.530632,1.782278,-12.814397,-27.045981,0.8,0.05,0.213483
99,4.59512,margin,0.622213,1.331873,-0.709659,1.305733,-6.338823,1.740977,-12.855698,-27.087282,0.833333,0.083333,0.212121
113,4.727388,"peak,ratio",0.868107,1.32859,-0.460483,1.9038,-5.740757,2.749933,-11.846742,-26.078326,0.888889,0.138889,0.610619
163,5.09375,duration,0.797213,1.31961,-0.522398,1.177914,-6.466642,4.711656,-9.885019,-24.116603,1.0,0.25,0.527607
173,5.153292,"peak,ratio,duration",1.016138,1.318172,-0.302035,3.298862,-4.345694,5.045319,-9.551356,-23.78294,0.823529,0.073529,0.843931
193,5.26269,"peak,ratio,duration",1.222857,1.31555,-0.092693,8.930794,1.286237,13.301182,-1.295493,-15.527077,0.723404,-0.026596,0.585492
241,5.484797,margin,0.923183,1.310309,-0.387125,2.005544,-5.639013,4.922698,-9.673977,-23.905561,0.909091,0.159091,0.190871
425,6.052089,margin,0.84654,1.297485,-0.450945,6.278824,-1.365733,7.600681,-6.995994,-21.227578,0.710526,-0.039474,0.141176
2183,7.688455,"peak,ratio",1.23842,1.265296,-0.026877,4.162084,-3.482472,7.023517,-7.573158,-21.804742,0.84375,0.09375,0.435181
3889,8.265907,duration,0.937597,1.255524,-0.317928,4.960133,-2.684423,9.315372,-5.281303,-19.512887,0.756098,0.006098,0.979943
