n,peak,peak_normalized,model_peak_prediction,peak_residual,peak_time,model_peak_time,peak_time_residual,stopping_time,return_time,model_stopping_prediction,O_frequency,O_frequency_prepeak,model_O_frequency,mean_loglog_drift,model_mean_drift,status
2,2,,,,0.0,7.644557,-7.644557,1,1,10.117642,0.0,,0.75,,-0.143841,RETURNED
3,36,1.16178,1.085606,0.076174,2.730718,7.644557,-4.913839,6,5,16.036083,0.6,1.0,0.75,0.122288,-0.143841,RETURNED
9,140,0.727144,1.358268,-0.631124,0.910239,7.644557,-6.734317,7,5,32.07218,0.6,1.0,0.75,-0.040799,-0.143841,RETURNED
37,24906114455136,0.949623,1.355578,-0.405955,2.215503,7.644557,-5.429053,17,15,52.707398,0.6,0.875,0.75,-0.036791,-0.143841,RETURNED
77,2322378,0.61812,1.338125,-0.720005,0.690639,7.644557,-6.953918,19,10,63.405112,0.6,1.0,0.75,-0.035541,-0.143841,RETURNED
113,bits:88,0.868107,1.32859,-0.460483,1.9038,7.644557,-5.740757,16,13,69.004149,0.615385,0.888889,0.75,-0.017119,-0.143841,RETURNED
173,bits:272,1.016138,1.318172,-0.302035,3.298862,7.644557,-4.345694,32,26,75.220931,0.615385,0.823529,0.75,-0.017191,-0.143841,RETURNED
193,bits:900,1.222857,1.31555,-0.092693,8.930794,7.644557,1.286237,73,70,76.817778,0.628571,0.723404,0.75,-0.002616,-0.143841,RETURNED
425,bits:243,0.84654,1.297485,-0.450945,6.278824,7.644557,-1.365733,67,46,88.340379,0.630435,0.710526,0.75,-0.000554,-0.143841,RETURNED
761,bits:851,0.961548,1.285216,-0.323668,7.385487,7.644557,-0.259069,66,62,96.843585,0.629032,0.714286,0.75,-0.002088,-0.143841,RETURNED
2183,bits:19694,1.23842,1.265296,-0.026877,4.162084,7.644557,-3.482472,72,54,112.225883,0.62963,0.84375,0.75,-0.00143,-0.143841,RETURNED
3431,bits:4634,0.991892,1.257581,-0.265689,3.80807,7.644557,-3.836487,61,54,118.825799,0.62963,0.806452,0.75,-0.00143,-0.143841,RETURNED
3889,bits:3350,0.937597,1.255524,-0.317928,4.960133,7.644557,-2.684423,80,77,120.654762,0.623377,0.756098,0.75,-0.008317,-0.143841,RETURNED
11229,bits:27242,1.055728,1.239414,-0.183686,5.790105,7.644557,-1.854451,101,92,136.132318,0.630435,0.759259,0.75,-0.000544,-0.143841,RETURNED
15065,bits:38940,1.060616,1.235325,-0.174709,2.598718,7.644557,-5.045839,66,62,140.421901,0.629032,0.92,0.75,-0.002085,-0.143841,RETURNED
15343,bits:33368,1.042579,1.235076,-0.192496,5.083824,7.644557,-2.560733,128,83,140.688816,0.626506,0.77551,0.75,-0.004862,-0.143841,RETURNED
15845,bits:79357,1.128698,1.234638,-0.10594,4.446462,7.644557,-3.198094,139,132,141.158741,0.628788,0.813953,0.75,-0.002353,-0.143841,RETURNED
17033,bits:39437,1.048552,1.233661,-0.18511,2.565969,7.644557,-5.078587,112,89,142.214066,0.629213,0.92,0.75,-0.001886,-0.143841,RETURNED
30817,bits:150783,1.118158,1.225973,-0.107815,3.773285,7.644557,-3.871272,93,81,150.86864,0.62963,0.846154,0.75,-0.001428,-0.143841,RETURNED
34175,bits:19297,0.910137,1.224688,-0.314551,5.843332,7.644557,-1.801225,193,183,152.378345,0.628415,0.737705,0.75,-0.002764,-0.143841,RETURNED
48443,bits:3230450,1.355342,1.220469,0.134873,5.561661,7.644557,-2.082895,157,149,157.471023,0.630872,0.816667,0.75,-6.3e-05,-0.143841,RETURNED
63185,bits:50336,0.946276,1.217371,-0.271095,2.53306,7.644557,-5.111496,63,51,161.349053,0.627451,0.892857,0.75,-0.003822,-0.143841,RETURNED
78901,bits:1234916,1.211428,1.214853,-0.003425,9.666592,7.644557,2.022035,258,253,164.591368,0.628458,0.724771,0.75,-0.002715,-0.143841,RETURNED
88053,bits:27684,0.86618,1.213633,-0.347453,3.513181,7.644557,-4.131376,68,61,166.193281,0.622951,0.8,0.75,-0.008767,-0.143841,RETURNED
93883,bits:31319,0.872108,1.212927,-0.340819,3.755523,7.644557,-3.889034,106,89,167.129088,0.629213,0.790698,0.75,-0.001886,-0.143841,RETURNED
95281,bits:37167,0.885915,1.212765,-0.32685,3.314555,7.644557,-4.330001,71,62,167.344842,0.629032,0.815789,0.75,-0.002085,-0.143841,RETURNED
98605,bits:25191,0.84945,1.21239,-0.36294,4.870041,7.644557,-2.774516,95,73,167.845376,0.630137,0.75,0.75,-0.000871,-0.143841,RETURNED
99679,bits:26206,0.852083,1.212272,-0.360189,2.519612,7.644557,-5.124945,73,59,168.003502,0.627119,0.862069,0.75,-0.004187,-0.143841,RETURNED
