scale_range,ensemble,run_type,length,frequency,count,sample_size,geometric_baseline,deviation
walks_n<=4000,orbit_n<=4000,O,1,0.501001,1752,3497,0.495747,0.005254
walks_n<=4000,orbit_n<=4000,O,2,0.244209,854,3497,0.249982,-0.005773
walks_n<=4000,orbit_n<=4000,O,3,0.121819,426,3497,0.126054,-0.004235
walks_n<=4000,orbit_n<=4000,O,4,0.066629,233,3497,0.063563,0.003065
walks_n<=4000,orbit_n<=4000,O,5,0.032599,114,3497,0.032052,0.000547
walks_n<=4000,orbit_n<=4000,O,6,0.017158,60,3497,0.016162,0.000995
walks_n<=4000,orbit_n<=4000,O,7,0.008293,29,3497,0.00815,0.000143
walks_n<=4000,orbit_n<=4000,O,8,0.004003,14,3497,0.00411,-0.000106
walks_n<=4000,orbit_n<=4000,O,9,0.003432,12,3497,0.002072,0.001359
walks_n<=4000,orbit_n<=4000,O,10,0.000572,2,3497,0.001045,-0.000473
walks_n<=4000,orbit_n<=4000,O,11,0.000286,1,3497,0.000527,-0.000241
walks_n<=4000,orbit_n<=4000,E,1,0.78461,4313,5497,0.782268,0.002341
walks_n<=4000,orbit_n<=4000,E,2,0.165181,908,5497,0.170325,-0.005144
walks_n<=4000,orbit_n<=4000,E,3,0.03984,219,5497,0.037085,0.002755
walks_n<=4000,orbit_n<=4000,E,4,0.00855,47,5497,0.008075,0.000476
walks_n<=4000,orbit_n<=4000,E,5,0.001273,7,5497,0.001758,-0.000485
walks_n<=4000,orbit_n<=4000,E,6,0.000546,3,5497,0.000383,0.000163
walks_n<=100000,orbit_n<=1e5,O,1,0.499375,43557,87223,0.499765,-0.00039
walks_n<=100000,orbit_n<=1e5,O,2,0.249304,21745,87223,0.25,-0.000696
walks_n<=100000,orbit_n<=1e5,O,3,0.127501,11121,87223,0.125059,0.002442
walks_n<=100000,orbit_n<=1e5,O,4,0.06222,5427,87223,0.062559,-0.000339
walks_n<=100000,orbit_n<=1e5,O,5,0.029774,2597,87223,0.031294,-0.00152
walks_n<=100000,orbit_n<=1e5,O,6,0.015913,1388,87223,0.015654,0.000259
walks_n<=100000,orbit_n<=1e5,O,7,0.008083,705,87223,0.007831,0.000252
walks_n<=100000,orbit_n<=1e5,O,8,0.003864,337,87223,0.003917,-5.4e-05
walks_n<=100000,orbit_n<=1e5,O,9,0.001995,174,87223,0.00196,3.5e-05
walks_n<=100000,orbit_n<=1e5,O,10,0.000848,74,87223,0.00098,-0.000132
walks_n<=100000,orbit_n<=1e5,O,11,0.000585,51,87223,0.00049,9.4e-05
walks_n<=100000,orbit_n<=1e5,O,12,0.000264,23,87223,0.000245,1.8e-05
walks_n<=100000,orbit_n<=1e5,O,13,0.000218,19,87223,0.000123,9.5e-05
walks_n<=100000,orbit_n<=1e5,O,14,3.4e-05,3,87223,6.1e-05,-2.7e-05
walks_n<=100000,orbit_n<=1e5,O,15,1.1e-05,1,87223,3.1e-05,-1.9e-05
walks_n<=100000,orbit_n<=1e5,O,16,0.0,0,87223,1.5e-05,-1.5e-05
walks_n<=100000,orbit_n<=1e5,O,17,0.0,0,87223,8e-06,-8e-06
walks_n<=100000,orbit_n<=1e5,O,18,0.0,0,87223,4e-06,-4e-06
walks_n<=100000,orbit_n<=1e5,O,19,1.1e-05,1,87223,2e-06,1e-05
walks_n<=100000,orbit_n<=1e5,E,1,0.793753,108910,137209,0.787096,0.006656
walks_n<=100000,orbit_n<=1e5,E,2,0.158211,21708,137209,0.167576,-0.009364
walks_n<=100000,orbit_n<=1e5,E,3,0.03561,4886,137209,0.035677,-6.8e-05
walks_n<=100000,orbit_n<=1e5,E,4,0.009453,1297,137209,0.007596,0.001857
walks_n<=100000,orbit_n<=1e5,E,5,0.002303,316,137209,0.001617,0.000686
walks_n<=100000,orbit_n<=1e5,E,6,0.000547,75,137209,0.000344,0.000202
walks_n<=100000,orbit_n<=1e5,E,7,0.000109,15,137209,7.3e-05,3.6e-05
walks_n<=100000,orbit_n<=1e5,E,8,1.5e-05,2,137209,1.6e-05,-1e-06
