scale_range,ensemble,sample_size,branch,mean_delta_loglog,variance,q05,q25,q50,q75,q95
exp(2^1)--exp(2^2),uniform_n<=4000,39,ALL,-0.182753,0.337575,-0.801874,-0.735264,-0.693147,0.40505,0.405414
exp(2^1)--exp(2^2),uniform_n<=4000,20,E,-0.741152,0.001435,-0.829635,-0.770367,-0.735264,-0.708301,-0.693147
exp(2^1)--exp(2^2),uniform_n<=4000,19,O,0.405035,0.0,0.403212,0.40489,0.405097,0.405349,0.405465
exp(2^2)--exp(2^3),uniform_n<=4000,2926,ALL,-0.146344,0.30461,-0.703211,-0.696787,-0.693147,0.405464,0.405465
exp(2^2)--exp(2^3),uniform_n<=4000,1463,E,-0.698149,3.3e-05,-0.707905,-0.699007,-0.696787,-0.694931,-0.693454
exp(2^2)--exp(2^3),uniform_n<=4000,1463,O,0.405461,0.0,0.405449,0.405463,0.405464,0.405465,0.405465
exp(2^3)--exp(2^4),uniform_n<=4000,1020,ALL,-0.144888,0.303186,-0.696925,-0.695251,-0.693147,0.405465,0.405465
exp(2^3)--exp(2^4),uniform_n<=4000,510,E,-0.695241,2e-06,-0.697146,-0.696322,-0.695251,-0.694151,-0.693337
exp(2^3)--exp(2^4),uniform_n<=4000,510,O,0.405465,0.0,0.405465,0.405465,0.405465,0.405465,0.405465
exp(2^1)--exp(2^2),uniform_n<=1e5,39,ALL,-0.182753,0.337575,-0.801874,-0.735264,-0.693147,0.40505,0.405414
exp(2^1)--exp(2^2),uniform_n<=1e5,20,E,-0.741152,0.001435,-0.829635,-0.770367,-0.735264,-0.708301,-0.693147
exp(2^1)--exp(2^2),uniform_n<=1e5,19,O,0.405035,0.0,0.403212,0.40489,0.405097,0.405349,0.405465
exp(2^2)--exp(2^3),uniform_n<=1e5,2926,ALL,-0.146344,0.30461,-0.703211,-0.696787,-0.693147,0.405464,0.405465
exp(2^2)--exp(2^3),uniform_n<=1e5,1463,E,-0.698149,3.3e-05,-0.707905,-0.699007,-0.696787,-0.694931,-0.693454
exp(2^2)--exp(2^3),uniform_n<=1e5,1463,O,0.405461,0.0,0.405449,0.405463,0.405464,0.405465,0.405465
exp(2^3)--exp(2^4),uniform_n<=1e5,97020,ALL,-0.144107,0.302032,-0.694213,-0.693573,-0.693147,0.405465,0.405465
exp(2^3)--exp(2^4),uniform_n<=1e5,48510,E,-0.693678,0.0,-0.694613,-0.693812,-0.693573,-0.693359,-0.693188
exp(2^3)--exp(2^4),uniform_n<=1e5,48510,O,0.405465,0.0,0.405465,0.405465,0.405465,0.405465,0.405465
exp(2^1)--exp(2^2),orbit_n<=4000,48,ALL,-0.25844,0.321907,-0.784381,-0.734751,-0.693147,0.405038,0.405408
exp(2^1)--exp(2^2),orbit_n<=4000,28,E,-0.732351,0.001373,-0.801874,-0.759312,-0.727749,-0.698325,-0.693147
exp(2^1)--exp(2^2),orbit_n<=4000,20,O,0.405036,0.0,0.403212,0.40489,0.40505,0.405349,0.405465
exp(2^10)--exp(2^11),orbit_n<=4000,18,ALL,-0.143841,0.319486,-0.693147,-0.693147,-0.693147,0.405465,0.405465
exp(2^10)--exp(2^11),orbit_n<=4000,9,E,-0.693147,0.0,-0.693147,-0.693147,-0.693147,-0.693147,-0.693147
exp(2^10)--exp(2^11),orbit_n<=4000,9,O,0.405465,0.0,0.405465,0.405465,0.405465,0.405465,0.405465
exp(2^11)--exp(2^12),orbit_n<=4000,10,ALL,-0.03398,0.321853,-0.693147,-0.693147,0.405465,0.405465,0.405465
exp(2^11)--exp(2^12),orbit_n<=4000,4,E,-0.693147,0.0,-0.693147,-0.693147,-0.693147,-0.693147,-0.693147
exp(2^11)--exp(2^12),orbit_n<=4000,6,O,0.405465,0.0,0.405465,0.405465,0.405465,0.405465,0.405465
exp(2^12)--exp(2^13),orbit_n<=4000,5,ALL,-0.253702,0.362085,-0.693147,-0.693147,-0.693147,0.405465,0.405465
exp(2^12)--exp(2^13),orbit_n<=4000,3,E,-0.693147,0.0,-0.693147,-0.693147,-0.693147,-0.693147,-0.693147
exp(2^12)--exp(2^13),orbit_n<=4000,2,O,0.405465,0.0,0.405465,0.405465,0.405465,0.405465,0.405465
exp(2^13)--exp(2^14),orbit_n<=4000,2,ALL,-0.143841,0.603474,-0.693147,-0.693147,-0.693147,-0.693147,-0.693147
exp(2^13)--exp(2^14),orbit_n<=4000,1,E,-0.693147,,-0.693147,-0.693147,-0.693147,-0.693147,-0.693147
exp(2^13)--exp(2^14),orbit_n<=4000,1,O,0.405465,,0.405465,0.405465,0.405465,0.405465,0.405465
exp(2^2)--exp(2^3),orbit_n<=4000,3294,ALL,-0.149083,0.304656,-0.70362,-0.696853,-0.693147,0.405465,0.405465
exp(2^2)--exp(2^3),orbit_n<=4000,1655,E,-0.698266,3.5e-05,-0.708739,-0.699063,-0.696824,-0.694955,-0.693454
exp(2^2)--exp(2^3),orbit_n<=4000,1639,O,0.405461,0.0,0.405449,0.405463,0.405465,0.405465,0.405465
exp(2^3)--exp(2^4),orbit_n<=4000,5132,ALL,-0.145098,0.302236,-0.695635,-0.693484,-0.693147,0.405465,0.405465
exp(2^3)--exp(2^4),orbit_n<=4000,2570,E,-0.693948,1e-06,-0.696375,-0.694234,-0.693481,-0.693255,-0.693166
exp(2^3)--exp(2^4),orbit_n<=4000,2562,O,0.405465,0.0,0.405465,0.405465,0.405465,0.405465,0.405465
exp(2^4)--exp(2^5),orbit_n<=4000,2902,ALL,-0.1234,0.301425,-0.69316,-0.693148,0.405465,0.405465,0.405465
exp(2^4)--exp(2^5),orbit_n<=4000,1397,E,-0.693151,0.0,-0.693165,-0.693153,-0.693148,-0.693147,-0.693147
exp(2^4)--exp(2^5),orbit_n<=4000,1505,O,0.405465,0.0,0.405465,0.405465,0.405465,0.405465,0.405465
exp(2^5)--exp(2^6),orbit_n<=4000,1390,ALL,-0.157277,0.301774,-0.693147,-0.693147,-0.693147,0.405465,0.405465
exp(2^5)--exp(2^6),orbit_n<=4000,712,E,-0.693147,0.0,-0.693147,-0.693147,-0.693147,-0.693147,-0.693147
exp(2^5)--exp(2^6),orbit_n<=4000,678,O,0.405465,0.0,0.405465,0.405465,0.405465,0.405465,0.405465
exp(2^6)--exp(2^7),orbit_n<=4000,709,ALL,-0.119823,0.301586,-0.693147,-0.693147,0.405465,0.405465,0.405465
exp(2^6)--exp(2^7),orbit_n<=4000,339,E,-0.693147,0.0,-0.693147,-0.693147,-0.693147,-0.693147,-0.693147
exp(2^6)--exp(2^7),orbit_n<=4000,370,O,0.405465,0.0,0.405465,0.405465,0.405465,0.405465,0.405465
exp(2^7)--exp(2^8),orbit_n<=4000,345,ALL,-0.180461,0.301269,-0.693147,-0.693147,-0.693147,0.405465,0.405465
exp(2^7)--exp(2^8),orbit_n<=4000,184,E,-0.693147,0.0,-0.693147,-0.693147,-0.693147,-0.693147,-0.693147
exp(2^7)--exp(2^8),orbit_n<=4000,161,O,0.405465,0.0,0.405465,0.405465,0.405465,0.405465,0.405465
exp(2^8)--exp(2^9),orbit_n<=4000,153,ALL,-0.176153,0.302671,-0.693147,-0.693147,-0.693147,0.405465,0.405465
exp(2^8)--exp(2^9),orbit_n<=4000,81,E,-0.693147,0.0,-0.693147,-0.693147,-0.693147,-0.693147,-0.693147
exp(2^8)--exp(2^9),orbit_n<=4000,72,O,0.405465,0.0,0.405465,0.405465,0.405465,0.405465,0.405465
exp(2^9)--exp(2^10),orbit_n<=4000,53,ALL,-0.320034,0.275899,-0.693147,-0.693147,-0.693147,0.405465,0.405465
exp(2^9)--exp(2^10),orbit_n<=4000,35,E,-0.693147,0.0,-0.693147,-0.693147,-0.693147,-0.693147,-0.693147
exp(2^9)--exp(2^10),orbit_n<=4000,18,O,0.405465,0.0,0.405465,0.405465,0.405465,0.405465,0.405465
exp(2^1)--exp(2^2),orbit_n<=1e5,48,ALL,-0.25844,0.321907,-0.784381,-0.734751,-0.693147,0.405038,0.405408
exp(2^1)--exp(2^2),orbit_n<=1e5,28,E,-0.732351,0.001373,-0.801874,-0.759312,-0.727749,-0.698325,-0.693147
exp(2^1)--exp(2^2),orbit_n<=1e5,20,O,0.405036,0.0,0.403212,0.40489,0.40505,0.405349,0.405465
exp(2^10)--exp(2^11),orbit_n<=1e5,1543,ALL,-0.157013,0.301759,-0.693147,-0.693147,-0.693147,0.405465,0.405465
exp(2^10)--exp(2^11),orbit_n<=1e5,790,E,-0.693147,0.0,-0.693147,-0.693147,-0.693147,-0.693147,-0.693147
exp(2^10)--exp(2^11),orbit_n<=1e5,753,O,0.405465,0.0,0.405465,0.405465,0.405465,0.405465,0.405465
exp(2^11)--exp(2^12),orbit_n<=1e5,714,ALL,-0.140764,0.302151,-0.693147,-0.693147,0.405465,0.405465,0.405465
exp(2^11)--exp(2^12),orbit_n<=1e5,355,E,-0.693147,0.0,-0.693147,-0.693147,-0.693147,-0.693147,-0.693147
exp(2^11)--exp(2^12),orbit_n<=1e5,359,O,0.405465,0.0,0.405465,0.405465,0.405465,0.405465,0.405465
exp(2^12)--exp(2^13),orbit_n<=1e5,275,ALL,-0.217748,0.297356,-0.693147,-0.693147,-0.693147,0.405465,0.405465
exp(2^12)--exp(2^13),orbit_n<=1e5,156,E,-0.693147,0.0,-0.693147,-0.693147,-0.693147,-0.693147,-0.693147
exp(2^12)--exp(2^13),orbit_n<=1e5,119,O,0.405465,0.0,0.405465,0.405465,0.405465,0.405465,0.405465
exp(2^13)--exp(2^14),orbit_n<=1e5,74,ALL,-0.218072,0.300285,-0.693147,-0.693147,-0.693147,0.405465,0.405465
exp(2^13)--exp(2^14),orbit_n<=1e5,42,E,-0.693147,0.0,-0.693147,-0.693147,-0.693147,-0.693147,-0.693147
exp(2^13)--exp(2^14),orbit_n<=1e5,32,O,0.405465,0.0,0.405465,0.405465,0.405465,0.405465,0.405465
exp(2^2)--exp(2^3),orbit_n<=1e5,3294,ALL,-0.149083,0.304656,-0.70362,-0.696853,-0.693147,0.405465,0.405465
exp(2^2)--exp(2^3),orbit_n<=1e5,1655,E,-0.698266,3.5e-05,-0.708739,-0.699063,-0.696824,-0.694955,-0.693454
exp(2^2)--exp(2^3),orbit_n<=1e5,1639,O,0.405461,0.0,0.405449,0.405463,0.405465,0.405465,0.405465
exp(2^3)--exp(2^4),orbit_n<=1e5,146096,ALL,-0.144156,0.301962,-0.69405,-0.693421,-0.693147,0.405465,0.405465
exp(2^3)--exp(2^4),orbit_n<=1e5,73063,E,-0.693552,0.0,-0.694416,-0.6937,-0.69342,-0.693226,-0.693161
exp(2^3)--exp(2^4),orbit_n<=1e5,73033,O,0.405465,0.0,0.405465,0.405465,0.405465,0.405465,0.405465
exp(2^4)--exp(2^5),orbit_n<=1e5,103109,ALL,-0.143583,0.301743,-0.693166,-0.693148,0.405465,0.405465,0.405465
exp(2^4)--exp(2^5),orbit_n<=1e5,51530,E,-0.693153,0.0,-0.693171,-0.693156,-0.693148,-0.693147,-0.693147
exp(2^4)--exp(2^5),orbit_n<=1e5,51579,O,0.405465,0.0,0.405465,0.405465,0.405465,0.405465,0.405465
exp(2^5)--exp(2^6),orbit_n<=1e5,49070,ALL,-0.141916,0.30174,-0.693147,-0.693147,0.405465,0.405465,0.405465
exp(2^5)--exp(2^6),orbit_n<=1e5,24449,E,-0.693147,0.0,-0.693147,-0.693147,-0.693147,-0.693147,-0.693147
exp(2^5)--exp(2^6),orbit_n<=1e5,24621,O,0.405465,0.0,0.405465,0.405465,0.405465,0.405465,0.405465
exp(2^6)--exp(2^7),orbit_n<=1e5,23418,ALL,-0.143466,0.30175,-0.693147,-0.693147,0.405465,0.405465,0.405465
exp(2^6)--exp(2^7),orbit_n<=1e5,11701,E,-0.693147,0.0,-0.693147,-0.693147,-0.693147,-0.693147,-0.693147
exp(2^6)--exp(2^7),orbit_n<=1e5,11717,O,0.405465,0.0,0.405465,0.405465,0.405465,0.405465,0.405465
exp(2^7)--exp(2^8),orbit_n<=1e5,11973,ALL,-0.14563,0.301759,-0.693147,-0.693147,-0.693147,0.405465,0.405465
exp(2^7)--exp(2^8),orbit_n<=1e5,6006,E,-0.693147,0.0,-0.693147,-0.693147,-0.693147,-0.693147,-0.693147
exp(2^7)--exp(2^8),orbit_n<=1e5,5967,O,0.405465,0.0,0.405465,0.405465,0.405465,0.405465,0.405465
exp(2^8)--exp(2^9),orbit_n<=1e5,6067,ALL,-0.136869,0.301738,-0.693147,-0.693147,0.405465,0.405465,0.405465
