scale_range,ensemble,history,P_O,P_E,sample_size
exp(2^1)--exp(2^2),orbit_n<=4000,,0.487179,0.512821,39
exp(2^1)--exp(2^2),orbit_n<=4000,O,0.25,0.75,4
exp(2^1)--exp(2^2),orbit_n<=4000,OEO,0.0,1.0,1
exp(2^1)--exp(2^2),orbit_n<=4000,OO,0.0,1.0,1
exp(2^1)--exp(2^2),orbit_n<=4000,OOE,0.0,1.0,2
exp(2^1)--exp(2^2),orbit_n<=4000,OOO,0.0,1.0,1
exp(2^10)--exp(2^11),orbit_n<=4000,EEE,1.0,0.0,1
exp(2^10)--exp(2^11),orbit_n<=4000,EOO,1.0,0.0,1
exp(2^10)--exp(2^11),orbit_n<=4000,OEE,0.0,1.0,1
exp(2^10)--exp(2^11),orbit_n<=4000,OEO,0.0,1.0,1
exp(2^10)--exp(2^11),orbit_n<=4000,OOE,0.0,1.0,2
exp(2^10)--exp(2^11),orbit_n<=4000,OOO,0.583333,0.416667,12
exp(2^11)--exp(2^12),orbit_n<=4000,EEO,1.0,0.0,1
exp(2^11)--exp(2^12),orbit_n<=4000,EOO,1.0,0.0,1
exp(2^11)--exp(2^12),orbit_n<=4000,OEE,0.0,1.0,1
exp(2^11)--exp(2^12),orbit_n<=4000,OOE,0.5,0.5,2
exp(2^11)--exp(2^12),orbit_n<=4000,OOO,0.6,0.4,5
exp(2^12)--exp(2^13),orbit_n<=4000,OEO,1.0,0.0,1
exp(2^12)--exp(2^13),orbit_n<=4000,OOE,0.0,1.0,1
exp(2^12)--exp(2^13),orbit_n<=4000,OOO,0.333333,0.666667,3
exp(2^13)--exp(2^14),orbit_n<=4000,EOO,1.0,0.0,1
exp(2^13)--exp(2^14),orbit_n<=4000,OOO,0.0,1.0,1
exp(2^2)--exp(2^3),orbit_n<=4000,,0.5,0.5,2926
exp(2^2)--exp(2^3),orbit_n<=4000,EEE,0.428571,0.571429,14
exp(2^2)--exp(2^3),orbit_n<=4000,EOE,0.4,0.6,30
exp(2^2)--exp(2^3),orbit_n<=4000,O,0.56701,0.43299,97
exp(2^2)--exp(2^3),orbit_n<=4000,OEE,0.378378,0.621622,37
exp(2^2)--exp(2^3),orbit_n<=4000,OEO,0.555556,0.444444,9
exp(2^2)--exp(2^3),orbit_n<=4000,OO,0.25,0.75,4
exp(2^2)--exp(2^3),orbit_n<=4000,OOE,0.468927,0.531073,177
exp(2^3)--exp(2^4),orbit_n<=4000,,0.5,0.5,1020
exp(2^3)--exp(2^4),orbit_n<=4000,EEE,0.602564,0.397436,78
exp(2^3)--exp(2^4),orbit_n<=4000,EEO,0.518519,0.481481,108
exp(2^3)--exp(2^4),orbit_n<=4000,EOE,0.46875,0.53125,256
exp(2^3)--exp(2^4),orbit_n<=4000,EOO,0.52,0.48,25
exp(2^3)--exp(2^4),orbit_n<=4000,O,0.501582,0.498418,1896
exp(2^3)--exp(2^4),orbit_n<=4000,OEE,0.475472,0.524528,265
exp(2^3)--exp(2^4),orbit_n<=4000,OEO,0.53022,0.46978,364
exp(2^3)--exp(2^4),orbit_n<=4000,OO,0.498392,0.501608,311
exp(2^3)--exp(2^4),orbit_n<=4000,OOE,0.487469,0.512531,798
exp(2^3)--exp(2^4),orbit_n<=4000,OOO,0.181818,0.818182,11
exp(2^4)--exp(2^5),orbit_n<=4000,EEE,0.529412,0.470588,34
exp(2^4)--exp(2^5),orbit_n<=4000,EEO,0.5,0.5,130
exp(2^4)--exp(2^5),orbit_n<=4000,EOE,0.525547,0.474453,137
exp(2^4)--exp(2^5),orbit_n<=4000,EOO,0.529412,0.470588,357
exp(2^4)--exp(2^5),orbit_n<=4000,OEE,0.537313,0.462687,134
exp(2^4)--exp(2^5),orbit_n<=4000,OEO,0.492021,0.507979,376
