r,F_tau,ratio,plateau,b_r
0,1,2.000000,0,2
1,2,1.000000,1,3
2,2,1.000000,1,3
3,2,1.000000,1,3
4,2,1.000000,1,3
5,2,4.000000,0,3
6,8,2.250000,0,9
7,18,1.000000,1,19
8,18,1.333333,0,19
9,24,1.000000,1,25
10,24,1.500000,0,25
11,36,1.000000,1,37
12,36,1.000000,1,37
13,36,1.000000,1,37
14,36,1.000000,1,37
15,36,1.000000,1,37
16,36,2.111111,0,37
17,76,1.000000,1,77
18,76,2.131579,0,77
19,162,1.000000,1,163
20,162,1.000000,1,163
21,162,1.000000,1,163
22,162,1.000000,1,163
23,162,1.000000,1,163
24,162,1.000000,1,163
25,162,1.000000,1,163
26,162,1.000000,1,163
27,162,1.000000,1,163
28,162,1.000000,1,163
29,162,1.000000,1,163
30,162,1.000000,1,163
31,162,1.000000,1,163
32,162,1.000000,1,163
33,162,1.000000,1,163
34,162,1.000000,1,163
35,162,1.000000,1,163
36,162,1.000000,1,163
37,162,1.000000,1,163
38,162,1.000000,1,163
39,162,1.000000,1,163
40,162,1.000000,1,163
41,162,1.000000,1,163
42,162,1.185185,0,163
43,192,1.000000,1,193
44,192,1.000000,1,193
45,192,1.000000,1,193
46,192,1.000000,1,193
47,192,1.000000,1,193
48,192,1.000000,1,193
49,192,1.000000,1,193
50,192,1.000000,1,193
51,192,1.000000,1,193
52,192,1.000000,1,193
53,192,1.000000,1,193
54,192,1.000000,1,193
55,192,1.000000,1,193
56,192,1.000000,1,193
57,192,1.000000,1,193
58,192,1.000000,1,193
59,192,1.000000,1,193
60,192,1.000000,1,193
61,192,1.000000,1,193
62,192,1.000000,1,193
63,192,1.000000,1,193
64,192,1.000000,1,193
65,192,1.000000,1,193
66,192,1.000000,1,193
67,192,1.000000,1,193
68,192,1.000000,1,193
69,192,1.000000,1,193
70,192,1.000000,1,193
71,192,1.000000,1,193
72,192,5.822917,0,193
73,1118,1.000000,1,1119
74,1118,1.032200,0,1119
75,1154,1.000000,1,1155
76,1154,1.000000,1,1155
77,1154,1.000000,1,1155
78,1154,1.000000,1,1155
79,1154,3.466205,0,1155
80,4000,1.000000,1,4001
